title,creators,description,upc_isbn10,ean_isbn13,number_of_discs,ensemble,aspect_ratio,tags,notes,group,price,added,publisher,publish_date,length_of,copies,call_number,ddc,lcc,rating,review,review_created,status,began_date,completed_date
Born Romantic,,"In modern-day London, three men (Craig Ferguson, Jimi Mistry and David Morrissey) and three women (Olivia Williams, Jane Horrocks and Catherine McCormack) fall in and out of love and back again, to the Greek-chorus accompaniment of two cab drivers, who engage in an ongoing conversation about sex. A winning romantic comedy, Born Romantic is the second feature by British writer-director David Kane of This Year's Love fame.",027616874795,,,,,"DVD, romantic-comedy",,,0.00,,,,,1,70853626,,,,,,,,
Black Mask,,"Super-soldier recruit Tsui Chik is forced to escape with his comrades after the project is canceled. Months later, he's trying to have a quiet life as a librarian with his best friend, Inspector Shek Wai-Ho. However, a string of vicious gangland murders begins that has all the markings of Tsui's former compatriots who seem to have turned to crime. Realizing that the police are helpless, he decides to take them on himself. With a disguise, Tsui becomes the mysterious superhero known only as Black Mask.",012236101727,0012236101727,,,,"DVD, action",,,0.00,,,,,1,70820858,,,,,,,,
Johnny English Reborn,,"The most prominent heads of state in the world begin gathering for a conference that could have a major impact on global politics. When MI-7 receives word that the Chinese premier has become the target of some high-powered killers, it falls on Johnny English to save the day. Armed with the latest high-tech weaponry and gadgets that would make even James Bond jealous, the once-disgraced agent uncovers evidence of a massive conspiracy involving some of the world's most powerful organisations, and vows to redeem his tarnished reputation by stopping the killers before they can strike.",025192076404,0025192076404,,,,"DVD, comedy",,,0.00,,,,,1,70788090,,,,,,,,
21 Jump Street,,"When cops Schmidt and Jenko join the secret Jump Street unit, they use their youthful appearances to go undercover as high school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind.",043396399778,,,,,"DVD, comedy",,,0.00,,,,,1,70722554,,,,,,,,
Saw IV,,"Despite Jigsaw's death, and in order to save the lives of two of his colleagues, Lieutenant Rigg is forced to take part in a new game, which promises to test him to the limit.",031398221975,0031398221975,,,,"DVD, horror",,,0.00,,,,,1,70689786,,,,,,,,
Patriot Games,,"When CIA Analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets Jack and his family as revenge.",097360564242,0097360564242,,,,"DVD, action",,,0.00,,,,,1,70624250,,,,,,,,
Deadwood the Movie,,"Follow the 10-year reunion of the Deadwood camp to celebrate South Dakota's statehood. Former rivalries are reignited, alliances are tested and old wounds are reopened, as all are left to navigate the inevitable changes that modernity and time have wrought.",883929689682,0883929689682,,,,"DVD, drama",,,0.00,,,,,1,70591482,,,,,,,,
Snatchers,,"After status-obsessed teen Sara has sex for the first time, she wakes up the next day nine months pregnant-with an alien.",883929697977,0883929697977,,,,"DVD, horror",,,0.00,,,,,1,70558714,,,,,,,,
It's a Wonderful Life,,"George Bailey has spent his entire life giving to the people of Bedford Falls. All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company. But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",097360754742,0097360754742,,,,"DVD, holiday",,,0.00,,,,,1,70394874,,,,,,,,
21 Grams,,"Paul Rivers, an ailing mathematician lovelessly married to an English émigré; Christina Peck, an upper-middle-class suburban housewife and mother of two girls; and Jack Jordan, a born-again ex-con, are brought together by a terrible accident that changes their lives.",025192012228,,,,,"DVD, drama",,,0.00,,,,,1,67871738,,,,,,,,
American Sniper,,"U.S. Navy SEAL Chris Kyle takes his sole mission—protect his comrades—to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.",883929450299,,,,,"DVD, drama",,,0.00,,,,,1,67838970,,,,,,,,
Moneyball,,"The story of Oakland Athletics general manager Billy Beane's successful attempt to put together a baseball team on a budget, by employing computer-generated analysis to draft his players.",43396392250,0043396392250,,,,"DVD, drama",,,0.00,,,,,1,67806202,,,,,,,,
Road Trip,,"After a student at the University of Ithaca films his one-night stand with a beautiful sorority girl, he discovers one of his friends has accidentally mailed the homemade sex tape to his girlfriend in Austin. In a frenzy, he must borrow a car and hit the road in a desperate bid to intercept the tape.",667068639520,0667068639520,,,,"DVD, comedy",,,0.00,,,,,1,67773434,,,,,,,,
Blink,,"Emma is an attractive girl in her 20s who has been blind for 20 years. A new type of eye operation partially restores her sight, but she is having problems: sometimes she doesn't ""remember"" what she's seen until later. One night she is awakened by a commotion upstairs. Peering out of her door, she sees a shadowy figure descending the stairs. Convinced that her neighbour has been murdered she approaches the police, only to find that she is unsure if it was just her new eyes playing tricks on her.",794043672620,0794043672620,,,,"DVD, thriller",,,0.00,,,,,1,67707898,,,,,,,,
The Perfect Man,,"Holly is tired of moving every time her mom Jean breaks up with yet another second-rate guy. To distract her mother from her latest bad choice, Holly conceives the perfect plan for the perfect man, an imaginary secret admirer who will romance Jean and boost her self-esteem.",025192630026,0025192630026,,,,"DVD, romantic-comedy",,,0.00,,,,,1,67576826,,,,,,,,
21 & Over,,"Brilliant student Jeff Chang has the most important interview of his life tomorrow. But today is still his birthday, what starts off as a casual celebration with friends evolves into a night of debauchery that risks to derail his life plan.",024543834250,,,,,"DVD, comedy",,,0.00,,,,,1,67544058,,,,,,,,
The Brothers Grimm,,"Folklore collectors and con artists, Jake and Will Grimm, travel from village to village pretending to protect townsfolk from enchanted creatures and performing exorcisms. However, they are put to the test when they encounter a real magical curse in a haunted forest with real magical beings, requiring genuine courage.",031398138082,0031398138082,,,,"DVD, fantasy",,,0.00,,,,,1,67511290,,,,,,,,
The Sea Chase,,"As the Second World War breaks out, German freighter captain Karl Ehrlich is about to leave Sydney, Australia with his vessel, the Ergenstrasse. Ehrlich, an anti-Nazi but proud German, hopes to outrun or out-maneuver the British warship pursuing him. Aboard his vessel is Elsa Keller, a woman Ehrlich has been ordered to return to Germany safely along with whatever secrets she carries. When Ehrlich's fiercely Nazi chief officer Kirchner commits an atrocity, the British pursuit becomes deadly.",012569692282,0012569692282,,,,"DVD, drama",,,0.00,,,,,1,40248314,,,,,,,,
