Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
dangerous-minds-vhs-floor-sale-drama,Dangerous Minds,"<p>Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,8.00,85149178,https://image.tmdb.org/t/p/w1280/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,,Dangerous Minds (1995) poster,drama
daylight-vhs-floor-sale-action,Daylight,,VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,7.00,85116410,,,,action
sparkler-vhs-floor-sale-comedy,Sparkler,"<p>Melba is a Californian trailer-park girl who is told to look for three kings by a phone psychic, and when she meets three guys - Trent, Brad and Joel traveling to Las Vegas, she decides they are those kings and joins them on their trip.</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,7.00,85083642,https://image.tmdb.org/t/p/w1280/qPG70Y2ZnFudN5Ip85YfQua3n4P.jpg,,Sparkler (1997) poster,comedy
the-boys-club-vhs-floor-sale-thriller,The Boys Club,,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,7.00,85050874,,,,thriller
the-claim-vhs-floor-sale-drama,The Claim,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,6.00,85018106,,,,drama
the-spider-and-the-fly-vhs-floor-sale-drama,The Spider and the Fly,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,7.00,84985338,,,,drama
camoulage-vhs-floor-sale-comedy,Camoulage,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,6.00,84919802,,,,comedy
deuces-wild-vhs-floor-sale-drama,Deuces Wild,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,6.00,84854266,,,,drama
snatch-vhs-floor-sale-comedy,Snatch,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,10.00,84821498,,,,comedy
singles-vhs-floor-sale-romantic-comedy,Singles,,VHS,Media > Videos,"Floor Sale, VHS, Romantic Comedy, Formatted",Genre,Romantic Comedy,shopify,1,deny,manual,7.00,84788730,,,,romantic-comedy
ermo-vhs-floor-sale-foreign,Ermo,,VHS,Media > Videos,"Floor Sale, VHS, Foreign, Formatted",Genre,Foreign,shopify,1,deny,manual,15.00,84755962,,,,foreign
dial-m-for-murder-vhs-floor-sale-thriller,Dial M for Murder,,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,7.00,84723194,,,,thriller
lost-found-vhs-floor-sale-romantic-comedy,Lost & Found,,VHS,Media > Videos,"Floor Sale, VHS, Romantic Comedy, Formatted",Genre,Romantic Comedy,shopify,1,deny,manual,5.00,84690426,,,,romantic-comedy
the-island-of-dr-moreau-1978-vhs-floor-sale-horror,The Island of Dr. Moreau (1978),,VHS,Media > Videos,"Floor Sale, VHS, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,7.00,48252410,,,,horror
the-island-of-dr-moreau-1996-vhs-floor-sale-horror,The Island of Dr. Moreau (1996),<p>A plane crash surviving attorney stumbles upon a mysterious island and is shocked to discover that a brilliant scientist and his lab assistant have found a way to combine human and animal DNA—with horrific results.</p>,VHS,Media > Videos,"Floor Sale, VHS, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,8.00,48219642,https://image.tmdb.org/t/p/w1280/hOJeQXve8W9rNRhdgC1WV3GQJyA.jpg,,The Island of Dr. Moreau (1996) poster,horror
psycho-iii-vhs-floor-sale-horror,Psycho III,"<p>When Maureen Coyle, a suicidal nun who resembles Norman's former victim, Marion Crane, arrives at the motel, all bets are off and ""Mother"" is less than happy.</p>",VHS,Media > Videos,"Floor Sale, VHS, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,9.00,48186874,https://image.tmdb.org/t/p/w1280/tgV4eeW0X7os7p3SYbNwDI0NYGa.jpg,,Psycho III (1986) poster,horror
new-crime-city-los-angeles-2020-vhs-floor-sale-sci-fi,New Crime City: Los Angeles 2020,"<p>In the 21st Century, Tony Ricks was a criminal who was executed for his crimes. In the distant year 2020, he is revived in a freak accident, and must infiltrate a futuristic prison and retrieve a powerful bioweapon in exchange for his freedom... and his life.</p>",VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,8.00,48154106,https://image.tmdb.org/t/p/w1280/4JwjUwrrTIHAY0mE7L4s3pGgNDF.jpg,,New Crime City: Los Angeles 2020 (1994) poster,sci-fi
mennos-mind-vhs-floor-sale-sci-fi,Menno's Mind,"<p>Menno is a computer programmer at The Resort, an enormous funhouse where people can live out their fantasies in virtual reality. Feeding their personal data into a software program called The System, head of security Felix Medina is setting up a big voting fraud, in order to win the presidential elections. His only concern is a group of terrorists, rebelling against his plans. As an ex-colleague of their leader, Menno is forced to help them.</p>",VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,8.00,48121338,https://image.tmdb.org/t/p/w1280/37cHyRq1pmVpvq8OnHKaXoBvXdG.jpg,,Menno's Mind (1997) poster,sci-fi
blank-check-vhs-floor-sale-kids-family,Blank Check,"<p>Bullied by his siblings and nagged by his parents, 11-year-old Preston Waters is fed up with his family — especially their frugality. But he gets his chance to teach them a lesson when a money-laundering criminal nearly bulldozes Preston with his car and compensates the boy with a blank check. Preston makes the check out for $1 million and goes on a spending spree he'll never forget.</p>",VHS,Media > Videos,"Floor Sale, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,6.00,48088570,https://image.tmdb.org/t/p/w1280/qhsH1BGqeCDHoogt5ebxOgERJGb.jpg,,Blank Check (1994) poster,kids-family
standing-in-the-sahows-of-motown-vhs-floor-sale-documentary,Standing in the Sahows of Motown,,VHS,Media > Videos,"Floor Sale, VHS, Documentary, Formatted",Genre,Documentary,shopify,1,deny,manual,7.00,48055802,,,,documentary
la-femme-nikita-vhs-floor-sale-action,La Femme Nikita,,VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,7.00,48023034,,,,action
master-ninja-vhs-floor-sale-action,Master Ninja,"<p>Aging skilled master ninja, John Peter McAllister, and his young apprentice search for John's long lost daughter, all the while his old enemies try to stop him. The first two episodes of ""The Master"" edited into a feature length film used as a promo for the television series.</p>",VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,8.00,47990266,https://image.tmdb.org/t/p/w1280/vibIJNVLni98O10P2UofYE5pyrA.jpg,,Master Ninja (1984) poster,action
charlottes-web-vhs-floor-sale-kids-family,Charlotte's Web,,VHS,Media > Videos,"Floor Sale, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,5.00,47957498,,,,kids-family
dream-child-vhs-floor-sale-fantasy,Dream Child,,VHS,Media > Videos,"Floor Sale, VHS, Fantasy, Formatted",Genre,Fantasy,shopify,1,deny,manual,7.00,47924730,,,,fantasy
