Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
fantastic-beasts-and-where-to-find-them-dvd-rental-fantasy,Fantastic Beasts and Where to Find Them,"<p>In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.</p>",DVD,Media > Videos,"Rental, DVD, Fantasy, Formatted",Genre,Fantasy,shopify,1,deny,manual,0,30928890,https://image.tmdb.org/t/p/w1280/fLsaFKExQt05yqjoAvKsmOMYvJR.jpg,,Fantastic Beasts and Where to Find Them (2016) poster,fantasy
spider-man-no-way-home-dvd-rental-action,Spider-Man No Way Home,"<p>Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.</p>",DVD,Media > Videos,"Rental, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,30896122,https://image.tmdb.org/t/p/w1280/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,,Spider-Man No Way Home (2021) poster,action
red-dvd-rental-action,RED,,DVD,Media > Videos,"Rental, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,30863354,,,,action
monthy-python-and-the-holy-grail-dvd-rental-comedy,Monthy Python and the Holy Grail,"<p>King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".</p>",DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,30142458,https://image.tmdb.org/t/p/w1280/7nTkHjETdGMYK1phHwDbPsrzbYl.jpg,,Monthy Python and the Holy Grail (1975) poster,comedy
be-kind-rewind-dvd-rental-comedy,Be Kind Rewind,"<p>A man whose brain becomes magnetized unintentionally destroys every tape in his friend's video store. In order to satisfy the store's most loyal renter, an aging woman with signs of dementia, the two men set out to remake the lost films.</p>",DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,30109690,https://image.tmdb.org/t/p/w1280/f0oX20YrQEiVPDH9InCQ1d3Cm66.jpg,,Be Kind Rewind (2008) poster,comedy
kung-fu-panda-2-dvd-rental-kids-family,Kung Fu Panda 2,"<p>Po is finally living the dream as the Dragon Warrior—until a shadow from his past comes roaring back. When the ruthless peacock Lord Shen unleashes a devastating new weapon used to wipe out kung fu masters across the land, Po and the Furious Five race across China to put an end to his plans. But if Po is to have any hope of stopping him, he must first confront the truth of his origins—and find inner peace before his past tears him apart.</p>",DVD,Media > Videos,"Rental, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,30076922,https://image.tmdb.org/t/p/w1280/mtqqD00vB4PGRt20gWtGqFhrkd0.jpg,,Kung Fu Panda 2 (2011) poster,kids-family
captain-america-the-first-avenger-dvd-rental-action,Captain America The First Avenger,"<p>During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.</p>",DVD,Media > Videos,"Rental, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,30044154,https://image.tmdb.org/t/p/w1280/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg,,Captain America The First Avenger (2011) poster,action
a-bugs-life-dvd-rental-kids-family,A Bug's Life,"<p>On behalf of ""oppressed bugs everywhere,"" an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper.</p>",DVD,Media > Videos,"Rental, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,30011386,https://image.tmdb.org/t/p/w1280/Ah3J9OJVc2CNCuH2zMydXy9fmIC.jpg,,A Bug's Life (1998) poster,kids-family
9-dvd-rental-sci-fi,9,"<p>When 9 first comes to life, he finds himself in a post-apocalyptic world. All humans are gone, and it is only by chance that he discovers a small community of others like him taking refuge from fearsome machines that roam the earth intent on their extinction. Despite being the neophyte of the group, 9 convinces the others that hiding will do them no good.</p>",DVD,Media > Videos,"Rental, DVD, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,0,29978618,https://image.tmdb.org/t/p/w1280/3uqXGOH4BQ2CLJWkDJZ0PzbUzOn.jpg,,9 (2009) poster,sci-fi
the-princess-bride-dvd-rental-comedy,The Princess Bride,"<p>In this enchantingly cracked fairy tale, the beautiful Princess Buttercup and the dashing Westley must overcome staggering odds to find happiness amid six-fingered swordsmen, murderous princes, Sicilians and rodents of unusual size. But even death can't stop these true lovebirds from triumphing.</p>",DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,29945850,https://image.tmdb.org/t/p/w1280/2FC9L9MrjBoGHYjYZjdWQdopVYb.jpg,,The Princess Bride (1987) poster,comedy
