Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
may-fools-vhs,May Fools,"<p>During the events of May 1968 in France, different worldviews of conflicting relatives collide in their family estate.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,5.00,93076474,https://image.tmdb.org/t/p/w1280/8AnNzNDKuteS7BthVJGwqv31B6i.jpg,,May Fools (1990) poster,drama
the-green-room-vhs,The Green Room,"<p>A widower maintains a memorial room filled with his late wife's belongings. When fire destroys it, he transforms a chapel into a new shrine to preserve her memory.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,5.00,92912634,https://image.tmdb.org/t/p/w1280/8D2Oty3FpihcNoNowuYbzOaXKsv.jpg,,The Green Room (1978) poster,drama
mississippi-mermaid-vhs,Mississippi Mermaid,"<p>A tobacco planter on Réunion island in the Indian Ocean becomes engaged through correspondence to a French woman he does not know. The woman that arrives does not look like the picture he received, but he marries her anyway.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,4.00,92847098,https://image.tmdb.org/t/p/w1280/l2jsT4bWzGZry34x4k5eNiSquhv.jpg,,Mississippi Mermaid (1969) poster,drama
everybodys-fine-vhs,Everybody's Fine,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,5.00,92814330,,,,drama
the-program-vhs,The Program,"<p>Several players from different backgrounds try to cope with the pressures of playing football at a major university. Each deals with the pressure differently, some turn to drinking, others to drugs, and some to studying.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,5.00,92552186,https://image.tmdb.org/t/p/w1280/4pdbutHc9SLEPmdLKtlVffiLByP.jpg,,The Program (1993) poster,drama
prefontane-vhs,Prefontane,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,5.00,92519418,,,,drama
erin-brockovich-vhs,Erin Brockovich,"<p>A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,6.00,92486650,https://image.tmdb.org/t/p/w1280/eMs20iUQyZVs05Ck7Q0LNnRsstr.jpg,,Erin Brockovich (2000) poster,drama
twister-2-vhs,Twister 2,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,5.00,92453882,,,,drama
radio-inside-vhs,Radio Inside,<p>As two brothers fall in love with the same woman they must come to grips with the accidental death of their father in this sensitive drama set in Miami.</p>,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,6.00,92421114,https://image.tmdb.org/t/p/w1280/uElF4UiO01bvumVZUrEj66hgWwC.jpg,,Radio Inside (1994) poster,drama
the-laramie-project-vhs,The Laramie Project,"<p>""The Laramie Project"" is set in and around Laramie, Wyoming, in the aftermath of the murder of 21-year-old Matthew Shepard. To create the stage version of ""The Laramie Project,"" the eight-member New York-based Tectonic Theatre Project traveled to Laramie, Wyoming, recording hours of interviews with the town's citizens over a two-year period. The film adaptation dramatizes the troupe's visit, using the actual words from the transcripts to create a portrait of a town forced to confront itself.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,6.00,92388346,https://image.tmdb.org/t/p/w1280/9Aj4DdvSZp7XRpIVbBXN3EccDwX.jpg,,The Laramie Project (2002) poster,drama
invasion-of-the-body-snatchers-dvd,Invasion of the Body Snatchers,"<p>Based on Jack Finney's serialized novel, which was published as a book in 1955, Invasion of the Body Snatchers is a classic sci-fi film noir directed by Don Siegel. It follows a small-town doctor in Santa Mira, California, who discovers that alien plant spores are replacing his neighbors with emotionless, identical duplicates while they sleep.</p>",DVD,Media > Videos,"Rental, DVD, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,0,69598714,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/61NZb3A9bZL._AC_UF894_1000_QL80.jpg?v=1783523065,1,Invasion of the Body Snatchers poster,sci-fi
stargate-dvd,Stargate,"<p>In modern-day Egypt, professor Daniel Jackson (James Spader) teams up with retired Army Col. Jack O'Neil (Kurt Russell) to unlock the code of an interstellar gateway to an ancient Egypt-like world. They arrive on a planet ruled by the despotic Ra (Jaye Davidson), who holds the key to the Earth travelers' safe return. Now, in order to escape from their intergalactic purgatory, Jackson and O'Neil must convince the planet's people that Ra must be overthrown.</p>",DVD,Media > Videos,"Rental, DVD, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,0,69565946,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/91F_6Pfr9zL._AC_UF894_1000_QL80.jpg?v=1783523063,1,Stargate poster,sci-fi
the-fifth-element-dvd,The Fifth Element,"<p>The Earth is about to be destroyed by a huge ball of fire racing toward the planet. Cornelius, an old monk, knows how to stop the burning sphere with the help of Korben Dallas, a taxi driver and former secret agent and a woman named Leeloo.</p>",DVD,Media > Videos,"Rental, DVD, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,0,69533178,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_9db89a34-9bc3-449e-a63b-39e41e75d756.jpg?v=1783523061,1,The Fifth Element poster,sci-fi
demolition-man-dvd,Demolition Man,"<p>With innocent victims caught in the crossfire in Los Angeles' intensifying war on crime, both cop John Spartan (Sylvester Stallone) and violent thug Simon Phoenix (Wesley Snipes) are sentenced to a state of frozen incarceration known as ""CryoPrison."" When Spartan is finally thawed 36 years later, it's 2032, and Los Angeles is now a pacifist utopia called San Angeles. But with Phoenix again on the loose, Spartan must team up with future cop Lenina (Sandra Bullock) to apprehend the killer.</p>",DVD,Media > Videos,"Rental, DVD, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,0,69467642,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_9fb7ba5d-7b24-4bd8-90f4-ec114583ecd7.jpg?v=1783523060,1,Demolition Man poster,sci-fi
star-wars-i-the-phantom-menace-dvd,Star Wars I: The Phantom Menace,"<p>Obi-Wan Kenobi (Ewan McGregor) is a young apprentice Jedi knight under the tutelage of Qui-Gon Jinn (Liam Neeson) ; Anakin Skywalker (Jake Lloyd), who will later father Luke Skywalker and become known as Darth Vader, is just a 9-year-old boy. When the Trade Federation cuts off all routes to the planet Naboo, Qui-Gon and Obi-Wan are assigned to settle the matter.</p>",DVD,Media > Videos,"Rental, DVD, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,0,69434874,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_ba4f0b79-87c8-445e-b8c4-f4af132c5148.jpg?v=1783523058,1,Star Wars I: The Phantom Menace poster,sci-fi
