call_number,barcode_status,content_status,message
77739002,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
67340538,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
18516986,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
68517370,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
68484602,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
77935610,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
65676794,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
30701050,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
71650554,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
07881466,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
72076538,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
14875130,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
35170298,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
35890170,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
91062010,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
89451770,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
75156730,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
34612218,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
89877754,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
13695482,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
34579450,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
94437114,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
94535418,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
72174842,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
51520506,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
90832634,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
67471610,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
89320698,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
35235834,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
07837946,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
38291194,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
08427770,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
18418682,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
67176698,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
17533946,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
07750394,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
72109306,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
51618810,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
88829178,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
07444730,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
31127034,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
27731450,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
35595258,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
07815930,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
30864890,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
17468410,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
51586042,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
19074042,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
35824634,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
08231162,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
13597178,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
51651578,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
18779130,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
11074042,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
18680826,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
08329466,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
88435962,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
35791866,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
30963194,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
