call_number,barcode_status,content_status,message
67904250,updated,updated,barcode: ok | content: changed: poster
96600314,updated,updated,barcode: ok | content: changed: poster
41976826,updated,updated,barcode: ok | content: changed: poster
50635514,updated,updated,barcode: ok | content: changed: poster
68723450,updated,updated,barcode: ok | content: changed: poster
68625146,updated,updated,barcode: ok | content: changed: poster
83508986,updated,updated,barcode: ok | content: changed: poster
51044858,updated,updated,barcode: ok | content: changed: poster
77552378,updated,updated,barcode: ok | content: changed: poster
03399930,updated,updated,barcode: ok | content: changed: poster
41780218,updated,updated,barcode: ok | content: changed: poster
50602746,updated,updated,barcode: ok | content: changed: poster
41911290,updated,updated,barcode: ok | content: changed: poster
25454074,updated,updated,barcode: ok | content: changed: poster
51421946,updated,updated,barcode: ok | content: changed: poster
25519610,updated,updated,barcode: ok | content: changed: poster
67805946,updated,updated,barcode: ok | content: changed: poster
24995322,updated,updated,barcode: ok | content: changed: poster
68199162,updated,updated,barcode: ok | content: changed: poster
42271738,updated,updated,barcode: ok | content: changed: poster
91500026,updated,updated,barcode: ok | content: changed: poster
42173434,updated,updated,barcode: ok | content: changed: poster
90942970,updated,updated,barcode: ok | content: changed: poster
87736058,updated,updated,barcode: ok | content: changed: poster
51798522,updated,updated,barcode: ok | content: changed: poster
51028730,updated,updated,barcode: ok | content: changed: poster
68100858,updated,updated,barcode: ok | content: changed: poster
51409402,updated,updated,barcode: ok | content: changed: poster
03629306,updated,updated,barcode: ok | content: changed: poster
24569338,updated,updated,barcode: ok | content: changed: poster
03367162,updated,updated,barcode: ok | content: changed: poster
24962554,updated,updated,barcode: ok | content: changed: poster
42599418,updated,updated,barcode: ok | content: changed: poster
50701050,updated,updated,barcode: ok | content: changed: poster
25093626,updated,updated,barcode: ok | content: changed: poster
52863738,updated,updated,barcode: ok | content: changed: poster
51127034,updated,updated,barcode: ok | content: changed: poster
77683450,updated,updated,barcode: ok | content: changed: poster
91237882,updated,updated,barcode: ok | content: changed: poster
95584506,updated,updated,barcode: ok | content: changed: poster
77454074,updated,updated,barcode: ok | content: changed: poster
50799354,updated,updated,barcode: ok | content: changed: poster
90320378,updated,updated,barcode: ok | content: changed: poster
24864250,updated,updated,barcode: ok | content: changed: poster
42402810,updated,updated,barcode: ok | content: changed: poster
21056762,updated,updated,barcode: ok | content: changed: poster
51389178,updated,updated,barcode: ok | content: changed: poster
25355770,updated,updated,barcode: ok | content: changed: poster
24503802,updated,updated,barcode: ok | content: changed: poster
77028090,updated,updated,barcode: ok | content: changed: poster
95191290,updated,updated,barcode: ok | content: changed: poster
95879418,updated,updated,barcode: ok | content: changed: poster
68788986,updated,updated,barcode: ok | content: changed: poster
51999226,updated,updated,barcode: ok | content: changed: poster
25323002,updated,updated,barcode: ok | content: changed: poster
42206202,updated,updated,barcode: ok | content: changed: poster
95060218,updated,updated,barcode: ok | content: changed: poster
77486842,updated,updated,barcode: ok | content: changed: poster
75782906,error,error,"TimeoutError: Locator.fill: Timeout 30000ms exceeded.
Call log:
  - waiting for locator(""#search"")
    - locator resolved to <input value="""" class="""" disabled id=""search"" tabindex=""0"" type=""search"" name=""search"" maxlength=""5000"" autocomplete=""off"" placeholder=""Start Searching...""/>
    - fill(""call:75782906"")
  - attempting fill action
    2 × waiting for element to be visible, enabled and editable
      - element is not enabled
    - retrying fill action
    - waiting 20ms
    2 × waiting for element to be visible, enabled and editable
      - element is not enabled
    - retrying fill action
      - waiting 100ms
    51 × waiting for element to be visible, enabled and editable
       - element is not enabled
     - retrying fill action
       - waiting 500ms
"
69018362,updated,error,barcode: ok | content: Edit form did not reload
49701370,error,error,"Error: Page.goto: net::ERR_NETWORK_CHANGED at https://www.libib.com/library
Call log:
  - navigating to ""https://www.libib.com/library"", waiting until ""load""
"
31092730,error,error,"Error: Page.goto: net::ERR_NETWORK_CHANGED at https://www.libib.com/library
Call log:
  - navigating to ""https://www.libib.com/library"", waiting until ""load""
"
68821754,error,error,"Error: Page.goto: Navigation to ""https://www.libib.com/library"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""https://www.libib.com/library"", waiting until ""load""
"
42632186,error,error,"Error: Page.goto: Navigation to ""https://www.libib.com/library"" is interrupted by another navigation to ""https://www.libib.com/library""
Call log:
  - navigating to ""https://www.libib.com/library"", waiting until ""load""
"
51278330,error,error,"Error: Page.goto: Navigation to ""https://www.libib.com/library"" is interrupted by another navigation to ""https://www.libib.com/library""
Call log:
  - navigating to ""https://www.libib.com/library"", waiting until ""load""
"
31322106,updated,updated,barcode: ok | content: changed: poster
42468346,updated,updated,barcode: ok | content: changed: poster
74956538,updated,updated,barcode: ok | content: changed: poster
41714682,updated,updated,barcode: ok | content: changed: poster
42730490,updated,updated,barcode: ok | content: changed: poster
68526842,updated,updated,barcode: ok | content: changed: poster
42075130,updated,updated,barcode: ok | content: changed: poster
67969786,updated,updated,barcode: ok | content: changed: poster
91303418,updated,updated,barcode: ok | content: changed: poster
52523514,updated,updated,barcode: ok | content: changed: poster
51208698,updated,updated,barcode: ok | content: changed: poster
67871482,updated,updated,barcode: ok | content: changed: poster
68231930,updated,updated,barcode: ok | content: changed: poster
96796922,updated,updated,barcode: ok | content: changed: poster
96698618,updated,updated,barcode: ok | content: changed: poster
51356410,updated,updated,barcode: ok | content: changed: poster
68690682,updated,updated,barcode: ok | content: changed: poster
42042362,updated,updated,barcode: ok | content: changed: poster
41845754,updated,updated,barcode: ok | content: changed: poster
77257466,updated,updated,barcode: ok | content: changed: poster
03727610,updated,updated,barcode: ok | content: changed: poster
58775290,updated,updated,barcode: ok | content: changed: poster
50586106,updated,updated,barcode: ok | content: changed: poster
86851322,updated,updated,barcode: ok | content: changed: poster
