Handle,Title,Vendor,Kind,Reason
deadly-little-secrets,Deadly Little Secrets,VHS,unmatched,no UPCMDB records for this imdb_id
deadlocked,Deadlocked,VHS,unmatched,no UPCMDB records for this imdb_id
trial,Trial,VHS,unmatched,no UPCMDB records for this imdb_id
born-innocent,Born Innocent,VHS,ambiguous,ambiguous TMDB match
diary-of-a-hitman,Diary of a Hitman,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
mexico-city,Mexico City,VHS,unmatched,no UPCMDB records for this imdb_id
bone-collector,Bone Collector,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
strangers,Strangers,VHS,unmatched,no UPCMDB records for this imdb_id
shipwrecked,Shipwrecked,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
conspiracy,Conspiracy,VHS,ambiguous,ambiguous TMDB match
rat-race,Rat Race,VHS,ambiguous,ambiguous TMDB match
brass,Brass,VHS,ambiguous,ambiguous TMDB match
shooting-elizabeth,SHOOTING ELIZABETH,VHS,unmatched,no UPCMDB records for this imdb_id
nothing-to-lose,Nothing to Lose,VHS,ambiguous,ambiguous TMDB match
talent-for-the-game,Talent for the Game,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
midnight-strangers,Midnight Strangers,VHS,ambiguous,ambiguous TMDB match
dirty-little-secret,Dirty Little Secret,VHS,unmatched,no UPCMDB records for this imdb_id
almost-pregnant-a-bedtime-story,Almost Pregnant: A Bedtime Story,VHS,unmatched,no TMDB match
concrete-cowboys,Concrete Cowboys,VHS,unmatched,no UPCMDB records for this imdb_id
forrest-gump,Forrest Gump,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
streetkill,Streetkill,VHS,ambiguous,ambiguous TMDB match
no-secrets,No Secrets,VHS,unmatched,no UPCMDB records for this imdb_id
mouth-to-mouth,Mouth to Mouth,VHS,unmatched,no UPCMDB records for this imdb_id
special-forces,Special Forces,VHS,unmatched,no UPCMDB records for this imdb_id
escape,Escape,VHS,ambiguous,ambiguous TMDB match
memphis,Memphis,VHS,ambiguous,ambiguous TMDB match
nico-and-dani,Nico and Dani,VHS,unmatched,no UPCMDB records for this imdb_id
up-your-alley,Up Your Alley,VHS,unmatched,no UPCMDB records for this imdb_id
modern-problems,Modern Problems,VHS,unmatched,no UPCMDB records for this imdb_id
serpent-of-death,Serpent of Death,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
miami-blues,Miami Blues,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
twilight,Twilight,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
missing-pieces,Missing Pieces,VHS,unmatched,no UPCMDB records for this imdb_id
mister-johnson,Mister Johnson,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
airport-1975,Airport 1975,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
acts-of-betrayal,Acts of Betrayal,VHS,unmatched,no UPCMDB records for this imdb_id
when-a-man-loves-a-woman,When a Man Loves a Woman,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
confessions-of-a-police-captain,Confessions of a Police Captain,VHS,unmatched,no UPCMDB records for this imdb_id
confessions-of-a-hitman,CONFESSIONS OF A HITMAN,VHS,unmatched,no UPCMDB records for this imdb_id
outsiders,Outsiders,VHS,unmatched,TMDB has no imdb_id for this title
stand-alone,Stand Alone,VHS,unmatched,no UPCMDB records for this imdb_id
death-of-adolf-hitler,Death of Adolf Hitler,VHS,unmatched,no UPCMDB records for this imdb_id
love-has-many-faces,Love Has Many Faces,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
an-affair-to-remember,An Affair to Remember,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
all-creatures-great-and-small,All Creatures Great and Small,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
philadelphia,Philadelphia,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
trial-by-jury,Trial by Jury,VHS,unmatched,no UPCMDB records for this imdb_id
simon-birch,Simon Birch,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
center-stage,Center Stage,VHS,ambiguous,ambiguous TMDB match
homeward-bound-ii-lost-in-san-francisco,Homeward Bound II: Lost in San Francisco,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
milk-money,Milk Money,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
far-from-home-the-adventures-of-yellow-dog,Far From Home: The Adventures of Yellow Dog,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
echo-park,Echo Park,VHS,unmatched,no UPCMDB records for this imdb_id
miles-from-home,Miles From Home,VHS,ambiguous,ambiguous TMDB match
babe-pig-in-the-city,Babe: Pig in the City,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
angels-in-the-outfield,Angels in the Outfield,VHS,ambiguous,ambiguous TMDB match
breaking-away,Breaking Away,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
adventures-of-the-wilderness-family,Adventures of the Wilderness Family,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
tragedy-of-flight-103,Tragedy of Flight 103,VHS,ambiguous,ambiguous TMDB match
mr-magoo,Mr. Magoo,VHS,unmatched,no UPCMDB records for this imdb_id
monsignor,MONSIGNOR,VHS,ambiguous,ambiguous TMDB match
monkeys-uncle,Monkey's Uncle,VHS,unmatched,no UPCMDB records for this imdb_id
my-fair-lady,My Fair Lady,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
till-the-clouds-roll-by,Till The Clouds Roll By,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
strictly-ballroom,Strictly Ballroom,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
manhattan,Manhattan,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
omen,Omen,DVD,unmatched,no UPCMDB records for this imdb_id
shallows,Shallows,4K,ambiguous,ambiguous TMDB match
chronicle,Chronicle,DVD,unmatched,no UPCMDB records for this imdb_id
the-aviator,The Aviator,DVD,ambiguous,ambiguous TMDB match
prince-of-persia-the-sands-of-time,Prince of Persia: The Sands of Time,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
legend-of-zorro,Legend of Zorro,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
