Handle,Title,Vendor,Kind,Reason
youre-in-the-superbowl-charlie-brown-vhs-rental-kids-family,You're in the Superbowl Charlie Brown,VHS,unmatched,no TMDB match
singalong-songs-very-merry-christmas-songs-vhs-rental-kids-family,Singalong Songs: Very Merry Christmas Songs,VHS,unmatched,no UPCMDB records for this imdb_id
hook-vhs-rental-kids-family,Hook,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
home-alone-2-vhs-rental-kids-family,Home Alone 2,VHS,unmatched,no UPCMDB records for this imdb_id
miracle-on-34th-street-vhs-rental-holiday,Miracle on 34th Street,VHS,ambiguous,ambiguous TMDB match
cool-runnings-vhs-rental-kids-family,Cool Runnings,VHS,unmatched,no UPCMDB records for this imdb_id
kids-rock-vhs-rental-kids-family,Kids Rock,VHS,unmatched,TMDB has no imdb_id for this title
babe-vhs-rental-kids-family,Babe,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-black-cauldron-vhs-rental-kids-family,The Black Cauldron,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
beethoven-vhs-rental-kids-family,Beethoven,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
james-stewart-mode-for-each-other-pot-o-gold-vhs-rental-drama,"James Stewart | Mode for Each Other, Pot O' Gold",VHS,unmatched,no TMDB match
death-wish-4-vhs-rental-action,Death Wish 4,VHS,ambiguous,ambiguous TMDB match
dracula-has-risen-from-the-grave-vhs-rental-horror,Dracula Has Risen From The Grave,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
fahrenheit-451-vhs-rental-sci-fi,Fahrenheit 451,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
flipping-vhs-rental-action,Flipping,VHS,unmatched,no UPCMDB records for this imdb_id
an-american-tail-vhs-rental-kids-family,An American Tail,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
hoffa-vhs-rental-drama,Hoffa,VHS,unmatched,no UPCMDB records for this imdb_id
the-bodyguard-vhs-rental-drama,The Bodyguard,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
jimi-hendrix-jimi-plays-berkeley-vhs-rental-musical,Jimi Hendrix | Jimi Plays Berkeley,VHS,ambiguous,ambiguous TMDB match
prizzis-honor-vhs-rental-thriller,Prizzi's Honor,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-usual-suspects-vhs-rental-thriller,The Usual Suspects,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-cat-in-the-hat-sing-along-vhs-rental-kids-family,The Cat In The Hat Sing-Along,VHS,unmatched,no TMDB match
vampires-vhs-rental-action,Vampires,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
million-dollar-mystery-vhs-rental-comedy,Million Dollar Mystery,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
patch-adams-vhs-rental-drama,Patch Adams,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
bruce-almighty-vhs-rental-comedy,Bruce Almighty,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
wall-street-vhs-rental-drama,Wall Street,VHS,unmatched,no UPCMDB records for this imdb_id
the-american-president-vhs-rental-drama,The American President,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-mummy-returns-vhs-rental-action,The Mummy Returns,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
undisputed-vhs-rental-drama,Undisputed,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
fun-in-acapulco-vhs-rental-musical,Fun In Acapulco,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-crow-vhs-rental-action,The Crow,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
miami-vice-ii-vhs-rental-action,Miami Vice II,VHS,unmatched,no TMDB match
as-good-as-it-gets-vhs-rental-comedy,As Good As It Gets,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
brightwood-dvd-rental-horror,Brightwood,DVD,unmatched,no UPCMDB records for this imdb_id
bone-hill-road-dvd-rental-horror,Bone Hill Road,DVD,unmatched,no TMDB match
fireworks-dvd-rental-drama,Fireworks,DVD,ambiguous,ambiguous TMDB match
amor-bandido-dvd-rental-thriller,Amor Bandido,DVD,unmatched,no UPCMDB records for this imdb_id
casper-vhs-rental-kids-family,Casper,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
102-dalmatians-vhs-rental-kids-family,102 Dalmatians,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-tigger-movie-vhs-rental-kids-family,The Tigger Movie,VHS,unmatched,no UPCMDB records for this imdb_id
d2-the-mighty-ducks-vhs-rental-kids-family,D2 The Mighty Ducks,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
rudolph-the-movie-vhs-rental-kids-family,Rudolph the Movie,VHS,ambiguous,ambiguous TMDB match
an-extremely-goofy-movie-vhs-rental-kids-family,An Extremely Goofy Movie,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
theodore-rex-vhs-rental-kids-family,Theodore Rex,VHS,unmatched,no UPCMDB records for this imdb_id
pinocchio-vhs-rental-kids-family,Pinocchio,VHS,ambiguous,ambiguous TMDB match
dumbo-vhs-rental-kids-family,Dumbo,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-nightmare-before-christmas-vhs-rental-kids-family,The Nightmare Before Christmas,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-many-adventures-of-winnie-the-pooh-vhs-rental-kids-family,The Many Adventures of Winnie the Pooh,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
monsters-inc-vhs-rental-kids-family,"Monsters, Inc.",VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
bambi-vhs-rental-kids-family,Bambi,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
lady-and-the-tramp-vhs-rental-kids-family,Lady and the Tramp,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-rescuers-down-under-vhs-rental-kids-family,The Rescuers Down Under,VHS,unmatched,no UPCMDB records for this imdb_id
the-sword-in-the-stone-vhs-rental-kids-family,The Sword in the Stone,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-jungle-book-vhs-rental-kids-family,The Jungle Book,VHS,ambiguous,ambiguous TMDB match
aladdin-vhs-rental-kids-family,Aladdin,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
johnny-handsome-dvd-rental-thriller,Johnny Handsome,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
silk-dvd-rental-action,Silk,DVD,unmatched,no UPCMDB records for this imdb_id
the-merry-widow-dvd-rental-comedy,The Merry Widow,DVD,ambiguous,ambiguous TMDB match
the-italian-straw-hat-dvd-rental-comedy,The Italian Straw Hat,DVD,ambiguous,ambiguous TMDB match
gummo-dvd-rental-drama,Gummo,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
the-rules-of-the-game-dvd-rental-comedy,The Rules of the Game,DVD,ambiguous,ambiguous TMDB match
dracula-sucks-dvd-rental-horror,Dracula Sucks,DVD,unmatched,no TMDB match
fw-murnaus-nosferatu-dvd-rental-horror,FW Murnau's Nosferatu,DVD,unmatched,no TMDB match
bananas-dvd-rental-comedy,Bananas,DVD,ambiguous,ambiguous TMDB match
manhattan-dvd-rental-comedy,Manhattan,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
duel-to-the-death-dvd-rental-action,Duel to the Death,DVD,ambiguous,ambiguous TMDB match
the-great-moment-dvd-rental-drama,The Great Moment,DVD,ambiguous,ambiguous TMDB match
kino-film-noir-dvd-rental-thriller,KINO Film Noir,DVD,unmatched,no TMDB match
the-adventures-of-buckaroo-banzai-dvd-rental-action,The Adventures of Buckaroo Banzai,DVD,ambiguous,ambiguous TMDB match
black-society-trilogy-dvd-rental-action,Black Society Trilogy,DVD,unmatched,no TMDB match
gaumont-treasures-vol-2-dvd-rental-special-interest,Gaumont Treasures | Vol. 2,DVD,unmatched,no TMDB match
the-freddie-mercury-tribute-concert-vhs-rental-musical,The Freddie Mercury Tribute Concert,VHS,unmatched,no UPCMDB records for this imdb_id
life-with-judy-garland-me-my-shadows-vhs-rental-drama,Life With Judy Garland: Me & My Shadows,VHS,unmatched,no TMDB match
whats-love-got-to-do-with-it-vhs-rental-drama,What's Love Got To Do With It,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
light-sleeper-vhs-rental-thriller,Light Sleeper,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
toy-story-10th-anniversary-edition-dvd-rental-kids-family,Toy Story | 10th Anniversary Edition,DVD,unmatched,no TMDB match
they-might-be-giants-venue-songs-dvd-rental-musical,They Might Be Giants | Venue Songs,DVD,unmatched,no UPCMDB records for this imdb_id
dave-matthews-band-listener-supported-dvd-rental-musical,Dave Matthews Band | Listener Supported,DVD,unmatched,no UPCMDB records for this imdb_id
dave-matthews-band-live-at-folsom-field-dvd-rental-musical,Dave Matthews Band | Live at Folsom Field,DVD,unmatched,no UPCMDB records for this imdb_id
bela-fleck-the-flecktones-live-at-the-quick-dvd-rental-musical,Béla Fleck & The Flecktones | Live At The Quick,DVD,unmatched,no UPCMDB records for this imdb_id
dave-matthews-band-the-central-park-concert-dvd-rental-musical,Dave Matthews Band | The Central Park Concert,DVD,unmatched,no UPCMDB records for this imdb_id
paul-mccartney-back-in-the-us-concert-film-dvd-rental-musical,Paul McCartney | Back in the US Concert Film,DVD,unmatched,no TMDB match
john-mayer-any-give-thursday-dvd-rental-musical,John Mayer | Any Give Thursday,DVD,unmatched,no TMDB match
incubus-the-morning-view-sessions-dvd-rental-musical,Incubus | The Morning View Sessions,DVD,unmatched,no UPCMDB records for this imdb_id
incubus-volume-2-dvd-rental-musical,Incubus | Volume 2,DVD,unmatched,no TMDB match
dave-matthews-band-the-videos-1994-2001-dvd-rental-musical,Dave Matthews Band | The Videos 1994-2001,DVD,unmatched,no UPCMDB records for this imdb_id
zappa-the-dub-room-special-dvd-rental-musical,Zappa | The Dub Room Special,DVD,unmatched,no UPCMDB records for this imdb_id
deep-rising-vhs-rental-action,Deep Rising,VHS,unmatched,no UPCMDB records for this imdb_id
demon-of-paradise-vhs-rental-horror,Demon of Paradise,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
alices-restaurant-vhs-rental-comedy,Alice's Restaurant,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
