Handle,Title,Vendor,Kind,Reason
uncle-saddam-dvd-rental-documentary,Uncle Saddam,DVD,unmatched,no UPCMDB records for this imdb_id
the-jensen-project-dvd-rental-sci-fi,The Jensen Project,DVD,unmatched,no UPCMDB records for this imdb_id
the-witches-hammer-dvd-rental-horror,The Witches Hammer,DVD,unmatched,no UPCMDB records for this imdb_id
motives-2-dvd-rental-thriller,Motives 2,DVD,ambiguous,ambiguous TMDB match
two-moon-junction-dvd-rental-drama,Two Moon Junction,DVD,unmatched,no UPCMDB records for this imdb_id
uss-poseidon-phantom-below-dvd-rental-action,USS Poseidon: Phantom Below,DVD,ambiguous,ambiguous TMDB match
the-seat-filler-dvd-rental-comedy,The Seat Filler,DVD,unmatched,no UPCMDB records for this imdb_id
american-pie-dvd-rental-comedy,American Pie,DVD,ambiguous,ambiguous TMDB match
escapee-dvd-rental-action,Escapee,DVD,unmatched,no UPCMDB records for this imdb_id
a-walk-in-my-shoes-dvd-rental-drama,A Walk in My Shoes,DVD,unmatched,no UPCMDB records for this imdb_id
stir-of-echoes-2-dvd-rental-thriller,Stir of Echoes 2,DVD,ambiguous,ambiguous TMDB match
billy-flynns-long-half-time-walk-dvd-rental-drama,Billy Flynn's Long Half Time Walk,DVD,unmatched,no TMDB match
the-twiligh-saga-breaking-dawn-part-1-dvd-rental-fantasy,The Twiligh Saga: Breaking Dawn Part 1,DVD,unmatched,no TMDB match
men-in-black-ii-dvd-rental-sci-fi,Men in Black II,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
the-mod-squad-dvd-rental-drama,The Mod Squad,DVD,unmatched,no UPCMDB records for this imdb_id
the-fighter-bluray-rental-drama,The Fighter,Blu-Ray,ambiguous,ambiguous TMDB match
sleepover-dvd-rental-comedy,Sleepover,DVD,unmatched,no UPCMDB records for this imdb_id
hugo-dvd-rental-kids-family,Hugo,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
sliding-doors-dvd-rental-romantic-comedy,Sliding Doors,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
christmas-in-wonderland-dvd-rental-holiday,Christmas in Wonderland,DVD,unmatched,no UPCMDB records for this imdb_id
beginners-dvd-rental-romantic-comedy,Beginners,DVD,unmatched,no UPCMDB records for this imdb_id
three-days-of-rain-dvd-rental-drama,Three Days of Rain,DVD,unmatched,no UPCMDB records for this imdb_id
scarface-dvd-rental-drama,Scarface,DVD,ambiguous,ambiguous TMDB match
a-christmas-star-dvd-rental-holiday,A Christmas Star,DVD,unmatched,no UPCMDB records for this imdb_id
girls-trip-dvd-rental-comedy,Girls Trip,DVD,ambiguous,ambiguous TMDB match
jasons-lyric-dvd-rental-drama,Jason's Lyric,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
help-i-shrunk-my-friends-dvd-rental-kids-family,"Help, I Shrunk my Friends",DVD,unmatched,no UPCMDB records for this imdb_id
feast-dvd-rental-horror,Feast,DVD,ambiguous,ambiguous TMDB match
the-gathering-dvd-rental-horror,The Gathering,DVD,ambiguous,ambiguous TMDB match
miiii-dvd-rental-action,M:I:III,DVD,ambiguous,ambiguous TMDB match
lions-for-lambs-dvd-rental-drama,Lions for Lambs,DVD,unmatched,no UPCMDB records for this imdb_id
the-cookout-dvd-rental-comedy,The Cookout,DVD,ambiguous,ambiguous TMDB match
the-newton-boys-dvd-rental-drama,The Newton Boys,DVD,unmatched,no UPCMDB records for this imdb_id
seven-swords-dvd-rental-action,Seven Swords,DVD,unmatched,no UPCMDB records for this imdb_id
marked-for-death-dvd-rental-action,Marked for Death,DVD,unmatched,no UPCMDB records for this imdb_id
surviving-d-day-dvd-rental-documentary,Surviving D-Day,DVD,unmatched,no UPCMDB records for this imdb_id
courage-under-fire-dvd-rental-drama,Courage Under Fire,DVD,unmatched,no UPCMDB records for this imdb_id
the-brothers-grimsby-dvd-rental-comedy,The Brothers Grimsby,DVD,ambiguous,ambiguous TMDB match
dragon-heart-3-dvd-rental-fantasy,Dragon Heart 3,DVD,ambiguous,ambiguous TMDB match
grey-gardens-dvd-rental-drama,Grey Gardens,DVD,unmatched,no UPCMDB records for this imdb_id
final-destination-2-dvd-rental-horror,Final Destination 2,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
hush-dvd-rental-horror,Hush,DVD,ambiguous,ambiguous TMDB match
abraham-lincoln-vs-zombies-dvd-rental-horror,Abraham Lincoln Vs. Zombies,DVD,unmatched,no UPCMDB records for this imdb_id
cumbia-callera-dvd-rental-foreign,Cumbia Callera,DVD,unmatched,no UPCMDB records for this imdb_id
super-eruption-dvd-rental-action,Super Eruption,DVD,unmatched,no UPCMDB records for this imdb_id
dont-come-knocking-dvd-rental-drama,Don't Come Knocking,DVD,unmatched,no UPCMDB records for this imdb_id
the-man-with-the-iron-fists-dvd-rental-action,The Man with the Iron Fists,DVD,ambiguous,ambiguous TMDB match
the-scout-dvd-rental-comedy,The Scout,DVD,unmatched,no UPCMDB records for this imdb_id
castaway-dvd-rental-drama,Castaway,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
mud-dvd-rental-drama,MUD,DVD,ambiguous,ambiguous TMDB match
prairie-love-dvd-rental-drama,Prairie Love,DVD,unmatched,no UPCMDB records for this imdb_id
swingers-dvd-rental-comedy,Swingers,DVD,ambiguous,ambiguous TMDB match
running-with-scissors-dvd-rental-comedy,Running with Scissors,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
bubble-dvd-rental-comedy,Bubble,DVD,ambiguous,ambiguous TMDB match
