Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Country (product.metafields.custom.country),Decade (product.metafields.custom.decade),Director (product.metafields.custom.director),Format (product.metafields.custom.format),Genres (product.metafields.custom.genres),Media condition (product.metafields.custom.media_condition),Runtime (min) (product.metafields.custom.runtime),Staff pick note (product.metafields.custom.staff_pick_note),Year (product.metafields.custom.year),Rental Availability (product.metafields.scf.avf),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target audience (product.metafields.shopify.target-audience),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
horror-classics-nightmare-castle-dr-jeckyll-mr-hyde-vhs-floor-sale-horror,"Horror Classics: Nightmare Castle, Dr. Jeckyll & Mr. Hyde",,VHS,Media > Videos,,"Floor Sale, Formatted, Horror, VHS",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,false,false,,,,,06520314,,,,false,,,,,,,,,,,,,,horror,,,,,,,,,,,,,,lb,,,active
paul-mccartney-back-in-the-us-concert-film-dvd-rental-musical,Paul McCartney | Back in the US Concert Film,<p>Paul McCartney: Back in the U.S. is a live concert film documenting Paul McCartney's 2002 US tour.</p>,DVD,Media > Videos,,"DVD, Formatted, Musical, Rental",true,Genre,Musical,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,42163962,,,,false,,,,,,,,,,,,,,musical,,,,,,,,,,,,,,lb,,,active
incubus-volume-2-dvd-rental-musical,Incubus | Volume 2,,DVD,Media > Videos,,"DVD, Formatted, Musical, Rental",true,Genre,Musical,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,42032890,,,,false,,,,,,,,,,,,,,musical,,,,,,,,,,,,,,lb,,,active
portaits-of-a-killer-vhs-floor-sale-thriller,Portaits of a Killer,,VHS,Media > Videos,,"Floor Sale, Formatted, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,false,false,,,,,49948922,,,,false,,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,lb,,,active
pico-de-gallo-vhs-floor-sale-comedy,Pico de Gallo,,VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,false,false,,,,,49588474,,,,false,,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,lb,,,active
courage-and-fire-vhs-floor-sale-drama,Courage and Fire,,VHS,Media > Videos,,"Drama, Floor Sale, Formatted, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,false,false,,,,,98273786,,,,false,,,,,,,,,,,,,,drama,,,,,,,,,,,,,,lb,,,active
stephen-kings-nightshift-collection-vhs-floor-sale-horror,Stephen King's Nightshift Collection,,VHS,Media > Videos,,"Floor Sale, Formatted, Horror, VHS",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,14.00,,false,false,,,,,39225850,,,,false,,,,,,,,,,,,,,horror,,,,,,,,,,,,,,lb,,,active
in-the-army-vhs-floor-sale-comedy,In the Army,"<p>While enjoying a glorious summer’s day at the beach, Pat and Patachon meet the beautiful Mona, whom they both fall in love with. However, they’re soon given something else to think about when they’re drafted into the armed forces and sent to a cantonment. The two friends struggle to find their place among the other soldiers, and they get into all sorts of escapades. One day, fate lends a helping hand when the company take up residence on a farm in North Zealand, where the two friends discover, to their delight, that this is where Mona lives. (stumfilm.dk)</p>",VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,false,false,,,,,38308346,,,,false,,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,lb,,,active
a-house-on-the-hills-vhs-floor-sale-thriller,A House on the Hills,,VHS,Media > Videos,,"Floor Sale, Formatted, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,false,false,,,,,26009594,,,,false,,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,lb,,,active
mututal-needs-vhs-floor-sale-thriller,Mututal Needs,,VHS,Media > Videos,,"Floor Sale, Formatted, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,false,false,,,,,84920570,,,,false,,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,lb,,,active
wild-america-fantastic-follies-vhs-floor-sale-kids-family,Wild America: Fantastic Follies,,VHS,Media > Videos,,"Floor Sale, Formatted, Kids & Family, VHS",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,false,false,,,,,29084922,,,,false,,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,lb,,,active
