title,creators,description,upc_isbn10,ean_isbn13,number_of_discs,ensemble,aspect_ratio,tags,notes,group,price,added,publisher,publish_date,length_of,copies,call_number,ddc,lcc,rating,review,review_created,status,began_date,completed_date
Notting Hill,,London bookstore owner William Thacker's quiet life turns upside down when a chance encounter with famous actress Anna Scott sparks an unlikely romance challenged by their vastly different worlds.,,,,,,"VHS, comedy",,,0.00,,,,,1,19383290,,,,,,,,
Miss Firecracker,,"Unhappy Carnelle Scott is desperate to escape her reputation as Yazoo City's 'Miss Hot Tamale.' She throws herself into a do-or-die effort to win the Mississippi town's big talent contest, an honor won ten years ago by her older sister and unattainable role model Elain.",,,,,,"VHS, comedy",,,0.00,,,,,1,18727930,,,,,,,,
Clean Slate,,"Pogue is a private eye with a problem: every morning when he wakes up, he has total amnesia, waking up with a 'blank slate'. Since he is in the middle of a hot investigation and has a developing romance, this is less than convenient.",,,,,,"VHS, comedy",,,0.00,,,,,1,18072570,,,,,,,,
The Squeeze,,"Harry Berg is both a con artist and an actual artist -- he constructs large sculptures out of television sets -- but he is not particularly successful in either role. He owes some money, which gets him involved with Rachel Dobs, a police detective who works with a collection agency. When Harry comes into possession of a strange parcel, both the con man and the detective find themselves wrapped up in a sinister corporate plot to fix the lottery.",,,,,,"VHS, comedy",,,0.00,,,,,1,18039802,,,,,,,,
Beautiful Girls,,"During a snowy winter in the small fictional town of Knight's Ridge, Massachusetts, a group of lifelong buddies hang out, drink and struggle to connect with the women who affect their decisions, dreams and desires.",,,,,,"VHS, comedy",,,0.00,,,,,1,17384442,,,,,,,,
...Almost,,"Alex and Erica Boyer are a young couple in crisis. Alex, despite his loving wife, beautiful home and high-paying job, feels trapped. When Erica has an accident that leaves her temporarily confined to a wheelchair and requiring the services of a private nurse, the beautiful Lisa enters the Boyers' lives. A complicated situation develops as Alex sees Lisa as the cure for his own problems as well as his wife's.",,,,,,"VHS, comedy",,,0.00,,,,,1,17318906,,,,,,,,
Brassed OFF!,,"A Yorkshire coal mine is threatened with closure and the only hope is for the men to enter their Grimley Colliery Brass Band into a national competition. They believe they have no hope until Gloria appears carrying her Flugelhorn. At first mocked for being a woman, she soon becomes the only chance for the band to win.",,,,,,"VHS, comedy",,,0.00,,,,,1,16663546,,,,,,,,
Whipped,,"Three to one may sound like fairly good odds, but it depends on the game. When the ""one"" is one very irresistible woman and the ""three"" are three hopelessly smitten guys, the deck is pretty stacked. In the battle of the sexes, the first rule is to never underestimate the power of a woman.",,,,,,"VHS, comedy",,,0.00,,,,,1,16008186,,,,,,,,
Dangerous Orphans,,"Three orphaned boys - O'Malley, Rossi and Moir - become blood brothers. When they grow up, they plot revenge on the crooks who got away with shooting O'Malley's father. The crooks are doing very nicely importing heroin and laundering money. The boys begin by killing one of the crooks, stealing his indentification and cleaning out the guy's Swiss bank account. But their revenge does not stop here... And the American end of the operation is getting very curious.",,,,,,"VHS, thriller",,,0.00,,,,,1,30885882,,,,,,,,
Catherine's Grove,,"Undercover cop Doyle is working on a serial killer case that's left a trail of dead transvestites. Then, moonlighting as a private eye, Doyle and his girlfriend are hired by a rich young man to find his sister. The search leads to her mysterious uncle, and the possibility of becoming the killer's next victim.",,,,,,"VHS, thriller",,,0.00,,,,,1,30853114,,,,,,,,
The Body,,"An ancient skeleton has been discovered in Jerusalem in a rich man's tomb. Colouration of the wrist and leg bones indicates the cause of death was crucifiction. other signs, include a gold coin bearing the marks of Pontius Pilate and faint markings around the skull, lead authorities to suspect that these could be the bones of Jesus Christ. Politicians, clerics, religious extremists and those using terror as a means to an end, find their beliefs and identities tested while risking their lives to unearth the truth.....",,,,,,"VHS, thriller",,,0.00,,,,,1,30197754,,,,,,,,
Tracks of a Killer,,"Business mogul David Hawkner and his wife are enjoying a quiet vacation by themselves at their isolated retreat. The serenity is broken when they become the targets of a handsome, crazed killer.",,,,,,"VHS, thriller",,,0.00,,,,,1,29542394,,,,,,,,
Clean Shaven,,"Peter Winter is a young schizophrenic who is desperately trying to get his daughter back from her adoptive family. He attempts to function in a world that, for him, is filled with strange voices, electrical noise, disconcerting images, and jarringly sudden emotional shifts. During his quest, he runs afoul of the law and an ongoing murder investigation.",,,,,,"VHS, thriller",,,0.00,,,,,1,29476858,,,,,,,,
Monsieur Hire,,"A French man spies on a lovely younger woman across the way. When he's spotted by the woman shortly after being questioned by the police about a local murder, the man's simple life becomes more complicated.",,,,,,"VHS, thriller",,,0.00,,,,,1,28788730,,,,,,,,
Southie,,"South Boston Irish bad boy Danny Quinn returns back home from New York and gets stuck between his pals, who are supported by one Irish mafia clan, and his family, which are members of another.",,,,,,"VHS, thriller",,,0.00,,,,,1,28133370,,,,,,,,
Nomads,,"One night, in a Los Angeles hospital, Dr. Flax attends to a seriously injured man who, apparently crazed, whispers mysterious and disconcerting words in French into her ear.",,,,,,"VHS, thriller",,,0.00,,,,,1,28100602,,,,,,,,
Breach of Conduct,,Helen attracts the unwanted attention of the commander of her husband's new army base. Colonel Andrew Case arranges to have Helen's husband travel on base business so that he can force Helen to be his new plaything. Helen fights back.,,,,,,"VHS, thriller",,,0.00,,,,,1,27379706,,,,,,,,
Back in the USSR,,A vacationing American and a sultry Russian thief lead police and smugglers on a deadly chase through Moscow.,,,,,,"VHS, thriller",,,0.00,,,,,1,26724346,,,,,,,,
Betrayed,,An FBI agent posing as a combine driver becomes romantically involved with a Midwest farmer who lives a double life as a white supremacist.,,,,,,"VHS, thriller",,,0.00,,,,,1,26691578,,,,,,,,
Taking Lives,,"Recruited to assist Montreal police in their desperate search for a serial killer who assumes the identities of his victims, FBI profiler Illeana Scott knows it's only a matter of time before the killer strikes again. Her most promising lead is a museum employee who might be the killer's only eyewitness.",,,,,,"DVD, thriller",,,0.00,,,,,1,45517306,,,,,,,,
Kidnap,,,,,,,,"DVD, thriller",,,0.00,,,,,1,44829178,,,,,,,,
American Dream,,,,,,,,"DVD, thriller",,,0.00,,,,,1,44141050,,,,,,,,
Rogue,,"When a group of tourists stumble into the remote Australian river territory of an enormous crocodile, the deadly creature traps them on a tiny mud island with the tide quickly rising and darkness descending. As the hungry predator closes in, they must fight for survival against all odds.",,,,,,"DVD, thriller",,,0.00,,,,,1,43485690,,,,,,,,
The Gateway,,,,,,,,"DVD, thriller",,,0.00,,,,,1,43452922,,,,,,,,
Stone Cold,,,,,,,,"DVD, thriller",,,0.00,,,,,1,42764794,,,,,,,,
Hitman,,"A genetically engineered assassin with deadly aim, known only as ""Agent 47"" eliminates strategic targets for a top-secret organization. But when he's double-crossed, the hunter becomes the prey as 47 finds himself in a life-or-death game of international intrigue.",,,,,,"DVD, thriller",,,0.00,,,,,1,42076666,,,,,,,,
Flightplan,,"Flying at 40,000 feet in a state-of-the art aircraft that she helped design, Kyle Pratt's 6-year-old daughter Julia vanishes without a trace. Or did she? No one on the plane believes Julia was ever onboard. And now Kyle, desperate and alone, can only count on her own wits to unravel the mystery and save her daughter.",,,,,,"DVD, thriller",,,0.00,,,,,1,41421306,,,,,,,,
Paranoid,,,,,,,,"DVD, horror",,,0.00,,,,,1,03954682,,,,,,,,
Role Models,,,,,,,,"DVD, comedy",,,0.00,,,,,1,03266554,,,,,,,,
The Toy,,"On one of his bratty son Eric's annual visits, the plutocrat U.S. Bates takes him to his department store and offers him anything in it as a gift. Eric chooses a black janitor who has made him laugh with his antics. At first the man suffers many indignities as Eric's ""toy"", but gradually teaches the lonely boy what it is like to have and to be a friend.",,,,,,"DVD, comedy",,,0.00,,,,,1,01824762,,,,,,,,
Corporate Animals,,"Disaster strikes when the egotistical CEO of an edible cutlery company leads her long-suffering staff on a corporate team-building trip in New Mexico. Trapped underground, this mismatched and disgruntled group must pull together to survive.",,,,,,"DVD, comedy",,,0.00,,,,,1,01791994,,,,,,,,
Half Brothers,,,,,,,,"DVD, comedy",,,0.00,,,,,1,01759226,,,,,,,,
Send It!,,"An extreme sportsman's life forever changes upon departing his simple Texas roots to compete in the world's most prestigious Kiteboarding Championship. Along the way, an edgy street-smart girl challenges him well beyond just kiting.",,,,,,"DVD, comedy",,,0.00,,,,,1,01103866,,,,,,,,
Ginger in the Morning,,A recently divorced Santa Fe architect is surprised to find himself falling in love with a free-spirited young hitchhiker.,,,,,,"DVD, drama",,,0.00,,,,,1,99694842,,,,,,,,
Professor and the Madman,,"Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the mid 19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor.",,,,,,"DVD, drama",,,0.00,,,,,1,98973946,,,,,,,,
Brothers by Blood,,"Peter and Michael, raised on the streets of Philadelphia, are the children of Irish mob members, forever linked by the crimes of their fathers. 30 years later, Michael now runs the criminal organization and lusts for more power, his dangerous antics frequently held in check by his cautious cousin Peter. Haunted by the death of his sister, whose passing destroyed both his parents, Peter is caught between the dreams of childhood and the realities of his life as an enforcer. His only reprieve is a local boxing gym, a sanctuary that is quickly threatened as Michael’s desire for control escalates.",,,,,,"DVD, drama",,,0.00,,,,,1,98777338,,,,,,,,
Against the Ropes: Contrecoups,,,,,,,,"DVD, drama",,,0.00,,,,,1,98711802,,,,,,,,
Thunderhead: Son of Flicka,,"A young boy tries to train Thunderhead, a beautiful white colt and the son of his beloved Flicka, to be a champion race horse.",,,,,,"DVD, kids-family",,,0.00,,,,,1,98023674,,,,,,,,
The Call of the Wild,,,,,,,,"DVD, kids-family",,,0.00,,,,,1,97990906,,,,,,,,
The Nut Job & Nut Job 2,,"When the evil mayor of Oakton decides to bulldoze Liberty Park and build a dangerous amusement park in its place, Surly Squirrel and his ragtag group of animal friends need to band together to save their home, defeat the mayor, and take back the park.",,,,,,"DVD, kids-family",,,0.00,,,,,1,97302778,,,,,,,,
Invasion of the Tinysauruses,,"Littlefoot and his friends return in another adventure. But this time, they aren't the smallest dinosaurs in the valley anymore.",,,,,,"DVD, kids-family",,,0.00,,,,,1,96647418,,,,,,,,
The Sorcerer's Apprentice,,"Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath. Balthazar can't do it alone, so he recruits Dave Stutler, a seemingly average guy who demonstrates hidden potential, as his reluctant protégé. The sorcerer gives his unwilling accomplice a crash course in the art and science of magic, and together, these unlikely partners work to stop the forces of darkness.",,,,,,"DVD, kids-family",,,0.00,,,,,1,95992058,,,,,,,,
This is Christmas,,"Christmas is approaching, and best friends Harry, Jordan, Ben, and Dennis are at their annual get together before the holidays. As they share stories of their past year, it is clear they all still have a lot of growing to do. Jimmy struggles with an unhappy marriage and an ill-timed affair with his daughter's 17 year old babysitter. Meanwhile, his best friend Jordan splits from his partner, Steve, only to discover he may not be the biological father of their daughter. Harry struggles with an estranged relationship with his father and his ex-wife. But everything turns into total chaos when Ben loses custody of his son and decides kidnapping is the only way to save his family. Now these friends must come together and do the right thing, proving family and friendship is what is most important. With an all star ensemble cast, ""This Is Christmas"" is perfect for the holidays. -- from WowNow Entertainment",,,,,,"DVD, holiday",,,0.00,,,,,1,95238394,,,,,,,,
