Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
salems-lot-limited-edition-4k-ultra-hd-4k-floor-sale-horror,Salem's Lot [Limited Edition] [4K Ultra HD],,4K,Media > Videos,"Floor Sale, 4K, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,55.00,93254906,,,,horror
excalibur-limited-edition-blu-ray-bluray-floor-sale-fantasy,Excalibur [Limited Edition] [Blu-ray],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Fantasy, Formatted",Genre,Fantasy,shopify,1,deny,manual,55.00,93222138,,,,fantasy
robocop-directors-cut-standard-edition-blu-ray-bluray-floor-sale-sci-fi,Robocop Director's Cut (Standard Edition) [BLU-RAY],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,38.00,93189370,,,,sci-fi
an-american-werewolf-in-london-standard-edition-blu-ray-bluray-floor-sale-horror,An American Werewolf In London: Standard Edition [BLU-RAY],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,38.00,93156602,,,,horror
soylent-green-limited-edition-blu-ray-bluray-floor-sale-sci-fi,Soylent Green (Limited Edition) [Blu-ray],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,38.00,93123834,,,,sci-fi
dune-standard-edition-blu-ray-bluray-floor-sale-sci-fi,Dune [Standard Edition] [Blu-ray],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,38.00,93058298,,,,sci-fi
falling-down-limited-edition-blu-ray-bluray-floor-sale-action,Falling Down (Limited Edition) [Blu-ray],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Action, Formatted",Genre,Action,shopify,1,deny,manual,38.00,93025530,,,,action
hugo-standard-edition-blu-ray-bluray-floor-sale-kids-family,Hugo (Standard Edition) [Blu-ray],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,38.00,92992762,,,,kids-family
mallrats-standard-edition-blu-ray-bluray-floor-sale-comedy,Mallrats (Standard Edition) [Blu-ray],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,38.00,92959994,,,,comedy
ms-45-blu-ray-bluray-floor-sale-thriller,Ms .45 [Blu-ray],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,38.00,92927226,,,,thriller
demolition-man-special-edition-blu-ray-bluray-floor-sale-sci-fi,Demolition Man (Special Edition) [Blu-ray],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,38.00,92894458,,,,sci-fi
hellraiser-blu-ray-bluray-floor-sale-horror,Hellraiser [BLU-RAY],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,38.00,92861690,,,,horror
the-house-with-laughing-windows-blu-ray-bluray-floor-sale-horror,The House With Laughing Windows [Blu-ray],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,38.00,92796154,,,,horror
pitch-black-blu-ray-bluray-floor-sale-sci-fi,Pitch Black [Blu-ray],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,38.00,92763386,,,,sci-fi
chud-standard-edition-blu-ray-bluray-floor-sale-sci-fi,C.H.U.D. [Standard Edition] [Blu-ray],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,38.00,92730618,,,,sci-fi
crimson-peak-blu-ray-bluray-floor-sale-horror,Crimson Peak [BLU-RAY],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,38.00,92697850,,,,horror
hellbound-hellraiser-ii-blu-ray-bluray-floor-sale-horror,Hellbound: Hellraiser II [BLU-RAY],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,38.00,92665082,,,,horror
inglourious-basterds-blu-ray-bluray-floor-sale-action,Inglourious Basterds [Blu-ray],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Action, Formatted",Genre,Action,shopify,1,deny,manual,38.00,92534010,,,,action
troy-limited-edition-blu-ray-bluray-floor-sale-fantasy,Troy [Limited Edition] [Blu-ray],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Fantasy, Formatted",Genre,Fantasy,shopify,1,deny,manual,38.00,92501242,,,,fantasy
crimson-peak-4k-ultra-hd-4k-floor-sale-horror,Crimson Peak [4K Ultra HD],,4K,Media > Videos,"Floor Sale, 4K, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,45.00,92468474,,,,horror
demolition-man-special-edition-4k-ultra-hd-4k-floor-sale-sci-fi,Demolition Man (Special Edition) [4K Ultra HD],,4K,Media > Videos,"Floor Sale, 4K, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,45.00,92402938,,,,sci-fi
inglourious-basterds-4k-ultra-hd-4k-floor-sale-action,Inglourious Basterds [4K Ultra HD],,4K,Media > Videos,"Floor Sale, 4K, Action, Formatted",Genre,Action,shopify,1,deny,manual,45.00,92337402,,,,action
the-people-vs-larry-flynt-limited-edition-4k-ultra-hd-4k-floor-sale-drama,The People vs. Larry Flynt {Limited Edition] [4K Ultra HD],,4K,Media > Videos,"Floor Sale, 4K, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,45.00,92206330,,,,drama
american-gigolo-4k-ultra-hd-4k-floor-sale-thriller,American Gigolo [4K Ultra HD],,4K,Media > Videos,"Floor Sale, 4K, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,45.00,92173562,,,,thriller
robocop-uhd-directors-cut-standard-edition-4k-ultra-hd-4k-floor-sale-sci-fi,Robocop [UHD Director's Cut Standard Edition] [4K Ultra HD],,4K,Media > Videos,"Floor Sale, 4K, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,45.00,92140794,,,,sci-fi
blackhat-standard-edition-4k-ultra-hd-4k-floor-sale-action,Blackhat (Standard Edition) [4K Ultra HD],,4K,Media > Videos,"Floor Sale, 4K, Action, Formatted",Genre,Action,shopify,1,deny,manual,45.00,92108026,,,,action
soldier-limited-edition-4k-ultra-hd-4k-floor-sale-sci-fi,Soldier [Limited Edition] [4K Ultra HD],,4K,Media > Videos,"Floor Sale, 4K, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,45.00,92075258,,,,sci-fi
