Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Country (product.metafields.custom.country),Decade (product.metafields.custom.decade),Director (product.metafields.custom.director),Format (product.metafields.custom.format),Genres (product.metafields.custom.genres),Media condition (product.metafields.custom.media_condition),Runtime (min) (product.metafields.custom.runtime),Staff pick note (product.metafields.custom.staff_pick_note),Year (product.metafields.custom.year),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target audience (product.metafields.shopify.target-audience),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Supercycle Methods (product.metafields.supercycle.methods),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
for-the-boys-dvd-rental-musical,For the Boys,"<p>For the Boys is a 1991 American musical comedy-drama film that traces the life of Dixie Leonard, a 1940s actress/singer who teams up with Eddie Sparks, a famous performer, to entertain American troops.</p>",DVD,Media > Videos,,"Comedy, DVD, Formatted, Issue_Rental_Or_Sale, Musical",true,Genre,Musical,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,86698490,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/m1pIYwjYVzfQMe6lOPf2vf6lL1m.jpg?v=1788884630,1,For the Boys (1991) poster,false,,,,,,,,,,,,,musical; comedy,,,,,,,,,,,,,,,lb,,,active
a-knights-tale-bluray-action,A Knights Tale,"<p>William Thatcher, a knight's peasant apprentice, gets a chance at glory when the knight dies suddenly mid-tournament. Posing as a knight himself, William won't stop until he's crowned tournament champion—assuming matters of the heart don't get in the way.</p>",Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Issue_Rental_Or_Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,19653114,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/srb1XnrlDZHcdpjBKqUu4qAzxKU_ea54b964-b762-4374-827b-28072c75bce9.jpg?v=1788380429,1,A Knights Tale (2001) poster,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
paradise-now-bluray-drama,Paradise Now,<p>Two childhood friends are recruited for a suicide bombing in Tel Aviv.</p>,Blu-Ray,Media > Videos,,"Blu-Ray, Drama, Formatted, Issue_Rental_Or_Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,19620346,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/qWZkYa8VdcDZk8uzRB2PfhpM9IL.jpg?v=1788380428,1,Paradise Now poster,false,,,,,,,,,,,,,thriller; drama,,,,,,,,,,,,,,,lb,,,active
omen,Omen,"<p>This premium collector's set features a restoration of the influential supernatural horror masterpiece along with an extensive array of insightful bonus material and retrospective interviews. Housed in custom themed packaging, it offers the definitive viewing experience for cinema enthusiasts looking to delve deeper into the lore and production of this chilling classic.</p>",DVD,Media > Videos,,"DVD, Formatted, Horror, Issue_Rental_Or_Sale",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDOME-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782253227916_f7f2fbe3-de1c-4d33-a7f6-ca5be24fb2a7.jpg?v=1788286210,1,191-DVDOME-001A,false,,,,,,,,,,,,,horror,,,,,,,,,,,,,,,lb,,,active
30-days-of-night,30 Days of Night,"<p>This gripping graphic novel captures a terrifying month-long siege where eternal darkness provides the perfect cover for a pack of ruthless vampires. The stark, visceral illustration style heightens the tension as a small Alaskan town fights for survival against an ancient predatory threat. It is a cinematic horror masterpiece that remains a definitive modern classic for fans of supernatural suspense and survival stories.</p>",DVD,Media > Videos,,"DVD, Formatted, Horror, Issue_Rental_Or_Sale",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVD30D-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782253183049_50940460-e2e8-4389-9632-6c71477a6735.jpg?v=1788286209,1,191-DVD30D-001A,false,,,,,,,,,,,,,horror,,,,,,,,,,,,,,,lb,,,active
chronicle,Chronicle,<p>This handheld gaming collection brings together two classic arcade role-playing adventures in one convenient package. These titles offer deep character progression and strategic combat for fans of retro fantasy aesthetics and immersive storytelling. Experience legendary quests and challenging dungeons with smooth performance optimized for modern portable play.</p>,DVD,Media > Videos,,"DVD, Formatted, Issue_Rental_Or_Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDCHR-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782253399278_66dff58c-c0e8-4b66-b90f-d6dfc461b00c.jpg?v=1788286206,1,191-DVDCHR-001A,false,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,,lb,,,active
prince-of-persia-the-sands-of-time,Prince of Persia: The Sands of Time,"<p>This action-packed cinematic adventure follows a rogue prince and a mysterious princess as they race to protect an ancient dagger capable of reversing time. Experience an epic journey across desert landscapes filled with high-stakes parkour, stunning visual effects, and mythological battles. This thrilling fantasy tale is a must-have for fans of legendary quests and timeless heroism.</p>",DVD,Media > Videos,,"Action, DVD, Formatted, Issue_Rental_Or_Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDPRI-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782253049781_d4667d18-bded-48f2-98d7-3140c1cfe496.jpg?v=1788286203,1,191-DVDPRI-001A,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
legend-of-zorro,Legend of Zorro,<p>This widescreen special edition features the high-stakes journey of a legendary masked hero and includes exclusive behind-the-scenes footage and director commentary. It offers a premium cinematic viewing experience with enhanced digital mastering and dual-language audio tracks. This physical disc is a perfect addition for collectors who enjoy epic action sequences and classic adventure storytelling.</p>,DVD,Media > Videos,,"Action, DVD, Formatted, Issue_Rental_Or_Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,88302842,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782252996862_f930ba53-2581-4ef9-95fd-e2c972ada24a.jpg?v=1788286200,1,191-DVDLEG-001A,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
legend-of-zorro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782252996862_9855ca7c-e272-42d0-81d8-06974a3c6a7f.jpg?v=1788286200,2,191-DVDLEG-001A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
legend-of-zorro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782252996862_796be18b-5f4e-4fbb-9dcd-3792f0e1c3b0.jpg?v=1788286200,3,191-DVDLEG-001A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
