Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Country (product.metafields.custom.country),Decade (product.metafields.custom.decade),Director (product.metafields.custom.director),Format (product.metafields.custom.format),Genres (product.metafields.custom.genres),Media condition (product.metafields.custom.media_condition),Runtime (min) (product.metafields.custom.runtime),Staff pick note (product.metafields.custom.staff_pick_note),Year (product.metafields.custom.year),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target audience (product.metafields.shopify.target-audience),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Supercycle Methods (product.metafields.supercycle.methods),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
rain-without-thunder-vhs-rental-drama,Rain Without Thunder,"<p>In 2042, it’s illegal for women to get abortions. After a girl and her mother are sentenced to life behind bars, a reporter investigates why.</p>",VHS,Media > Videos,,"Drama, Formatted, Rental, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,41911290,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/zQxp8d9HQG3JLkkLpwKRsvkWEQT.jpg?v=1788381396,1,Rain Without Thunder (1993) poster,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
bloodhounds-of-broadway-vhs-rental-comedy,Bloodhounds of Broadway,"<p>A musical comedy based on several Damon Runyon short stories. When a bookie on the run, Robert 'Numbers' Foster, falls for a pretty country songbird, Emily Ann Stackerlee , he'll do anything to help her make it big -- including a stint in jail to pay for his crimes. But will the tough guy's sacrifice of the heart pay off when it comes to his girlfriend's singing career?</p>",VHS,Media > Videos,,"Comedy, Formatted, Rental, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,41878522,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/nNTtvIzc8N9JqDhr8WQhCBwt0jK.jpg?v=1788381396,1,Bloodhounds of Broadway poster,false,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,,lb,,,active
widows-vhs-rental-thriller,Widows,"<p>A police shootout leaves four thieves dead during an explosive armed robbery attempt in Chicago. Their widows have nothing in common except a debt left behind by their spouses' criminal activities. Hoping to forge a future on their own terms, they join forces to pull off a heist.</p>",VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,41845754,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/d31SGJSaX29ba5ZUbZcesGoDE7I.jpg?v=1788381395,1,Widows poster,false,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,,lb,,,active
quicksand-no-escape-vhs-rental-action,Quicksand No Escape,<p>A hard-working architect is pulled into intrigue when his wife hires a private investigator to make sure he's just working late. The private eye sees an opportunity to frame him for a murder instead.</p>,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,41780218,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/98ucxhNkCZTVSJ612yUz5Nxy4UB.jpg?v=1788381394,1,Quicksand No Escape (1992) poster,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
the-wrong-guy-vhs-rental-comedy,The Wrong Guy,"<p>Nelson Hibbert expects to become the new president of Nagel Industries, but Mr. Nagel gives the promotion to another employee. When Nelson barges into Nagel's office to confront him, he finds Nagel's been murdered. Fearing that he will be implicated, Nelson decides to run from the law...despite the fact that the police already know the killer's identity.</p>",VHS,Media > Videos,,"Comedy, Formatted, Rental, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,41714682,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/9X22sqQI5UAwajmSNH293avRtFr.jpg?v=1788381393,1,The Wrong Guy poster,false,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,,lb,,,active
the-big-sleep-dvd-rental-thriller,The Big Sleep,"<p>Private Investigator Philip Marlowe is hired by wealthy General Sternwood regarding a matter involving his youngest daughter Carmen. Before the complex case is over, Marlowe sees murder, blackmail, deception, and what might be love.</p>",DVD,Media > Videos,,"DVD, Formatted, Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,96993530,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/lraHo9D8c0YWfxsKqT5P5sVqMKN.jpg?v=1788381303,1,The Big Sleep (1946) poster,false,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,,lb,,,active
the-new-barbarians-dvd-rental-sci-fi,The New Barbarians,<p>Two mercenaries help wandering caravans fight off an evil and aimless band of white-clad bikers after the nuclear holocaust.</p>,DVD,Media > Videos,,"DVD, Formatted, Rental, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,96895226,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/u1CfbdztfE2WiLBVXtA6OFO1TLY.jpg?v=1788381303,1,The New Barbarians (1983) poster,false,,,,,,,,,,,,,sci-fi,,,,,,,,,,,,,,,lb,,,active
universal-soldier-2-3-dvd-rental-action,Universal Soldier 2 | 3,"<p>When reporter Veronica Roberts unwillingly gets involved in a hostage situation and is forced to escape, she and Luc Devereaux go into hiding. Meanwhile, Dr. Walker and Mentor get set with a powerful new Universal Soldier and a lethal plan.</p>",DVD,Media > Videos,,"Action, DVD, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,96796922,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/rAmN4ROrFlOipyccNdiltUAz0f2.jpg?v=1788381833,1,Universal Soldier 2 | 3 poster,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
universal-soldier-regeneration-dvd-rental-action,Universal Soldier: Regeneration,"<p>When terrorists threaten nuclear catastrophe at Chernobyl, the world's only hope is to reactivate decommissioned Universal Soldier Luc Deveraux. Rearmed and reprogrammed, Deveraux must take on his nemesis from the original Universal Soldier and a next-generation ""UniSol"" that seems almost unstoppable.</p>",DVD,Media > Videos,,"Action, DVD, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,96698618,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/hYLzRwCcCyTVKGBRAiHEW7NOEni.jpg?v=1788381302,1,Universal Soldier: Regeneration (2010) poster,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
once-upon-a-time-in-mexico-dvd-rental-action,Once Upon a Time in Mexico,<p>A corrupt CIA agent Sands hires hitman El Mariachi to assassinate a Mexican general hired by a drug kingpin attempting a coup d'état of the President of Mexico.</p>,DVD,Media > Videos,,"Action, DVD, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,96600314,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/ETUpGxmLocsfER8GT8w5sOkRG0_80118ac1-a8fa-4cb9-8a26-630c6b3c7577.jpg?v=1788381301,1,Once Upon a Time in Mexico (2003) poster,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
mighty-joe-young-dvd-rental-kids-family,Mighty Joe Young,"<p>As a child living in Africa, Jill Young saw her mother killed while protecting wild gorillas from poachers led by Andrei Strasser. Now an adult, Jill cares for an orphaned gorilla named Joe -- who, due to a genetic anomaly, is 15 feet tall. When Gregg O'Hara arrives from California and sees the animal, he convinces Jill that Joe would be safest at his wildlife refuge. But Strasser follows them to the U.S., intent on capturing Joe for himself.</p>",DVD,Media > Videos,,"DVD, Formatted, Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,96469242,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/jM39MOyLOxCD6Njz4vfQkGaKkY1.jpg?v=1788381301,1,Mighty Joe Young (1998) poster,false,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,,lb,,,active
night-buffalo-dvd-rental-foreign,Night Buffalo,"<p>Unable to cope with the fact that his girlfriend cheated on him with his best friend, a 22-year-old schizophrenic sets an elaborate revenge plan into motion before taking his own life.</p>",DVD,Media > Videos,,"DVD, Foreign, Formatted, Rental",true,Genre,Foreign,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,96370938,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/z9MCUZPV9CRPkNNJDw04hCM0ysC.jpg?v=1789452459,1,Night Buffalo poster,false,,,,,,,,,,,,,foreign,,,,,,,,,,,,,,,lb,,,active
little-buddah-dvd-rental-drama,Little Buddah,"<p>Little Buddha is a 1993 drama film directed by Bernardo Bertolucci, interweaving the story of a young American boy believed to be the reincarnation of a Tibetan lama with a retelling of the life of Siddhartha, the historical Buddha.</p>",DVD,Media > Videos,,"Drama, DVD, Formatted, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,96272634,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/Little_buddha_imp.jpg?v=1788381298,1,Little Buddah poster,false,,,,,,,,,,,,,drama,,,,,,,,,,,,,,,lb,,,active
the-ghost-and-the-darkness-dvd-rental-action,The Ghost and the Darkness,"<p>Sir Robert Beaumont is behind schedule on a railroad in Africa. Enlisting noted engineer John Henry Patterson to right the ship, Beaumont expects results. Everything seems great until the crew discovers the mutilated corpse of the project's foreman, seemingly killed by a lion. After several more attacks, Patterson calls in famed hunter Charles Remington, who has finally met his match in the bloodthirsty lions.</p>",DVD,Media > Videos,,"Action, DVD, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,96174330,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/3KEPs6RKlin9pT9fqjtW7MSLC8H.jpg?v=1788381297,1,The Ghost and the Darkness (1996) poster,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
