Handle,Title,Vendor,Kind,Reason
the-sandlot-the-sandlot-2-the-sandlot-heading-home-dvd-rental-kids-family,The Sandlot | The Sandlot 2 | The Sandlot Heading Home,DVD,ambiguous,ambiguous TMDB match
cky-trilogy-dvd-rental-documentary,CKY Trilogy,DVD,ambiguous,ambiguous TMDB match
nirvana-unplugged-dvd-rental-musical,Nirvana Unplugged,DVD,ambiguous,ambiguous TMDB match
led-zeppelin-dvd-rental-musical,Led Zeppelin,DVD,unmatched,no UPCMDB records for this imdb_id
wonderland-dvd-rental-drama,Wonderland,DVD,ambiguous,ambiguous TMDB match
sex-and-the-city-dvd-rental-comedy,Sex and the City,DVD,unmatched,no UPCMDB records for this imdb_id
harry-potter-and-the-sorcerers-stone-dvd-rental-kids-family,Harry Potter and the Sorcerer's Stone,DVD,ambiguous,ambiguous TMDB match
little-nemo-dvd-rental-kids-family,Little Nemo,DVD,unmatched,no UPCMDB records for this imdb_id
shaun-of-the-dead-dvd-rental-comedy,Shaun of the Dead,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
krakatoa-east-of-java-vhs-rental-action,Krakatoa East of Java,VHS,unmatched,no UPCMDB records for this imdb_id
the-official-story-vhs-rental-foreign,The Official Story,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
field-of-fire-vhs-rental-action,Field of Fire,VHS,unmatched,no UPCMDB records for this imdb_id
max-and-helen-vhs-rental-drama,Max and Helen,VHS,unmatched,no UPCMDB records for this imdb_id
liberty-heights-vhs-rental-drama,Liberty Heights,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-perfect-bride-vhs-rental-thriller,The Perfect Bride,VHS,unmatched,no UPCMDB records for this imdb_id
the-hi-lo-country-vhs-rental-drama,The Hi-Lo Country,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
dead-funny-vhs-rental-comedy,Dead Funny,VHS,unmatched,no UPCMDB records for this imdb_id
passed-away-vhs-rental-comedy,Passed Away,VHS,unmatched,no UPCMDB records for this imdb_id
walking-across-egypt-vhs-rental-drama,Walking Across Egypt,VHS,unmatched,no UPCMDB records for this imdb_id
fearless-vhs-rental-thriller,Fearless,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
passion-flower-vhs-rental-thriller,Passion Flower,VHS,unmatched,no UPCMDB records for this imdb_id
dream-for-an-insomniac-vhs-rental-romantic-comedy,Dream for an Insomniac,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
thunderball-vhs-rental-action,Thunderball,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
