title,creators,description,upc_isbn10,ean_isbn13,number_of_discs,ensemble,aspect_ratio,tags,notes,group,price,added,publisher,publish_date,length_of,copies,call_number,ddc,lcc,rating,review,review_created,status,began_date,completed_date
Spider-Man 3,,"The seemingly invincible Spider-Man goes up against an all-new crop of villains—including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",043396159327,0043396159327,,,,"Blu-Ray, action",,,0.00,,,,,1,64262906,,,,,,,,
Finding Dory,,"Experience the heartwarming underwater journey of a forgetful blue tang as she searches for her long-lost parents across the ocean. This comprehensive home media set includes high-definition discs and a digital code, allowing you to enjoy the stunning animation and beloved characters on any device. It is a perfect addition to any family collection, offering hours of vibrant entertainment and meaningful lessons about friendship and perseverance.",786936851038,0786936851038,,,,"Blu-Ray, kids-family",,,0.00,,,,,1,191-BLRFND-002A,,,,,,,,
Bad Santa,,"You'd better watch out - Willie T. Soke is coming to town, and he doesn't care if you've been naughty or nice. Willie's favorite holiday tradition is to fill his sacks with loot lifted from shopping malls across the country. But this year his plot gets derailed by a wisecracking store detective, a sexy bartender, and a kid who's convinced Willie is the real Santa Claus.",031398136897,0031398136897,,,,"Blu-Ray, holiday",,,0.00,,,,,1,17853434,,,,,,,,
6 Souls,,A female forensic psychiatrist discovers that all of one of her patient's multiple personalities are murder victims. She will have to find out what's happening before her time is finished.,013132320397,0013132320397,,,,"DVD, horror",,,0.00,,,,,1,62361082,,,,,,,,
National Lampoon's Vacation,,"Clark Griswold is on a quest to take his family to the Walley World theme park for a vacation, but things don't go exactly as planned.",085392753529,0085392753529,,,,"DVD, comedy",,,0.00,,,,,1,62164474,,,,,,,,
Keanu,,Friends hatch a plot to retrieve a stolen cat by posing as drug dealers for a street gang.,883929539154,0883929539154,,,,"DVD, comedy",,,0.00,,,,,1,62131706,,,,,,,,
Zookeeper,,"Kindhearted Griffin Keyes is one of the best-loved caretakers at the Franklin Park Zoo, but he's more comfortable with the animals than with females of his own species as proven by his failed marriage proposal to the self-absorbed Stephanie several years ago. The animals have listened to Griffin pine over her for years and, after she reappears in his life, they decide to help Griffin rekindle the relationship and become the alpha male she wants him to be. They inadvertently reveal their secret ability to talk and, after Griffin's initial shock, teach him the rules of courtship, animal-style. Surprisingly, the animals' advice really works and Griffin is about to get everything he's ever dreamed of--or is he?",043396376731,0043396376731,,,,"DVD, comedy",,,0.00,,,,,1,62098938,,,,,,,,
The Usual Suspects,,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",883904353485,0883904353485,,,,"DVD, action",,,0.00,,,,,1,71790330,,,,,,,,
Iron Man,,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",786936837308,0786936837308,,,,"DVD, action",,,0.00,,,,,1,71757562,,,,,,,,
Django Unchained,,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",13132597256,0013132597256,,,,"DVD, action",,,0.00,,,,,1,71626490,,,,,,,,
