Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
traffic-vhs-floor-sale-drama,Traffic,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,33075450,,,,false,,,,,,,,,,lb,,,active
happy-gilmore-vhs-floor-sale-comedy,Happy Gilmore,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,33042682,,,,false,,,,,,,,,,lb,,,active
walking-ned-devine-vhs-floor-sale-comedy,Walking Ned Devine,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,33009914,,,,false,,,,,,,,,,lb,,,active
son-in-law-vhs-floor-sale-comedy,Son in Law,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,32977146,,,,false,,,,,,,,,,lb,,,active
indian-jones-and-the-temple-of-doom-vhs-floor-sale-action,Indiana Jones and the Temple of Doom,,VHS,Uncategorized,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,32911610,,,,false,,,,,,,,,,lb,,,active
the-witches-of-eastwick-vhs-floor-sale-comedy,The Witches of Eastwick,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,32878842,,,,false,,,,,,,,,,lb,,,active
high-school-high-vhs-floor-sale-comedy,High School High,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,32846074,,,,false,,,,,,,,,,lb,,,active
the-talented-mr-ripley-vhs-floor-sale-drama,The Talented Mr. Ripley,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,32813306,,,,false,,,,,,,,,,lb,,,active
indian-jones-and-the-last-crusade-vhs-floor-sale-action,Indiana Jones and the Last Crusade,,VHS,Uncategorized,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,32780538,,,,false,,,,,,,,,,lb,,,active
the-untouchables-vhs-floor-sale-drama,The Untouchables,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,32747770,,,,false,,,,,,,,,,lb,,,active
mr-hollands-opus-vhs-floor-sale-drama,Mr. Holland's Opus,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,32682234,,,,false,,,,,,,,,,lb,,,active
the-big-chill-vhs-floor-sale-drama,The Big Chill,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,32649466,,,,false,,,,,,,,,,lb,,,active
one-hour-photo-vhs-floor-sale-thriller,One Hour Photo,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,56806650,,,,false,,,,,,,,,,lb,,,active
mr-deeds-vhs-floor-sale-comedy,Mr. Deeds,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,56741114,,,,false,,,,,,,,,,lb,,,active
one-man-force-vhs-floor-sale-action,One Man Force,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,56610042,,,,false,,,,,,,,,,lb,,,active
steele-justice-vhs-floor-sale-action,Steele Justice,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,56577274,,,,false,,,,,,,,,,lb,,,active
the-6th-day-vhs-floor-sale-sci-fi,The 6th Day,,VHS,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,56478970,,,,false,,,,,,,,,,lb,,,active
the-dogs-of-war-vhs-floor-sale-action,The Dogs of War,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,9.00,,true,true,,,,,56446202,,,,false,,,,,,,,,,lb,,,active
enemy-of-the-state-vhs-floor-sale-action,Enemy of the State,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,56216826,,,,false,,,,,,,,,,lb,,,active
final-voyage-vhs-floor-sale-action,Final Voyage,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,55790842,,,,false,,,,,,,,,,lb,,,active
executive-decision-vhs-floor-sale-action,Executive Decision,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,54971642,,,,false,,,,,,,,,,lb,,,active
opposing-force-vhs-floor-sale-action,Opposing Force,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,9.00,,true,true,,,,,54873338,,,,false,,,,,,,,,,lb,,,active
wishbones-dog-days-of-the-west-vhs-rental-kids-family,Wishbone's Dog Days of the West,,VHS,,,"Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,26758394,,,,false,,,,,,,,,,lb,,,active
the-secretkingdom-vhs-rental-kids-family,The SecretKingdom,,VHS,,,"Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,26692858,,,,false,,,,,,,,,,lb,,,active
the-never-endng-story-i-ii-vhs-rental-kids-family,The Never Endng Story I & II,,VHS,,,"Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,26660090,,,,false,,,,,,,,,,lb,,,active
once-upon-a-time-in-the-west-vhs-rental-action,Once Upon a Time in the West,,VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,26561786,,,,false,,,,,,,,,,lb,,,active
patton-vhs-rental-drama,Patton,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,26430714,,,,false,,,,,,,,,,lb,,,active
o-lucky-man-vhs-rental-drama,O Lucky Man!,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,26397946,,,,false,,,,,,,,,,lb,,,active
fantasy-mission-force-vhs-floor-sale-action,Fantasy Mission Force,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,22.00,,true,true,,,,,18173178,,,,false,,,,,,,,,,lb,,,active
twister-vhs-floor-sale-action,Twister,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,18140410,,,,false,,,,,,,,,,lb,,,active
mccinseys-island-vhs-floor-sale-kids-family,McCinsey's Island,,VHS,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,18.00,,true,true,,,,,18107642,,,,false,,,,,,,,,,lb,,,active
supercop-2-vhs-floor-sale-action,Supercop 2,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,14.00,,true,true,,,,,18042106,,,,false,,,,,,,,,,lb,,,active
star-trek-first-contact-vhs-floor-sale-sci-fi,Star Trek First Contact,,VHS,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,18009338,,,,false,,,,,,,,,,lb,,,active
escape-from-alcatraz-vhs-floor-sale-action,Escape from Alcatraz,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,17943802,,,,false,,,,,,,,,,lb,,,active
the-glimmer-man-vhs-floor-sale-action,The Glimmer Man,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,17911034,,,,false,,,,,,,,,,lb,,,active
the-rock-vhs-floor-sale-action,The Rock,,VHS,Uncategorized,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,2,deny,manual,5.00,,true,true,,,,,17517818,,,,false,,,,,,,,,,lb,,,active
enemy-at-the-gates-vhs-floor-sale-action,Enemy at the Gates,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,17485050,,,,false,,,,,,,,,,lb,,,active
the-deer-hunter-vhs-floor-sale-drama,The Deer Hunter,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,17452282,,,,false,,,,,,,,,,lb,,,active
highlander-vhs-floor-sale-fantasy,Highlander,,VHS,,,"Fantasy, Floor Sale",true,Genre,Fantasy,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,17255674,,,,false,,,,,,,,,,lb,,,active
throw-momma-from-the-train-vhs-floor-sale-comedy,Throw Momma From the Train,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,17124602,,,,false,,,,,,,,,,lb,,,active
excalibur-limited-edition-4k-ultra-hd-4k-floor-sale-fantasy,Excalibur [Limited Edition] [4K Ultra HD],,4K,,,"Fantasy, Floor Sale",true,Genre,Fantasy,,,,,,,,,0.0,shopify,2,deny,manual,55.00,,true,true,,,,,40545786,,,,false,,,,,,,,,,lb,,32.97,active
ju-on-the-grudge-limited-edition-4k-ultra-hd-4k-floor-sale-horror,Ju-On: The Grudge [Limited Edition] [4K Ultra HD],,4K,,,"Floor Sale, Horror",true,Genre,Horror,,,,,,,,,0.0,shopify,3,deny,manual,45.00,,true,true,,,,,40513018,,,,false,,,,,,,,,,lb,,27.47,active
falling-down-limited-edition-blu-ray-4k-ultra-hd-4k-floor-sale-action,Falling Down (Limited Edition) [Blu-ray] [4K Ultra HD],,4K,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,45.00,,true,true,,,,,40480250,,,,false,,,,,,,,,,lb,,27.47,active
mortal-kombat-kollection-limited-edition-4k-ultra-hd-4k-floor-sale-action,Mortal Kombat Kollection [Limited Edition] [4K Ultra HD],,4K,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,3,deny,manual,65.00,,true,true,,,,,40218106,,,,false,,,,,,,,,,lb,,35.72,active
the-fugative-vhs-floor-sale-thriller,The Fugitive,,VHS,Uncategorized,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,04732410,,,,false,,,,,,,,,,lb,,,active
the-shadow-vhs-floor-sale-sci-fi,The Shadow,,VHS,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,04601338,,,,false,,,,,,,,,,lb,,,active
tremors-2-aftershocks-vhs-floor-sale-horror,Tremors 2 Aftershocks,,VHS,,,"Floor Sale, Horror",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,15.00,,true,true,,,,,04568570,,,,false,,,,,,,,,,lb,,,active
for-a-few-dollars-more-vhs-floor-sale-action,For a Few Dollars More,,VHS,Uncategorized,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,2,deny,manual,5.00,,true,true,,,,,04535802,,,,false,,,,,,,,,,lb,,,active
one-down-two-to-go-vhs-floor-sale-action,One Down Two to Go,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,04371962,,,,false,,,,,,,,,,lb,,,active
titan-ae-vhs-floor-sale-sci-fi,Titan A.E.,,VHS,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,04306426,,,,false,,,,,,,,,,lb,,,active
dreamcatcher-vhs-floor-sale-horror,Dreamcatcher,,VHS,,,"Floor Sale, Horror",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,04273658,,,,false,,,,,,,,,,lb,,,active
the-x-files-vhs-floor-sale-sci-fi,The X Files,,VHS,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,04240890,,,,false,,,,,,,,,,lb,,,active
santa-claus-the-movie-vhs-floor-sale-holiday,Santa Claus the Movie,,VHS,,,"Floor Sale, Holiday",true,Genre,Holiday,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,04175354,,,,false,,,,,,,,,,lb,,,active
prizzis-honor-vhs-floor-sale-drama,Prizzi's Honor,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,04142586,,,,false,,,,,,,,,,lb,,,active
rush-hour-2-vhs-floor-sale-action,Rush Hour 2,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,04077050,,,,false,,,,,,,,,,lb,,,active
fried-green-tomatoes-vhs-floor-sale-drama,Fried Green Tomatoes,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,03945978,,,,false,,,,,,,,,,lb,,,active
john-cnady-is-delirious-rental-comedy,John Candy is Delirious,,Little Movie Store,Uncategorized,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92651258,,,,false,,,,,,,,,,lb,,,active
fire-down-below-rental-action,Fire Down Below,,Little Movie Store,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92618490,,,,false,,,,,,,,,,lb,,,active
outlaw-justice-rental-action,Outlaw Justice,,Little Movie Store,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92585722,,,,false,,,,,,,,,,lb,,,active
a-prayer-for-the-dying-rental-thriller,A Prayer for the Dying,,Little Movie Store,,,"Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92552954,,,,false,,,,,,,,,,lb,,,active
new-blood-rental-action,New Blood,,Little Movie Store,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92520186,,,,false,,,,,,,,,,lb,,,active
on-the-down-n-low-rental-drama,On the Down 'N Low,,Little Movie Store,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92487418,,,,false,,,,,,,,,,lb,,,active
one-tough-cop-rental-action,One Tough Cop,,Little Movie Store,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92454650,,,,false,,,,,,,,,,lb,,,active
falling-fire-rental-action,Falling Fire,,Little Movie Store,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92421882,,,,false,,,,,,,,,,lb,,,active
raw-target-rental-action,Raw Target,,Little Movie Store,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92356346,,,,false,,,,,,,,,,lb,,,active
only-the-lonely-rental-romantic-comedy,Only the Lonely,,Little Movie Store,,,"Rental, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92323578,,,,false,,,,,,,,,,lb,,,active
bull-durham-rental-romantic-comedy,Bull Durham,,Little Movie Store,,,"Rental, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92290810,,,,false,,,,,,,,,,lb,,,active
some-like-it-hot-rental-romantic-comedy,Some Like it Hot,,Little Movie Store,,,"Rental, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92258042,,,,false,,,,,,,,,,lb,,,active
silence-like-glass-rental-drama,Silence like Glass,,Little Movie Store,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92225274,,,,false,,,,,,,,,,lb,,,active
the-great-escape-rental-action,The Great Escape,,Little Movie Store,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92192506,,,,false,,,,,,,,,,lb,,,active
extreme-prejudice-rental-action,Extreme Prejudice,,Little Movie Store,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92159738,,,,false,,,,,,,,,,lb,,,active
doomsday-rental-action,Doomsday,,Little Movie Store,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92126970,,,,false,,,,,,,,,,lb,,,active
