call_number,barcode_status,content_status,message
07191546,skipped,error,barcode: barcode already matches call_number | content: Edit form did not load
41024250,error,error,"Error: Page.goto: net::ERR_NETWORK_CHANGED at https://www.libib.com/library
Call log:
  - navigating to ""https://www.libib.com/library"", waiting until ""load""
"
41200890,error,error,"Error: Page.goto: net::ERR_NETWORK_CHANGED at https://www.libib.com/library
Call log:
  - navigating to ""https://www.libib.com/library"", waiting until ""load""
"
70722554,error,error,"Error: Page.goto: Navigation to ""https://www.libib.com/library"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""https://www.libib.com/library"", waiting until ""load""
"
67544058,error,error,"Error: Page.goto: Navigation to ""https://www.libib.com/library"" is interrupted by another navigation to ""https://www.libib.com/library""
Call log:
  - navigating to ""https://www.libib.com/library"", waiting until ""load""
"
91434490,error,error,"Error: Page.goto: Navigation to ""https://www.libib.com/library"" is interrupted by another navigation to ""https://www.libib.com/library""
Call log:
  - navigating to ""https://www.libib.com/library"", waiting until ""load""
"
04088058,error,error,"TimeoutError: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.libib.com/library"", waiting until ""load""
"
83827450,error,error,"Error: Page.goto: net::ERR_NETWORK_CHANGED at https://www.libib.com/library
Call log:
  - navigating to ""https://www.libib.com/library"", waiting until ""load""
"
28270074,error,error,"Error: Page.goto: net::ERR_NETWORK_CHANGED at https://www.libib.com/library
Call log:
  - navigating to ""https://www.libib.com/library"", waiting until ""load""
"
62361082,error,error,"Error: Page.goto: Navigation to ""https://www.libib.com/library"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""https://www.libib.com/library"", waiting until ""load""
"
30728698,error,error,"Error: Page.goto: Navigation to ""https://www.libib.com/library"" is interrupted by another navigation to ""https://www.libib.com/library""
Call log:
  - navigating to ""https://www.libib.com/library"", waiting until ""load""
"
