Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
city-of-god-dvd-rental-drama,City of God,<p></p>,DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,52093434,,,,drama
city-of-industry-vhs-rental-thriller,City of Industry,"<p>A retired thief swears revenge on the lunatic who murdered his brother and partner, while going on the run with the loot they stole.</p>",VHS,Media > Videos,"Rental, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,0,69244922,https://image.tmdb.org/t/p/w1280/8sLhOGSCTVeaihjXIy0OjL520F2.jpg,,City of Industry (1997) poster,thriller
city-of-sin-dvd-rental-action,City of Sin,,DVD,Media > Videos,"Rental, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,41987322,,,,action
city-slickers-ii-vhs,City Slickers II,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,5.00,78369530,,,,comedy
clarence-vhs-rental-kids-family,Clarence,,VHS,Media > Videos,"Rental, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,34373114,,,,kids-family
clash-of-the-titans-dvd-floor-sale-fantasy,Clash of the Titans,,DVD,Media > Videos,"Floor Sale, DVD, Fantasy, Formatted",Genre,Fantasy,shopify,1,deny,manual,6.00,45716730,,,,fantasy
clash-of-the-titans-dvd-rental-fantasy,Clash of the Titans,,DVD,Media > Videos,"Rental, DVD, Fantasy, Formatted",Genre,Fantasy,shopify,1,deny,manual,0,72216314,,,,fantasy
class-act-vhs,Class Act,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,6.00,33608442,,,,comedy
class-vhs-floor-sale-drama,Class,"<p>Naive Midwestern prep student Jonathan bonds with his more worldly roommate, Skip, who takes the small-town boy under his wing. At Skip's urging, the inexperienced Jonathan is emboldened to seek out older women in the cocktail lounges of nearby Chicago, where he meets and beds the alluring Ellen, who unfortunately turns out to be Skip's mother. The division between the friends is further deepened when a cheating scandal engulfs the school.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,8.00,98142714,https://image.tmdb.org/t/p/w1280/iDFeOVxNOSmAcsdmvtt4kZWB8GA.jpg,,Class (1983) poster,drama
claudia-vhs-rental-thriller,Claudia,,VHS,Media > Videos,"Rental, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,0,84930042,,,,thriller
