title,creators,description,upc_isbn10,ean_isbn13,number_of_discs,ensemble,aspect_ratio,tags,notes,group,price,added,publisher,publish_date,length_of,copies,call_number,ddc,lcc,rating,review,review_created,status,began_date,completed_date
Amores Perros,,"A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man.",715515253413,0715515253413,,,,"Blu-Ray, drama",,,0.00,,,,,1,16852474,,,,,,,,
Anora,,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",5060952898570,5060952898570,,,,"4K, drama",,,0.00,,,,,1,16623098,,,,,,,,
Snakes on a Plane,,"FBI agent Neville Flynn boards a flight from Honolulu, Hawaii to Los Angeles, escorting a key witness to testify against a mob boss at an upcoming trial. An on-board assassin releases a crate full of hundreds of deadly venomous snakes in an attempt to eliminate the witness. Flynn and a host of frightened passengers and crew must band together to survive the slithery threat.",794043105487,0794043105487,,,,"DVD, action",,,0.00,,,,,1,41829626,,,,,,,,
National Treasure,,"Modern treasure hunters, led by archaeologist Ben Gates, search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin during the Revolutionary War. The chest's whereabouts may lie in secret clues embedded in the Constitution and the Declaration of Independence, and Gates is in a race to find the gold before his enemies do.",786936242928,0786936242928,,,,"DVD, action",,,0.00,,,,,1,41796858,,,,,,,,
The Departed,,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",012569736740,0012569736740,,,,"DVD, drama",,,0.00,,,,,1,41731322,,,,,,,,
Eagle vs Shark,,"Love blossoms for Lily over double Meaty Boy burgers at mid-day when uber-computer nerd Jarrod comes in and leaves with free extra large fries. After gatecrashing Jarrod's party and proving her skills on the game console, Lily goes down to Jarrod's home town with him so he can settle an old score with a past school bully.",786936741117,0786936741117,,,,"DVD, comedy",,,0.00,,,,,1,41698554,,,,,,,,
Inception,,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",883929106127,0883929106127,,,,"DVD, sci-fi",,,0.00,,,,,1,41600250,,,,,,,,
Baby Driver,,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",43396488281,0043396488281,,,,"DVD, action",,,0.00,,,,,1,41436410,,,,,,,,
Saving Private Ryan,,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",032429109460,0032429109460,,,,"DVD, action",,,0.00,,,,,1,41403642,,,,,,,,
Star Trek,,"The fate of the galaxy rests in the hands of bitter rivals. One, James Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, a Vulcan, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before. The human adventure has begun again.",097363485049,0097363485049,,,,"DVD, sci-fi",,,0.00,,,,,1,41338106,,,,,,,,
Valkyrie,,"Wounded in Africa during World War II, Nazi Col. Claus von Stauffenberg returns to his native Germany and joins the Resistance in a daring plan to create a shadow government and assassinate Adolf Hitler. When events unfold so that he becomes a central player, he finds himself tasked with both leading the coup and personally killing the Führer.",840418301999,0840418301999,,,,"DVD, action",,,0.00,,,,,1,41108730,,,,,,,,
Crazy Stupid Love,,"Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal's seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies.",883929192687,0883929192687,,,,"DVD, romantic-comedy",,,0.00,,,,,1,41075962,,,,,,,,
Across the Universe,,"When young dockworker Jude leaves Liverpool to find his estranged father in the United States, he is swept up by the waves of change that are re-shaping the nation. Jude falls in love with Lucy, who joins the growing anti-war movement. As the body count in Vietnam rises, political tensions at home spiral out of control and the star-crossed lovers find themselves in a psychedelic world gone mad.",043396194625,0043396194625,,,,"DVD, musical",,,0.00,,,,,1,41043194,,,,,,,,
Brokedown Palace,,"Best friends Alice and Darlene take a trip to Thailand after graduating high school. In Thailand, they meet a captivating Australian man, who calls himself Nick Parks. Darlene is particularly smitten with Nick and convinces Alice to take Nick up on his offer to treat the two of them to what amounts to a day trip to Hong Kong. In the airport, the girls are seized by the police and shocked to discover that one of their bags contains heroin.",013132437194,,,,,"DVD, thriller",,,0.00,,,,,1,40977658,,,,,,,,
Requiem for a Dream,,The drug-induced utopias of four Coney Island residents are shattered when their addictions run deep.,012236118152,0012236118152,,,,"DVD, drama",,,0.00,,,,,1,40879354,,,,,,,,
Dear Frankie,,"Nine-year-old Frankie and his single mum Lizzie have been on the move ever since Frankie can remember, most recently arriving in a seaside Scottish town. Wanting to protect her deaf son from the truth that they've run away from his father, Lizzie has invented a story that he is away at sea on the HMS Accra. Every few weeks, Lizzie writes Frankie a make-believe letter from his father, telling of his adventures in exotic lands. As Frankie tracks the ship's progress around the globe, he discovers that it is due to dock in his hometown. With the real HMS Accra arriving in only a fortnight, Lizzie must choose between telling Frankie the truth or finding the perfect stranger to play Frankie's father for just one day...",786936270938,0786936270938,,,,"DVD, drama",,,0.00,,,,,1,40584442,,,,,,,,
Harry Potter and the Half-Blood Prince,,Dumbledore tries to prepare Harry for the final battle with Voldemort while Death Eaters wreak havoc in both Muggle and Wizard worlds.,085391200413,0085391200413,,,,"Blu-Ray, fantasy",,,0.00,,,,,1,94742010,,,,,,,,
Mystic River,,The lives of three men who were childhood friends are shattered when one of them suffers a family tragedy.,883929096237,0883929096237,,,,"Blu-Ray, drama",,,0.00,,,,,1,94709242,,,,,,,,
The Guilt Trip,,An inventor and his mom hit the road together so he can sell his latest invention.,032429129383,0032429129383,,,,"Blu-Ray, comedy",,,0.00,,,,,1,94643706,,,,,,,,
Lord of the RIngs Fellowship of the Ring,,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",0794043167621,0794043167621,,,,"Blu-Ray, fantasy",,,0.00,,,,,1,94184954,,,,,,,,
The Dark Knight,,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",085391176572,0085391176572,,,,"Blu-Ray, action",,,0.00,,,,,1,49303802,,,,,,,,
Ricki and the Flash,,"Meryl Streep stars as Ricki Rendazzo, a guitar heroine who made a world of mistakes as she followed her dreams of rock-and-roll stardom. Returning home, Ricki gets a shot at redemption and a chance to make things right as she faces the music with her family.",433964569076,0433964569076,,,,"Blu-Ray, comedy",,,0.00,,,,,1,49008890,,,,,,,,
San Andreas,,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.",794043179129,0794043179129,,,,"Blu-Ray, action",,,0.00,,,,,1,48779514,,,,,,,,
Skyfall,,"When Bond's latest assignment goes gravely wrong, agents around the world are exposed and MI6 headquarters is attacked. While M faces challenges to her authority and position from Gareth Mallory, the new Chairman of the Intelligence and Security Committee, it's up to Bond, aided only by field agent Eve, to locate the mastermind behind the attack.",883904334217,0883904334217,,,,"Blu-Ray, action",,,0.00,,,,,1,30093818,,,,,,,,
Spy Kids 3 Game Over,,"Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world.",031398134473,0031398134473,,,,"Blu-Ray, kids-family",,,0.00,,,,,1,29962746,,,,,,,,
Love Actually,,Eight very different couples deal with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London.,0191329142257,0191329142257,,,,"Blu-Ray, holiday",,,0.00,,,,,1,29143546,,,,,,,,
Elf,,"When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic.",0794043123467,0794043123467,,,,"Blu-Ray, holiday",,,0.00,,,,,1,29045242,,,,,,,,
Transformers Dark of the Moon,,"The Autobots continue to work for NEST, now no longer in secret. But after discovering a strange artifact during a mission in Chernobyl, it becomes apparent to Optimus Prime that the United States government has been less than forthright with them.",0032429273178,0032429273178,,,,"Blu-Ray, sci-fi",,,0.00,,,,,1,29012474,,,,,,,,
Hitch,,"Dating coach Alex 'Hitch' Hitchens mentors a bumbling client, Albert, who hopes to win the heart of the glamorous Allegra Cole. While Albert makes progress, Hitch faces his own romantic setbacks when proven techniques fail to work on Sara Melas, a tabloid reporter digging for dirt on Allegra Cole's love life. When Sara discovers Hitch's connection to Albert – now Allegra's boyfriend – it threatens to destroy both relationships.",043396150218,0043396150218,,,,"Blu-Ray, comedy",,,0.00,,,,,1,28717562,,,,,,,,
Nowhere Boy,,"A rebellious teenager, future Beatle John Lennon lives with his Aunt Mimi in working-class mid-1950s Liverpool, England. Mimi's husband suddenly dies, and John spies his mother Julia at the funeral. Despite Mimi's misgivings, John intends to have a real relationship with his mother. Julia introduces him to popular music and the banjo and, though a family conflict looms, young John is inspired to form his own band.",043396354029,0043396354029,,,,"Blu-Ray, drama",,,0.00,,,,,1,28684794,,,,,,,,
X-Men First Class,,"Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were arch-enemies, they were closest of friends, working together with other mutants (some familiar, some new), to stop the greatest threat the world has ever known.",024543271840,0024543271840,,,,"Blu-Ray, action",,,0.00,,,,,1,28652026,,,,,,,,
Gnomeo & Juliet,,"A version of Shakespeare's play, set in the world of warring indoor and outdoor gnomes. Garden gnomes Gnomeo and Juliet have as many obstacles to overcome as their quasi namesakes when they are caught up in a feud between neighbors. But with plastic pink flamingos and lawnmower races in the mix, can this young couple find lasting happiness?",786936812657,0786936812657,,,,"Blu-Ray, kids-family",,,0.00,,,,,1,28619258,,,,,,,,
The Mummy Tomb of the Dragon Emperor,,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",025192054952,0025192054952,,,,"Blu-Ray, action",,,0.00,,,,,1,28586490,,,,,,,,
Jack Reacher,,"One morning in an ordinary town, five people are shot dead in a seemingly random attack. All evidence points to a single suspect: an ex-military sniper who is quickly brought into custody. The interrogation yields one written note: 'Get Jack Reacher!'. Reacher, an enigmatic ex-Army investigator, believes the authorities have the right man but agrees to help the sniper's defense attorney. However, the more Reacher delves into the case, the less clear-cut it appears. So begins an extraordinary chase for the truth, pitting Jack Reacher against an unexpected enemy, with a skill for violence and a secret to keep.",032429129161,0032429129161,,,,"Blu-Ray, action",,,0.00,,,,,1,28553722,,,,,,,,
The Vow,,"Happy young married couple Paige and Leo are, well, happy. Then a car accident puts Paige into a life-threatening coma. Upon awakening she has lost the previous five years of memories, including those of her beloved Leo, her wedding, a confusing relationship with her parents, or the ending of her relationship with her ex-fiance. Despite these complications, Leo endeavors to win her heart again and rebuild their marriage.",043396400269,0043396400269,,,,"Blu-Ray, romantic-comedy",,,0.00,,,,,1,28520954,,,,,,,,
Harry Potter and the Goblet of Fire,,"When his name emerges from the Goblet of Fire, Harry Potter becomes a competitor in a grueling battle for glory among three wizarding schools. Signs of Voldemort's return emerge as Harry's friends help him prepare for the Triwizard Tournament.",0883929558599,0883929558599,,,,"Blu-Ray, fantasy",,,0.00,,,,,1,28422650,,,,,,,,
The Avengers,,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",786936854879,0786936854879,,,,"Blu-Ray, action",,,0.00,,,,,1,28389882,,,,,,,,
Barbie The Pearl Princess,,"Barbie plays Lumina, a mermaid girl with the power to change the color of pearls. Cheerful and creative, Lumina finds herself working in a mermaid salon customizing fabulous hairstyles. And when Lumina has the chance to attend the royal ball, her friends adorn her with a gown fit for a princess. At the ball, villains try to seize power over the kingdom, and Lumina finds within herself an unexpected power that proves she is much more than a hair stylist.",025192189272,0025192189272,,,,"Blu-Ray, kids-family",,,0.00,,,,,1,65573626,,,,,,,,
The Tale of the Princess Kaguya,,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthrals all who encounter her. But, ultimately, she must confront her fate.",0826663223088,0826663223088,,,,"Blu-Ray, kids-family",,,0.00,,,,,1,65540858,,,,,,,,
Furious 7,,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,025192398650,0025192398650,,,,"Blu-Ray, action",,,0.00,,,,,1,65508090,,,,,,,,
Year One,,"When a couple of lazy hunter-gatherers are banished from their primitive village, they set off on an epic journey through the ancient world.",043396292192,0043396292192,,,,"Blu-Ray, comedy",,,0.00,,,,,1,65442554,,,,,,,,
The Fault in Our Stars,,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.",024543968740,0024543968740,,,,"Blu-Ray, drama",,,0.00,,,,,1,65344250,,,,,,,,
Logan,,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",024543284383,0024543284383,,,,"Blu-Ray, action",,,0.00,,,,,1,65311482,,,,,,,,
World War Z,,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",0032429303127,0032429303127,,,,"Blu-Ray, action",,,0.00,,,,,1,65082106,,,,,,,,
From Paris With Love,,"James Reese has a good job as an ambassador's aid in France, but his real passion is a side gig—working in a minor role in the CIA. He would love to be a full-fledged agent and can't believe his luck when he lands an assignment with Charlie Wax. Trigger-happy Charlie soon has James crying for his desk job, but when he learns that the same guys they're trying to catch are after him, James realises that Charlie may be his only hope of survival.",031398121336,0031398121336,,,,"Blu-Ray, action",,,0.00,,,,,1,64951034,,,,,,,,
The A-Team,,"A man who loves when a plan comes together, Col. Hannibal Smith leads a close-knit team of elite operatives and Iraq War veterans. Framed for a crime they didn't commit, Smith and his men, Capt. H.M. ‘Howling Mad’ Murdock , Sgt. Bosco ‘B.A.’ Baracus, and Lt. Templeton ‘Faceman’ Peck, break out and go rogue, using their special talents to clear their names and find the perpetrator. Hot on their trail is Capt. Charissa Sosa, who was once involved with a member of Smith's team and has sworn to capture them, no matter what it takes.",024543273646,0024543273646,,,,"Blu-Ray, action",,,0.00,,,,,1,64885498,,,,,,,,
The Hurt Locker,,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",025192048562,0025192048562,,,,"Blu-Ray, action",,,0.00,,,,,1,64787194,,,,,,,,
The Hunger Games,,"In a dystopian society where the Capitol forces each district to send two young tributes to fight to the death in a televised spectacle, a girl volunteers to take her sister’s place, setting the stage for a struggle of survival and defiance.",031398155546,0031398155546,,,,"Blu-Ray, action",,,0.00,,,,,1,64754426,,,,,,,,
Happy Feet Two,,"Mumble the penguin has a problem: his son Erik, who is reluctant to dance, encounters the Mighty Sven — a penguin who can fly! Things get worse for Mumble when the world is shaken by powerful forces, causing him to bring together the penguin nations and their allies to set things right.",883929156467,0883929156467,,,,"Blu-Ray, kids-family",,,0.00,,,,,1,64721658,,,,,,,,
Quantum of Solace,,"Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",883904334170,0883904334170,,,,"Blu-Ray, action",,,0.00,,,,,1,64688890,,,,,,,,
Angels & Demons,,"Harvard symbologist Robert Langdon is recruited by the Vatican to investigate the apparent return of the Illuminati – a secret, underground organization – after four cardinals are kidnapped on the night of the papal conclave.",043396292178,0043396292178,,,,"Blu-Ray, thriller",,,0.00,,,,,1,64656122,,,,,,,,
Leatherheads,,"A light hearted comedy about the beginnings of Professional American Football. When a decorated war hero and college all star is tempted into playing professional football. Everyone see the chance to make some big money, but when a reporter digs up some dirt on the war hero... everyone could lose out.",025195042116,0025195042116,,,,"Blu-Ray, comedy",,,0.00,,,,,1,64623354,,,,,,,,
Django Unchained,,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",013132597270,0013132597270,,,,"Blu-Ray, action",,,0.00,,,,,1,64590586,,,,,,,,
The Dark Knight Rises,,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",883929212552,0883929212552,,,,"Blu-Ray, action",,,0.00,,,,,1,64557818,,,,,,,,
Despicable Me 2,,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,025192123634,0025192123634,,,,"Blu-Ray, kids-family",,,0.00,,,,,1,64492282,,,,,,,,
Fast & Furious 6,,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries; Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty.",025192170911,0025192170911,,,,"Blu-Ray, action",,,0.00,,,,,1,64459514,,,,,,,,
The Croods,,"The prehistoric Croods family live in a particularly dangerous moment in time. Patriarch Grug, his mate Ugga, teenage daughter Eep, son Thunk, and feisty Gran gather food by day and huddle together in a cave at night. When a more evolved caveman named Guy arrives on the scene, Grug is distrustful, but it soon becomes apparent that Guy is correct about the impending destruction of their world.",024543861430,0024543861430,,,,"Blu-Ray, kids-family",,,0.00,,,,,1,64426746,,,,,,,,
