Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
in-the-line-of-duty-i-iv,In the Line of Duty I-IV,,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRINT-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781395919664.jpg?v=1787925697,1,191-BLRINT-50-001A,false,,,,,,,action,,,,,,,,,,,,lb,,,active
the-cardona-collection-vol-2-vinegar-syndrome,The Cardona Collection Vol. 2 (Vinegar Syndrome),,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRTHC-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781397077041_22562d93-2600-4a18-9dca-85859e4467f0.jpg?v=1787925697,1,191-BLRTHC-50-001A,false,,,,,,,action,,,,,,,,,,,,lb,,,active
renfield-dracula-sucks-edition,Renfield: Dracula Sucks Edition,,Blu-Ray,Media > Videos,,"Blu-Ray, Comedy, Formatted, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRREN-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781378497315.jpg?v=1787925712,1,191-BLRREN-50-001A,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
hostel-part-ii-unseen-edition,Hostel Part II (Unseen Edition),,Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRHOS-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781295079692.jpg?v=1787925715,1,191-BLRHOS-50-001A,false,,,,,,,horror,,,,,,,,,,,,lb,,,active
horrible-bosses-totally-inappropriate-edition,Horrible Bosses: Totally Inappropriate Edition,,Blu-Ray,Media > Videos,,"Blu-Ray, Comedy, Formatted, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRHRR-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781292542707.jpg?v=1787925722,1,191-BLRHRR-50-001A,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
enter-the-void-full-length-directors-cut,Enter the Void (Full-Length Director's Cut),,Blu-Ray,Media > Videos,,"Blu-Ray, Drama, Formatted, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRENT-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781287227357.jpg?v=1787925736,1,191-BLRENT-50-001A,false,,,,,,,drama,,,,,,,,,,,,lb,,,active
cowboys-aliens-extended-edition,Cowboys & Aliens (Extended Edition),,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRCOW-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781285286175.jpg?v=1787925743,1,191-BLRCOW-50-001A,false,,,,,,,action,,,,,,,,,,,,lb,,,active
little-movie-club,Little Movie Club,,Supercycle,,Supercycle Plan,"Needs Review, Supercycle product",false,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,0.00,,false,true,,,,,75689978,,,,false,,,,,,,,,,,,,,,,,,,lb,,,draft
overboard-vhs-1987-goldie-hawn-kurt-russell,Overboard Vhs 1987 Goldie Hawn Kurt Russell,,VHS,Media > Videos,,"Comedy, Formatted, Rental, VHS",false,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSOVE-50-001A,,,,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
johnny-suede-1991,Johnny Suede 1991,,VHS,Media > Videos,,"Comedy, Formatted, Rental, VHS",false,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSJOH-50-001A,,,,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
the-marx-brothers-in-the-coconuts,The Marx Brothers In The Coconuts,,VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",false,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,true,true,,,,,191-VHSTH6-50-001A,,,,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
backtrack-1992-directors-cut,BackTrack (1992 Director's Cut),,VHS,Media > Videos,,"Floor Sale, Formatted, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,191-VHSBCK-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780436584746.jpg?v=1787925774,1,191-VHSBCK-50-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
an-american-summer-vhs,An American Summer [vhs],,VHS,Media > Videos,,"Drama, Formatted, Rental, VHS",false,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSNMR-50-001A,,,,false,,,,,,,drama,,,,,,,,,,,,lb,,,active
missing-link-peter-elliot-vhs-rare-1st-edition-original-release-1989-mca,Missing Link Peter Elliot Vhs Rare 1st Edition Original Release 1989 Mca,,VHS,Media > Videos,,"Floor Sale, Formatted, Sci-Fi, VHS",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,19.00,,true,true,,,,,191-VHSMIS-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780423894895_22e91a1b-d413-489f-9a8f-c8a49adaf7e8.jpg?v=1787925779,1,191-VHSMIS-50-001A,false,,,,,,,sci-fi,,,,,,,,,,,,lb,,,active
americas-great-national-parks-yosemite-yellowstone-grand-canyon-vhs-vcr-tapes,America's Great National Parks Yosemite Yellowstone Grand Canyon Vhs Vcr Tapes,,VHS,Media > Videos,,"Floor Sale, Formatted, Kids & Family, VHS",false,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,191-VHSAME-50-001A,,,,false,,,,,,,kids-family,,,,,,,,,,,,lb,,,draft
arlington-road-vhs-1999-jeff-bridges-tim-robbins,"Arlington Road (vhs, 1999) Jeff Bridges, Tim Robbins",,VHS,Media > Videos,,"Action, Floor Sale, Formatted, VHS",false,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,191-NKNARL-50-001A,,,,false,,,,,,,action,,,,,,,,,,,,lb,,,draft
a-league-of-their-own-madonna-tom-hanks-geena-davis-vhs,"A League Of Their Own Madonna, Tom Hanks, Geena Davis Vhs",,VHS,Media > Videos,,"Comedy, Formatted, Rental, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-NKNALE-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780412332044.jpg?v=1787925809,1,191-NKNALE-50-001A,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
an-evening-with-robin-williams-live-uncensored,An Evening With Robin Williams: Live & Uncensored,,VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,191-VHSANE-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780185844146.jpg?v=1787925816,1,An Evening With Robin Williams: Live & Uncensored poster,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
the-jerky-boys-the-movie,The Jerky Boys: The Movie,,VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,14.00,,true,true,,,,,191-VHSTHJ-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780185030687.jpg?v=1787925822,1,The Jerky Boys: The Movie poster,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
jerry-seinfeld-comedian-demo-tape,Jerry Seinfeld: Comedian (Demo Tape),,VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,true,true,,,,,191-VHSJER-F-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780180025880.jpg?v=1787925828,1,Jerry Seinfeld: Comedian (Demo Tape) poster,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
sprung-way-past-whipped,Sprung: Way Past Whipped!,,VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,191-VHSSPR-50-002A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780179145726.jpg?v=1787925830,1,Sprung: Way Past Whipped! poster,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
