title,creators,description,upc_isbn10,ean_isbn13,number_of_discs,ensemble,aspect_ratio,tags,notes,group,price,added,publisher,publish_date,length_of,copies,call_number,ddc,lcc,rating,review,review_created,status,began_date,completed_date
Billy Elliot,,"County Durham, England, 1984. The miners' strike has started and the police have started coming up from Bethnal Green, starting a class war with the lower classes suffering. Caught in the middle of the conflict is 11-year old Billy Elliot, who, after leaving his boxing club for the day, stumbles upon a ballet class and finds out that he's naturally talented. He practices with his teacher Mrs. Wilkinson for an upcoming audition in Newcastle-upon Tyne for the royal Ballet school in London.",,,,,,"DVD, drama",,,0.00,,,,,1,79826426,,,,,,,,
Blue Hawaii,,"Just discharged GI Chad Gates returns to Hawaii, where he becomes a tour guide, defying his mother's wishes for him to join the family business.",,,,,,"VHS, musical",,,0.00,,,,,1,18739450,,,,,,,,
Blue Streak,,"Miles Logan is a jewel thief who just hit the big time by stealing a huge diamond. However, after two years in jail, he comes to find out that he hid the diamond in a police building that was being built at the time of the robbery. In an attempt to regain his diamond, he poses as an LAPD detective.",,,,,,"DVD, comedy",,,0.00,,,,,1,91410426,,,,,,,,
Brazil,,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",,,,,,"VHS, sci-fi",,,0.00,,,,,1,18477306,,,,,,,,
Break Even,,Four adventurous friends find 50M in cash at a remote island only to discover it was left by the DEA for the Cartel in a rogue deal.,,,,,,"DVD, action",,,0.00,,,,,1,41745146,,,,,,,,
Caged,,"Somewhere in Eastern Europe. Carole is a young nurse with a humanitarian aid group that has reached the end of its mission. But just then, the young woman and her two colleagues are kidnapped by strangers for mysterious reasons. Held captive, cared for and kept alive in an oppressive and sinister setting, the three prisoners soon discover with horror what their kidnappers truly have in store for them.",,,,,,"DVD, horror",,,0.00,,,,,1,05356538,,,,,,,,
Casino Royale,,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",,,,,,"DVD, action",,,0.00,,,,,1,71823098,,,,,,,,
Catch That Kid,,"A determined twelve-year-old mountain climber takes drastic action to save her injured father by planning a high-stakes bank heist, using her skills and teamwork to navigate the challenge.",,,,,,"DVD, kids-family",,,0.00,,,,,1,19173370,,,,,,,,
Catch the Bullet,,"U.S. marshal Britt MacMasters returns from a mission to find his father wounded and his son kidnapped by the outlaw Jed Blake. Hot on their trail, Britt forms a posse with a gunslinging deputy and a stoic Pawnee tracker. But Jed and Britt tread dangerously close to the Red Desert’s Sioux territory.",,,,,,"DVD, action",,,0.00,,,,,1,07027706,,,,,,,,
Charlotte's Web,,"Wilbur the pig is scared of the end of the season, because he knows that come that time, he will end up on the dinner table. He hatches a plan with Charlotte, a spider that lives in his pen, to ensure that this will never happen.",,,,,,"DVD, kids-family",,,0.00,,,,,1,95954170,,,,,,,,
