Handle,Title,Vendor,Kind,Reason
not-quite-human-vhs-rental-kids-family,Not Quite Human,VHS,ambiguous,ambiguous TMDB match
waking-ned-devine-vhs-rental-comedy,Waking Ned Devine,VHS,ambiguous,ambiguous TMDB match
whitesnake-trilogy-vhs-rental-musical,Whitesnake: Trilogy,VHS,unmatched,no TMDB match
ratatouille-cooking-fun-for-all-ages-dvd-rental-kids-family,Ratatouille: Cooking Fun For All Ages,DVD,unmatched,no TMDB match
j-lo-lets-get-loud-dvd-rental-musical,J Lo: Let's Get Loud,DVD,unmatched,no TMDB match
a-summer-place-vhs-rental-drama,A Summer Place,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
multiplicity-vhs-rental-comedy,Multiplicity,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
to-catch-a-yeti-vhs-rental-kids-family,To Catch a Yeti,VHS,unmatched,no UPCMDB records for this imdb_id
84-charing-cross-road-vhs-rental-drama,84 Charing Cross Road,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
feds-vhs-rental-comedy,Feds,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
dragon-heart-vhs-rental-fantasy,Dragon Heart,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
time-stalkers-vhs-rental-sci-fi,Time Stalkers,VHS,unmatched,no TMDB match
white-mane-vhs-rental-kids-family,White Mane,VHS,unmatched,no UPCMDB records for this imdb_id
labor-pains-vhs-rental-romantic-comedy,Labor Pains,VHS,unmatched,no UPCMDB records for this imdb_id
drylongs-vhs-rental-drama,Drylongs,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
wild-america-vhs-rental-kids-family,Wild America,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
too-young-to-die-vhs-rental-drama,Too Young to Die,VHS,unmatched,no UPCMDB records for this imdb_id
the-vagina-monoloues-vhs-rental-documentary,The Vagina Monoloues,VHS,unmatched,no TMDB match
lonely-guy-vhs-rental-romantic-comedy,Lonely Guy,VHS,ambiguous,ambiguous TMDB match
ernie-kovacs-between-the-laughter-vhs-rental-comedy,Ernie Kovacs: Between the Laughter,VHS,unmatched,no UPCMDB records for this imdb_id
they-still-call-me-bruce-vhs-rental-comedy,They Still Call me Bruce,VHS,unmatched,no UPCMDB records for this imdb_id
ferris-buellers-day-off-vhs-rental-comedy,Ferris Bueller's Day Off,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
that-darn-cat-vhs-rental-kids-family,That Darn Cat,VHS,ambiguous,ambiguous TMDB match
real-life-vhs-rental-comedy,Real Life,VHS,ambiguous,ambiguous TMDB match
topaz-vhs-rental-thriller,Topaz,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
just-around-the-corner-vhs-rental-musical,Just Around the Corner,VHS,unmatched,no UPCMDB records for this imdb_id
little-laura-big-john-vhs-rental-drama,Little Laura & Big John,VHS,unmatched,no UPCMDB records for this imdb_id
music-of-the-heart-vhs-rental-drama,Music of the Heart,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-war-vhs-rental-drama,The War,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
fun-with-dick-and-jane-dvd-rental-comedy,Fun with Dick and Jane,DVD,ambiguous,ambiguous TMDB match
the-amityvilly-horror-dvd-rental-horror,The Amityvilly Horror,DVD,unmatched,no TMDB match
the-secret-of-roan-inish-island-of-the-seals-dvd-rental-kids-family,The Secret of Roan Inish (Island of the Seals),DVD,unmatched,no TMDB match
the-mothman-curse-dvd-rental-horror,The Mothman Curse,DVD,unmatched,no UPCMDB records for this imdb_id
masterminds-dvd-rental-comedy,Masterminds,DVD,ambiguous,ambiguous TMDB match
thr3e-dvd-rental-horror,Thr3e,DVD,unmatched,no UPCMDB records for this imdb_id
suburban-girl-dvd-rental-romantic-comedy,Suburban Girl,DVD,unmatched,no UPCMDB records for this imdb_id
the-gun-run-dvd-rental-action,The Gun Run,DVD,ambiguous,ambiguous TMDB match
downton-abbey-the-motion-picture-dvd-rental-drama,Downton Abbey: The Motion Picture,DVD,ambiguous,ambiguous TMDB match
american-lowrider-dvd-rental-drama,American Lowrider,DVD,unmatched,no UPCMDB records for this imdb_id
always-watching-dvd-rental-horror,Always Watching,DVD,unmatched,no UPCMDB records for this imdb_id
eagles-hell-freezes-over-dvd-rental-musical,Eagles: Hell Freezes Over,DVD,unmatched,no UPCMDB records for this imdb_id
paradise-city-dvd-rental-action,Paradise City,DVD,unmatched,no UPCMDB records for this imdb_id
my-one-and-only-dvd-rental-comedy,My One and Only,DVD,ambiguous,ambiguous TMDB match
return-to-nims-island-dvd-rental-kids-family,Return to Nim's Island,DVD,unmatched,no UPCMDB records for this imdb_id
gangs-of-the-dead-dvd-rental-horror,Gangs of the Dead,DVD,unmatched,no UPCMDB records for this imdb_id
earth-wind-fire-in-concert-dvd-rental-musical,"Earth, Wind & Fire in Concert",DVD,unmatched,no UPCMDB records for this imdb_id
paul-mccartney-live-at-the-cavern-club-dvd-rental-musical,Paul McCartney: Live at the Cavern Club,DVD,unmatched,TMDB has no imdb_id for this title
superstar-dare-to-dream-dvd-rental-comedy,Superstar: Dare to Dream,DVD,unmatched,no TMDB match
reguarding-henry-dvd-rental-drama,Reguarding Henry,DVD,unmatched,no TMDB match
romancing-the-bride-dvd-rental-romantic-comedy,Romancing the Bride,DVD,unmatched,no UPCMDB records for this imdb_id
los-lonely-boys-dvd-rental-musical,Los Lonely Boys,DVD,ambiguous,ambiguous TMDB match
things-you-can-tell-just-by-looking-at-her-dvd-rental-drama,Things You Can Tell Just by Looking at Her,DVD,unmatched,no UPCMDB records for this imdb_id
bishwick-dvd-rental-horror,Bishwick,DVD,unmatched,no TMDB match
paul-blart-mall-cop-2-dvd-rental-kids-family,Paul Blart: Mall Cop 2,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
the-three-muskateers-dvd-rental-action,The Three Muskateers,DVD,ambiguous,ambiguous TMDB match
secret-window-dvd-rental-thriller,Secret Window,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
held-up-dvd-rental-comedy,Held Up,DVD,ambiguous,ambiguous TMDB match
open-call-dvd-rental-documentary,Open Range,DVD,ambiguous,ambiguous TMDB match
noah-dvd-rental-drama,Noah,DVD,ambiguous,ambiguous TMDB match
courting-mom-dad-dvd-rental-kids-family,Courting Mom & Dad,DVD,unmatched,no UPCMDB records for this imdb_id
dead-tone-dvd-rental-horror,Dead Tone,DVD,unmatched,no UPCMDB records for this imdb_id
paul-blart-mall-cop-dvd-rental-kids-family,Paul Blart: Mall Cop,DVD,ambiguous,ambiguous TMDB match
the-november-man-dvd-rental-action,The November Man,DVD,unmatched,no UPCMDB records for this imdb_id
hoosiers-dvd-rental-drama,Hoosiers,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
2-days-in-paris-dvd-rental-romantic-comedy,2 Days in Paris,DVD,unmatched,no UPCMDB records for this imdb_id
the-debt-dvd-rental-thriller,The Debt,DVD,ambiguous,ambiguous TMDB match
irish-jam-dvd-rental-comedy,Irish Jam,DVD,unmatched,no UPCMDB records for this imdb_id
the-bount-hunter-dvd-rental-comedy,The Bount Hunter,DVD,unmatched,no TMDB match
the-pursuit-fo-happyness-dvd-rental-drama,The Pursuit fo Happyness,DVD,unmatched,no TMDB match
kill-em-all-dvd-rental-action,Kill 'Em All,DVD,ambiguous,ambiguous TMDB match
mortal-dvd-rental-thriller,Mortal,DVD,unmatched,TMDB has no imdb_id for this title
beverly-hills-chihuahua-dvd-rental-kids-family,Beverly Hills Chihuahua,DVD,ambiguous,ambiguous TMDB match
el-cantante-dvd-rental-romantic-comedy,El Cantante,DVD,unmatched,no UPCMDB records for this imdb_id
usher-truth-tour-dvd-rental-musical,USHER: TRUTH TOUR,DVD,ambiguous,ambiguous TMDB match
the-librarian-quest-for-the-spear-dvd-rental-action,The Librarian: Quest for the Spear,DVD,unmatched,no UPCMDB records for this imdb_id
hip-hop-2000-dvd-rental-documentary,Hip Hop 2000,DVD,unmatched,TMDB has no imdb_id for this title
