Reason,Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
no description; no image,dead-man-down-bluray-floor-sale-thriller,Dead Man Down,,Blu-Ray,Media > Videos,,"Blu-Ray, Floor Sale, Formatted, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,45421818,,,,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
no description; no image,dead-of-night-vhs,Dead of Night,,VHS,Media > Videos,,"Floor Sale, Formatted, Horror, VHS",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,63863802,,,,false,,,,,,,horror,,,,,,,,,,,,lb,,,active
no description; no image,dead-or-alive-vhs-floor-sale-thriller,Dead or Alive,,VHS,Media > Videos,,"Floor Sale, Formatted, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,28404730,,,,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
no image,dead-presidents-vhs-floor-sale-drama,Dead Presidents,<p></p>,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,58271482,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
no description; no image,dead-sleep-vhs-floor-sale-horror,Dead Sleep,,VHS,Media > Videos,,"Floor Sale, Formatted, Horror, VHS",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,44081402,,,,false,,,,,,,horror,,,,,,,,,,,,lb,,,active
no image,dead-space-vhs-floor-sale-sci-fi,Dead Space,<p></p>,VHS,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,85607930,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
no description; no image,dead-tone-dvd-rental-horror,Dead Tone,,DVD,Media > Videos,,"DVD, Formatted, Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,02341114,,,,false,,,,,,,horror,,,,,,,,,,,,lb,,,active
no description; no image,death-and-the-maiden-vhs-floor-sale-thriller,Death and the Maiden,,VHS,Media > Videos,,"Floor Sale, Formatted, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,46047482,,,,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
no description; no image,death-diploma-vhs-floor-sale-thriller,Death Diploma,,VHS,Media > Videos,,"Floor Sale, Formatted, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,38013434,,,,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
no description; no image,death-race-dvd-floor-sale-action,Death Race,,DVD,Media > Videos,,"Action, DVD, Floor Sale, Formatted",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,21318650,,,,false,,,,,,,action,,,,,,,,,,,,lb,,,active
no description; no image,death-wish-4-vhs-rental-action,Death Wish 4,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,11096570,,,,false,,,,,,,action,,,,,,,,,,,,lb,,,active
no description; no image,deceit-vhs,Deceit,,VHS,Media > Videos,,"Floor Sale, Formatted, Horror, VHS",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,46922746,,,,false,,,,,,,horror,,,,,,,,,,,,lb,,,active
no image,deceived-vhs-rental-action,Deceived,<p></p>,VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,82778106,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
