call_number,barcode_status,content_status,message
04802298,updated,updated,barcode: ok | content: changed: poster
83549690,updated,updated,barcode: ok | content: changed: poster
14499834,updated,updated,barcode: ok | content: changed: poster
28100602,updated,updated,barcode: ok | content: changed: poster
42728954,updated,updated,barcode: ok | content: changed: poster
19383290,updated,updated,barcode: ok | content: changed: poster
83287546,updated,updated,barcode: ok | content: changed: poster
03954682,updated,updated,barcode: ok | content: changed: poster
35618298,updated,updated,barcode: ok | content: changed: poster
30695930,updated,updated,barcode: ok | content: changed: poster
85944826,updated,updated,barcode: ok | content: changed: poster
30858746,updated,updated,barcode: ok | content: changed: poster
98973946,updated,updated,barcode: ok | content: changed: poster
21021690,updated,updated,barcode: ok | content: changed: poster
37182970,updated,updated,barcode: ok | content: changed: poster
43485690,updated,updated,barcode: ok | content: changed: poster
03266554,updated,updated,barcode: ok | content: changed: poster
24764922,updated,updated,barcode: ok | content: changed: poster
01408250,updated,updated,barcode: ok | content: changed: poster
00706298,updated,updated,barcode: ok | content: changed: poster
03393274,updated,updated,barcode: ok | content: changed: poster
01103866,updated,updated,barcode: ok | content: changed: poster
34528762,updated,updated,barcode: ok | content: changed: poster
23454202,updated,updated,barcode: ok | content: changed: poster
20013562,updated,updated,barcode: ok | content: changed: poster
28990970,updated,updated,barcode: ok | content: changed: poster
28133370,updated,updated,barcode: ok | content: changed: poster
83058170,updated,updated,barcode: ok | content: changed: poster
06483450,updated,updated,barcode: ok | content: changed: poster
42764794,updated,updated,barcode: ok | content: changed: poster
35872250,updated,updated,barcode: ok | content: changed: poster
07554810,updated,updated,barcode: ok | content: changed: poster
19718650,updated,updated,barcode: ok | content: changed: poster
51808506,updated,updated,barcode: ok | content: changed: poster
45517306,updated,updated,barcode: ok | content: changed: poster
75574266,updated,updated,barcode: ok | content: changed: poster
02420218,updated,updated,barcode: ok | content: changed: poster
22529018,updated,updated,barcode: ok | content: changed: poster
36634106,updated,updated,barcode: ok | content: changed: poster
85879290,updated,updated,barcode: ok | content: changed: poster
30197754,updated,updated,barcode: ok | content: changed: poster
70855674,updated,updated,barcode: ok | content: changed: poster
74230778,updated,updated,barcode: ok | content: changed: poster
43452922,updated,updated,barcode: ok | content: changed: poster
21422586,updated,updated,barcode: ok | content: changed: poster
00818426,updated,updated,barcode: ok | content: changed: poster
67873786,updated,updated,barcode: ok | content: changed: poster
85453306,updated,updated,barcode: ok | content: changed: poster
00752890,updated,updated,barcode: ok | content: changed: poster
97636090,updated,updated,barcode: ok | content: changed: poster
50399482,updated,updated,barcode: ok | content: changed: poster
19489274,updated,updated,barcode: ok | content: changed: poster
71543802,updated,updated,barcode: ok | content: changed: poster
06244090,updated,updated,barcode: ok | content: changed: poster
06899450,updated,updated,barcode: ok | content: changed: poster
18039802,updated,updated,barcode: ok | content: changed: poster
01824762,updated,updated,barcode: ok | content: changed: poster
00654586,updated,updated,barcode: ok | content: changed: poster
35257850,updated,updated,barcode: ok | content: changed: poster
