Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
marley-me-dvd,Marley & Me,"<p>Newlyweds John and Jenny Grogan leave behind snowy Michigan and move to Florida, where they buy their first home and find jobs at competing newspapers. Soon afterward, the Grogans adopt Marley, a yellow Labrador pup. But Marley soon grows up to be a mischievous handful. Still, even while he's destroying the furniture and failing obedience school, he always manages to bring out the best in John, Jenny and their growing family.</p>",DVD,,,"Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78328826,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/81NatWVDY3S._AC_UF1000_1000_QL80.jpg?v=1783534652,1,,false,,,,,,,,,,lb,,,active
four-weddings-and-a-funeral-bluray,Four Weddings and a Funeral,"<p>Lovable Englishman Charles and his group of friends seem to be unlucky in love. When Charles meets a beautiful American named Carrie at a wedding, he thinks his luck may have changed. But, after one magical night, Carrie returns to the States, ending what might have been. As Charles and Carrie's paths continue to cross -- over a handful of nuptials and one funeral -- he comes to believe they are meant to be together, even if their timing always seems to be off.</p>",Blu-Ray,,,"Rental, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78296058,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/91a1OQLT4tL._AC_UF1000_1000_QL80.jpg?v=1783534651,1,,false,,,,,,,,,,lb,,,active
chasing-amy-bluray,Chasing Amy,"<p>A comic-book writer stumbles upon the love of his life, only to discover that she is gay. The situation is exacerbated by his roommate and professional partner who becomes increasingly threatened by the possibility that he will be replaced. The third film in writer-director's New Jersey trilogy, following on from `Clerks' and `Mallrats'.</p>",Blu-Ray,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78263290,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/51EkzPIvmrL.AC.jpg?v=1783534649,1,,false,,,,,,,,,,lb,,,active
boxanne-bluray,Boxanne,"<p>Boxanne is about Dane Werther, manager of a couples boutique and aspiring comic book artist who falls in love with a real doll after he names it and she comes to life - at least in his own mind.</p>",Blu-Ray,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78164986,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/d70e81d908-poster.jpg?v=1783534648,1,,false,,,,,,,,,,lb,,,active
chasing-amy-dvd,Chasing Amy,"<p>A comic-book writer stumbles upon the love of his life, only to discover that she is gay. The situation is exacerbated by his roommate and professional partner who becomes increasingly threatened by the possibility that he will be replaced. The third film in writer-director's New Jersey trilogy, following on from `Clerks' and `Mallrats'.</p>",DVD,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78132218,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/6e7213b4-034c-40e9-a019-80744f12e970.jpg?v=1783534647,1,,false,,,,,,,,,,lb,,,active
this-is-the-end-dvd,This is the End,"<p>This Is the End is a 2013 American apocalyptic comedy film written, directed and produced by Seth Rogen and Evan Goldberg in their directorial debuts.</p>",DVD,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78099450,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/s-l1200.jpg?v=1783534645,1,,false,,,,,,,,,,lb,,,active
norbit-dvd,Norbit,"<p>Mild-mannered Norbit (Eddie Murphy) has always had it rough, since the day he was left abandoned at a combination Chinese restaurant and orphanage. Recently forced to marry the shrewish glutton Rasputia, he is at wit's end. Then his childhood sweetheart, Kate (Thandie Newton), moves back to town, and he tries to figure out a way back to his true love.</p>",DVD,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78066682,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_75b96f93-2699-4af6-8820-be9a839c04e7.jpg?v=1783534643,1,,false,,,,,,,,,,lb,,,active
definitely-maybe-dvd,"Definitely, Maybe","<p>Will Hayes (Ryan Reynolds), a thirtysomething Manhattanite, is in the middle of divorce proceedings when his young daughter (Abigail Breslin) asks him about his life before marriage, including how he met and fell in love with her mother. Will flashes back to 1992 and recounts his romances with three women, changing their names so that his daughter must guess which one became his wife.</p>",DVD,,,"Rental, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78033914,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/p164697_v_v8_ac.jpg?v=1783534642,1,,false,,,,,,,,,,lb,,,active
the-art-of-getting-by-dvd,The Art of Getting By,"<p>George (Freddie Highmore) is a senior at a posh Manhattan prep school, but his disaffected attitude leaves little room for toeing the line. He'd rather doodle and read philosophy, and he strenuously avoids his parents (Rita Wilson, Sam Robards) whenever possible. Unfortunately, George's attitude is endangering his chances of graduating. Then he meets Sally (Emma Roberts). George finds himself falling in love with her, but an older artist (Michael Angarano) adds a complication to the mix.</p>",DVD,,,"Rental, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78001146,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/91ywNSUaGpL._AC_UF894_1000_QL80.jpg?v=1783534641,1,,false,,,,,,,,,,lb,,,active
love-actually-dvd,Love Actually,"<p>Nine intertwined journeys examine the complexities of the one emotion that connects all individuals, love. Among these individuals is David, the handsome, newly elected British prime minister who falls for a junior staffer. Sarah is a graphic designer whose devotion to her mentally ill brother complicates her love life. Harry, a married man, is tempted by his attractive new secretary.</p>",DVD,,,"Rental, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,77968378,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_a6c66e21-a9a3-4eea-b2ba-580558cf635b.jpg?v=1783534639,1,,false,,,,,,,,,,lb,,,active
