title,creators,description,upc_isbn10,ean_isbn13,number_of_discs,ensemble,aspect_ratio,tags,notes,group,price,added,publisher,publish_date,length_of,copies,call_number,ddc,lcc,rating,review,review_created,status,began_date,completed_date
The Motorcycle Diaries,,"Based on the journals of Che Guevara, leader of the Cuban Revolution. In his memoirs, Guevara recounts adventures he and best friend Alberto Granado had while crossing South America by motorcycle in the early 1950s.",025192594229,0025192594229,,,,"DVD, drama",,,0.00,,,,,1,38348794,,,,,,,,
V  for Vendetta,,"In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.",12569736603,0012569736603,,,,"DVD, action",,,0.00,,,,,1,33695738,,,,,,,,
Brideshead Revisited,,"Befriended by aristocrat Sebastian Flyte, Oxford student Charles Ryder finds that the power and privilege experienced by the family is seductive. On a visit to the ancestral home, Brideshead, he falls in love with his friend's sister, Julia. However, as his ties to the Flytes deepen, Ryder finds himself at odds with their strong Roman Catholicism.",096009783297,0096009783297,,,,"DVD, drama",,,0.00,,,,,1,31664122,,,,,,,,
Misery,,"After an accident, acclaimed novelist Paul Sheldon is rescued by a nurse who claims to be his biggest fan. Her obsession takes a dark turn when she holds him captive in her remote Colorado home and forces him to write back to life the popular literary character he killed off.",027616851390,0027616851390,,,,"DVD, horror",,,0.00,,,,,1,31631354,,,,,,,,
Zookeeper,,"Kindhearted Griffin Keyes is one of the best-loved caretakers at the Franklin Park Zoo, but he's more comfortable with the animals than with females of his own species as proven by his failed marriage proposal to the self-absorbed Stephanie several years ago. The animals have listened to Griffin pine over her for years and, after she reappears in his life, they decide to help Griffin rekindle the relationship and become the alpha male she wants him to be. They inadvertently reveal their secret ability to talk and, after Griffin's initial shock, teach him the rules of courtship, animal-style. Surprisingly, the animals' advice really works and Griffin is about to get everything he's ever dreamed of--or is he?",043396376731,0043396376731,,,,"DVD, kids-family",,,0.00,,,,,1,31598586,,,,,,,,
It,,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",191091358337,0191091358337,,,,"DVD, horror",,,0.00,,,,,1,31008762,,,,,,,,
Cowboys and Aliens,,"A stranger stumbles into the desert town of Absolution with no memory of his past and a futuristic shackle around his wrist. With the help of mysterious beauty Ella and the iron-fisted Colonel Dolarhyde, he finds himself leading an unlikely posse of cowboys, outlaws, and Apache warriors against a common enemy from beyond this world in an epic showdown for survival.",025192074776,0025192074776,,,,"DVD, sci-fi",,,0.00,,,,,1,30975994,,,,,,,,
The Company,,"Ensemble drama centered around a group of ballet dancers, with a focus on one young dancer who's poised to become a principal performer.",043396013223,0043396013223,,,,"DVD, drama",,,0.00,,,,,1,30386170,,,,,,,,
Act of Valor,,"When a covert mission to rescue a kidnapped CIA operative uncovers a chilling plot, an elite, highly trained U.S. SEAL team speeds to hotspots around the globe, racing against the clock to stop a deadly terrorist attack.",024543403944,,,,,"DVD, action",,,0.00,,,,,1,42934778,,,,,,,,
Superman Returns,,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest to felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",012569723511,0012569723511,,,,"DVD, action",,,0.00,,,,,1,42869242,,,,,,,,
