Handle,Title,Vendor,Kind,Reason
rain-without-thunder-vhs-rental-drama,Rain Without Thunder,VHS,unmatched,no UPCMDB records for this imdb_id
bloodhounds-of-broadway-vhs-rental-comedy,Bloodhounds of Broadway,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
widows-vhs-rental-thriller,Widows,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
quicksand-no-escape-vhs-rental-action,Quicksand No Escape,VHS,unmatched,no UPCMDB records for this imdb_id
the-wrong-guy-vhs-rental-comedy,The Wrong Guy,VHS,unmatched,no UPCMDB records for this imdb_id
universal-soldier-2-3-dvd-rental-action,Universal Soldier 2 | 3,DVD,ambiguous,ambiguous TMDB match
universal-soldier-regeneration-dvd-rental-action,Universal Soldier: Regeneration,DVD,unmatched,no UPCMDB records for this imdb_id
once-upon-a-time-in-mexico-dvd-rental-action,Once Upon a Time in Mexico,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
night-buffalo-dvd-rental-foreign,Night Buffalo,DVD,ambiguous,ambiguous TMDB match
little-buddah-dvd-rental-drama,Little Buddah,DVD,unmatched,no TMDB match
kundun-dvd-rental-drama,Kundun,DVD,unmatched,no UPCMDB records for this imdb_id
cyborg-dvd-rental-action,Cyborg,DVD,unmatched,no UPCMDB records for this imdb_id
the-dead-one-dvd-rental-horror,The Dead One,DVD,ambiguous,ambiguous TMDB match
island-in-the-sun-dvd-rental-drama,Island in the Sun,DVD,unmatched,no UPCMDB records for this imdb_id
sybil-dvd-rental-drama,Sybil,DVD,unmatched,no UPCMDB records for this imdb_id
hot-war-dvd-rental-foreign,Hot War,DVD,unmatched,no UPCMDB records for this imdb_id
the-conman-dvd-rental-foreign,The Conman,DVD,unmatched,no UPCMDB records for this imdb_id
the-legend-of-zorro-dvd-rental-action,The Legend of Zorro,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
terror-from-under-the-house-dvd-rental-horror,Terror From Under The House,DVD,ambiguous,ambiguous TMDB match
leclisse-dvd-rental-drama,L'Eclisse,DVD,unmatched,no UPCMDB records for this imdb_id
europa-dvd-rental-drama,Europa,DVD,ambiguous,ambiguous TMDB match
divorce-italian-style-dvd-rental-comedy,Divorce Italian Style,DVD,unmatched,no UPCMDB records for this imdb_id
escape-from-hong-kong-island-dvd-rental-action,Escape From Hong Kong Island,DVD,unmatched,no UPCMDB records for this imdb_id
bangkock-dangerous-dvd-rental-action,Bangkock Dangerous,DVD,unmatched,no TMDB match
fever-lake-dvd-rental-horror,Fever Lake,DVD,unmatched,no UPCMDB records for this imdb_id
la-vi-en-ros-dvd-rental-foreign,La Vi En Ros,DVD,unmatched,no TMDB match
say-hello-to-yesterday-dvd-rental-drama,Say Hello to Yesterday,DVD,unmatched,no UPCMDB records for this imdb_id
twisted-justice-dvd-rental-thriller,Twisted Justice,DVD,unmatched,no UPCMDB records for this imdb_id
picnic-at-hanging-rock-dvd-rental-horror,Picnic at Hanging Rock,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
a-sween-scent-of-death-dvd-rental-foreign,A Sweet Scent of Death,DVD,unmatched,no UPCMDB records for this imdb_id
dreamkeeper-dvd-rental-fantasy,Dreamkeeper,DVD,unmatched,no UPCMDB records for this imdb_id
yeti-a-gay-love-story-dvd-rental-comedy,Yeti: A Gay Love Story,DVD,unmatched,no UPCMDB records for this imdb_id
joyeux-noel-dvd-rental-drama,Joyeux Noel,DVD,ambiguous,ambiguous TMDB match
homework-dvd-rental-comedy,Homework,DVD,ambiguous,ambiguous TMDB match
fearless-dvd-rental-drama,Fearless,DVD,ambiguous,ambiguous TMDB match
the-order-dvd-rental-action,The Order,DVD,unmatched,no UPCMDB records for this imdb_id
bad-seed-vhs-rental-thriller,Bad Seed,VHS,unmatched,no UPCMDB records for this imdb_id
revenge-vhs-rental-thriller,Revenge,VHS,ambiguous,ambiguous TMDB match
rainbow-drive-vhs-rental-action,Rainbow Drive,VHS,unmatched,no UPCMDB records for this imdb_id
the-candidate-vhs-rental-drama,The Candidate,VHS,ambiguous,ambiguous TMDB match
the-cannonball-run-vhs-rental-comedy,The Cannonball Run,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-last-stop-vhs-rental-thriller,The Last Stop,VHS,unmatched,no UPCMDB records for this imdb_id
molly-vhs-rental-drama,Molly,VHS,ambiguous,ambiguous TMDB match
checking-out-vhs-rental-comedy,Checking Out,VHS,ambiguous,ambiguous TMDB match
cat-chaser-vhs-rental-thriller,Cat Chaser,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
spanish-judges-vhs-rental-thriller,Spanish Judges,VHS,unmatched,no UPCMDB records for this imdb_id
cement-vhs-rental-thriller,Cement,VHS,ambiguous,ambiguous TMDB match
ronin-vhs-rental-action,Ronin,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
she-devil-vhs-rental-comedy,She-Devil,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-bad-news-bears-go-to-japan-vhs-rental-comedy,The Bad News Bears Go To Japan,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
