Handle,Title,Option1 Name,Option1 Value,Image Src,Image Alt Text,Body (HTML)
a-wrinkle-in-time-bluray-floor-sale-kids-family,A Wrinkle in Time,Genre,Kids & Family,,,"<p>After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.</p>"
ace-ventura-vhs-7,Ace Ventura,Genre,Comedy,,,"<p>He's Ace Ventura: Pet Detective. The Ace is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man… or beast!</p>"
abduction-dvd-rental-action,Abduction,Genre,Action,,,"<p>For many years, Nathan Harper has had the uneasy feeling that life with his family isn't quite what it seems. As he draws closer to uncovering the truth, he is hunted by assassins, forcing him to flee with his neighbor, Karen, the only person he can trust.</p>"
ace-ventura-vhs-floor-sale-comedy,Ace Ventura,Genre,Comedy,,,"<p>He's Ace Ventura: Pet Detective. The Ace is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man… or beast!</p>"
almost-vhs-rental-comedy,...Almost,Genre,Comedy,,,"<p>Alex and Erica Boyer are a young couple in crisis. Alex, despite his loving wife, beautiful home and high-paying job, feels trapped. When Erica has an accident that leaves her temporarily confined to a wheelchair and requiring the services of a private nurse, the beautiful Lisa enters the Boyers' lives. A complicated situation develops as Alex sees Lisa as the cure for his own problems as well as his wife's.</p>"
8-1-2-women-vhs-floor-sale-comedy,8 1/2 Women,Genre,Comedy,,,"<p>After his wife dies, middle-aged businessman Philip Emmenthal, at the prompting of his playboy son Storey, populates his Geneva villa with eight-and-a-half concubines. Three are from Kyoto, where Storey manages Pachinco palaces. Each has a distinctive personality: a nun, a child bearer, a gambler, a student of Kabuki, a horsewoman with a pet pig, a maid. As a year passes, the women begin asserting their own power.</p>"
7-soles-dvd-rental-horror,7 Soles,Genre,Horror,,,"<p>A man called ""The Black"" is hired to smuggle a group of undocumented migrants into the United States. He wants to quit the smuggling business and claims this is his last trip. His superiors, now suspicious, send Gavilan, a younger smuggler, to keep an eye on him. During the troubled crossing, the smugglers fight and eventually lose part of their human cargo.  ""The Black"" escapes from his former associates but also needs to ecape from the Border Patrol.</p>"
84-charing-cross-road-vhs-rental-drama,84 Charing Cross Road,Genre,Drama,,,"<p>When a humorous script-reader in her New York apartment sees an ad in the Saturday Review of Literature for a bookstore in London that does mail order, she begins a very special correspondence and friendship with Frank Doel, the bookseller who works at Marks & Co., 84 Charing Cross Road.</p>"
a-cry-in-the-dark-vhs,A Cry in the Dark,Genre,Thriller,,,"<p>Based on the true story of Lindy Chamberlain who, during a family camping trip to Ayers Rock in central Australia, claimed she witnessed a dingo take her baby daughter, Azaria, from their tent. Azaria's body was never found and, after investigations and two public inquests, she is charged with murder.</p>"
adams-rib,Adam's Rib,Genre,Comedy,,,"<p>A woman's attempted murder of her uncaring husband results in everyday quarrels in the lives of Adam and Amanda, a pair of happily married lawyers who end up on opposite sides of the case in court.</p>"
