Handle,Title,Option1 Name,Option1 Value,Image Src,Image Alt Text,Body (HTML)
adventures-in-babysitting-dvd-rental-comedy,Adventures in Babysitting,Genre,Comedy,,,"<p>When plans with her boyfriend fall through, high school senior Chris Parker ends up babysitting the Anderson kids, Brad and Sara. What should be a quiet night in, however, turns into a series of ridiculous exploits, starting when they leave the house to pick up Chris' friend Brenda. Soon, Brad's buddy Daryl is involved, and the group must contend with car thieves, blues musicians and much more.</p>"
adventures-in-babysitting-vhs-floor-sale-comedy,Adventures in Babysitting,Genre,Comedy,,,"<p>When plans with her boyfriend fall through, high school senior Chris Parker ends up babysitting the Anderson kids, Brad and Sara. What should be a quiet night in, however, turns into a series of ridiculous exploits, starting when they leave the house to pick up Chris' friend Brenda. Soon, Brad's buddy Daryl is involved, and the group must contend with car thieves, blues musicians and much more.</p>"
adventures-of-the-wilderness-family,Adventures of the Wilderness Family,Genre,Kids & Family,,,<p>The story of a modern family bored with the hassles of the city life in Los Angeles. They head for the wilderness never to return.</p>
against-the-wall-vhs-rental-drama,Against the Wall,Genre,Drama,,,"<p>In 1971, a warden at Attica Penitentiary is caught up in a hostage crisis when inmates take over the prison to demand better living conditions.</p>"
aladdin-bluray,Aladdin,Genre,Kids & Family,,,"<p>In the boorish city of Agrabah, kind-hearted street urchin Aladdin and Princess Jasmine fall in love, although she can only marry a prince. He and power-hungry Grand Vizier Jafar vie for a magic lamp that can fulfill their wishes.</p>"
alfie,Alfie,Genre,Comedy,,,<p>A young man leads a promiscuous lifestyle until several life reversals make him rethink his purposes and goals in life.</p>
alice-in-wonderland-vhs,Alice in Wonderland,Genre,Kids & Family,,,"<p>On a golden afternoon, wildly curious young Alice tumbles into the burrow and enters the merry, madcap world of Wonderland full of whimsical escapades.</p>"
all-dogs-go-to-heaven-vhs-8,All Dogs Go to Heaven,Genre,Kids & Family,,,"<p>When a casino-owning dog named Charlie is murdered by his rival Carface, he finds himself in Heaven. Wanting to get back at his killer, he cons his way back to the living with the warning that doing so damns him to Hell. Once back, he teams with his old partner, Itchy, to prep his retaliation. He stumbles upon an orphan girl who can talk to the animals, thus allowing him to get the inside info on the races to ensure his wins to finance his plans. However, all the while, he is still haunted by nightmares of what's waiting for him on the other side unless he can prove that he is worthy of Heaven again.</p>"
all-in-dvd-floor-sale-drama,All In,Genre,Drama,,,<p>Six medical students with unique talents pool their resources to win the World Series of Poker.</p>
almost-famous-dvd-floor-sale-drama,Almost Famous,Genre,Drama,,,"<p>In 1973, a precocious 15-year-old aspiring rock journalist lands a dream assignment from Rolling Stone to tour with a rising rock band, embarking on a coming-of-age journey as he discovers the exhilarating and heartbreaking realities behind rock stardom.</p>"
along-came-a-spider-vhs-rental-thriller,Along Came a Spider,Genre,Thriller,,,"<p>After the harrowing death of his partner, forensic psychologist and best-selling author Alex Cross cannot forgive himself and has retreated to the peace of retirement. But when a brilliant criminal kidnaps a senator's young daughter, he is lured back into action as the kidnapper wants to deal with Alex personally. Teamed with Jezzie Flanigan, the Secret Service agent assigned to protect the missing girl, Alex follows a serpentine trail of clues that leads him to a stunning discovery - the kidnapper wants more than just ransom.</p>"
along-came-a-spider-vhs-floor-sale-thriller,Along Came A Spider,Genre,Thriller,,,"<p>After the harrowing death of his partner, forensic psychologist and best-selling author Alex Cross cannot forgive himself and has retreated to the peace of retirement. But when a brilliant criminal kidnaps a senator's young daughter, he is lured back into action as the kidnapper wants to deal with Alex personally. Teamed with Jezzie Flanigan, the Secret Service agent assigned to protect the missing girl, Alex follows a serpentine trail of clues that leads him to a stunning discovery - the kidnapper wants more than just ransom.</p>"
amazing-grace-dvd,Amazing Grace,Genre,Drama,,,"<p>The true story of William Wilberforce and his courageous quest to end the British slave trade. Along the way, Wilberforce meets intense opposition, but his minister urges him to see the cause through.</p>"
300-spartans-dvd-rental-action,300 Spartans,Genre,Action,https://image.tmdb.org/t/p/w1280/zHiZrkCBEQwMOKdUqU9tZV45hhM.jpg,300 Spartans poster,"<p>The 300 Spartans is an account of the 480 B.C. Battle of Thermopylae, in which the Greek Spartan King Leonidas, played by Richard Egan, led a remarkably small number of Greek Sparta to victory over an invading Persian army led by evil King Xerxes that was thought to number over 25,000. This spectacular conflict gave the Grecians enough time to organize a force to ultimately repel the Persians, and thus change the course of Western civilization.</p>"
a-thin-line-between-vhs-rental-drama,A Thin Line Between,Genre,Drama,,,"<p>Nightclub manager Darnell Wright is a perpetual playboy who is almost as devoted to his job as he is to the pursuit of beautiful women. After he sets his sights on the ultra-classy Brandi Web, he launches an all-out assault to win her heart. Ultimately, charm, lust and passion prevail, but Darnell learns the hard way that when you play, you pay. Brandi is much harder to get rid of than she was to get--especially when she realizes that she has a rival vying for Darnell's affection. When he finally decides to call it quits, Brandi becomes an obsessed femme fatale stalking the new love of her life.</p>"
an-all-dogs-christmas-christmas-carol-dvd-rental-holiday,An All Dogs Christmas / Christmas Carol,Genre,Holiday,,,"<p>Charlie, Itchy and Sasha itch and scratch their way through everything and anything in an effort to save Christmas from the wicked hellhound Belladonna, who wants to use dogs from all over the world to ruin Christmas.</p>"
avatar-extended-bluray,Avatar (Extended),Genre,Sci-Fi,,,"<p>In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.</p>"
be-cool-get-shorty-dvd-floor-sale-comedy,Be Cool / Get Shorty,Genre,Comedy,,,"<p>Disenchanted with the movie industry, Chili Palmer tries the music industry, meeting and romancing a widow of a music executive along the way.</p>"
beef-4-dvd-floor-sale-documentary,Beef 4,Genre,Documentary,,,"<p>Beef IV is the fourth installment of the Beef series. It is a documentary about Hip hop rivalries and beefs (arguments). It was released on DVD on September 18, 2007. It was directed by Peter Alton and lasts approximately 108 minutes. It was narrated by Charlie Murphy.</p>"
beverly-hills-chihuahua-3-dvd-rental-kids-family,Beverly Hills Chihuahua 3,Genre,Kids & Family,,,"<p>When Papi, Chloe, the pups, Uncle Pedro, and their owners move to a hotel, the smallest pup Rosa feels like she doesn't fit in, and Papi wants to make her feel better by showing her how special she is.</p>"
beyond-the-sea-dvd,Beyond the Sea,Genre,Drama,,,"<p>Based on the life and career of legendary entertainer, Bobby Darin, the biopic moves back and forth between his childhood and adulthood, to tell the tale of his life.</p>"
black-x-mas-dvd-rental-horror,Black X-Mas,Genre,Horror,,,"<p>As the residents of sorority house Pi Kappa Sigma prepare for the festive season, a stranger begins a series of obscene phone calls with dubious intentions...</p>"
vlack-x-mas-dvd-rental-horror,Black X-Mas,Genre,Horror,,,"<p>As the residents of sorority house Pi Kappa Sigma prepare for the festive season, a stranger begins a series of obscene phone calls with dubious intentions...</p>"
blink-dvd-rental-thriller,Blink,Genre,Thriller,,,"<p>Emma is an attractive girl in her 20s who has been blind for 20 years. A new type of eye operation partially restores her sight, but she is having problems: sometimes she doesn't ""remember"" what she's seen until later. One night she is awakened by a commotion upstairs. Peering out of her door, she sees a shadowy figure descending the stairs. Convinced that her neighbour has been murdered she approaches the police, only to find that she is unsure if it was just her new eyes playing tricks on her.</p>"
brother-bear-brother-bear-2-bluray-floor-sale-kids-family,Brother Bear & Brother Bear 2,Genre,Kids & Family,,,"<p>Kenai finds his childhood human friend Nita and the two embark on a journey to burn the amulet he gave to her before he was a bear, much to Koda's dismay.</p>"
bubblegum-crisis-hurricane-live-2033-vhs-floor-sale-anime-sci-fi,Bubblegum Crisis - Hurricane Live 2033,Genre,Sci-Fi,,,"<p>Hurricane Live 2033: More Music of the Bubblegum Crisis spotlights the music that helped to make 80's series The Bubblegum Crisis the popular early piece of anime that its become. The hard rock songs of Priss and the Replicants are played amidst a video montage of the series' most exciting action sequences, and rarely seen live footage from the musicians themselves is also included.</p>"
captain-corellis-vhs-floor-sale-drama,Captain Corelli's,Genre,Drama,,,"<p>When a fisherman leaves to fight with the Greek army during World War II, his fiancée falls in love with the local Italian commander.</p>"
charlottes-web-2-vhs,Charlottes Web 2,Genre,Kids & Family,,,"<p>Wilbur the pig knows how important friendship is - he learned that from a spider named Charlotte. So when Wilbur meets Cardigan, a lonely lamb, Wilbur immediately makes him his friend.</p>"
