title,creators,description,upc_isbn10,ean_isbn13,number_of_discs,ensemble,aspect_ratio,tags,notes,group,price,added,publisher,publish_date,length_of,copies,call_number,ddc,lcc,rating,review,review_created,status,began_date,completed_date
A Pyromaniac's Love Story,,"A pastry boy and the son of a hair-piece mogul become involved in an arson scandal. Sergio is offered a bribe in exchange for taking the blame for the fire that destroys his workplace. Garet, the real arsonist, is apalled that someone else would try to take credit for his act of love. Before long, Sergio and Garet become entangled in a zany love-quadrangle involving Hattie and Stephanie. Written by Brian Whiting",,,,,,"VHS, romantic-comedy",,,0.00,,,,,1,35177466,,,,,,,,
Small Time Crooks,,A loser of a crook and his wife strike it rich when a botched bank job's cover business becomes a spectacular success.,,,,,,"VHS, comedy",,,0.00,,,,,1,35144698,,,,,,,,
Edge of Seventeen,,"1984, Sandusky, Ohio. A naive 17-year-old navigates heartbreak and self-expression as he explores his sexuality.",,,,,,"VHS, drama",,,0.00,,,,,1,35111930,,,,,,,,
Curse of the Starving Class,,"Curse of the Starving Class is a play by Sam Shepard, considered the first of a series on family tragedies. Drama about a dirt-poor 1950's-era farm family. Dad's a foul talking drunk and Mom is desperately trying to save what's left of their family life.",,,,,,"VHS, drama",,,0.00,,,,,1,35046394,,,,,,,,
Edie & Pen,,"In this comedy, two women head for Reno to get simultaneous quicky divorces and end up becoming friends. Edie was married years ago, but her husband abandoned her two weeks after the wedding. Pen spent nine years married to an ice-cold businessman who neglected her.",,,,,,"VHS, romantic-comedy",,,0.00,,,,,1,35013626,,,,,,,,
The Puppet Masters,,"The Midwest USA is invaded by stingray-shaped alien slugs that ride on people's backs and control their minds in order to spread their dominion. Government agency reps Sam Givens, Andrew Nivens, and Mary Sefton must stop the aliens.",,,,,,"VHS, thriller",,,0.00,,,,,1,34980858,,,,,,,,
Some Girls,,"While on Christmas break, college student Michael journeys to Quebec City to spend time with his attractive girlfriend, Gabriella. Not long after he arrives, Gabriella breaks up with him, but her two equally gorgeous sisters waste no time showing romantic interest. In the meantime, Michael is left to deal with Gabriella's eccentric grandmother and offbeat father, an academic who spends most of his time naked.",,,,,,"VHS, romantic-comedy",,,0.00,,,,,1,34915322,,,,,,,,
8 Heads in a Duffle Bag,,"Mafia hitman Tommy Spinelli is flying to San Diego with a bag that holds eight severed heads, which he's bringing to his superiors to prove that some troublesome rival mobsters are permanently out of the picture. When his bag gets accidentally switched at the airport, Tommy must track down his duffel bag and the 8 heads it contains.",,,,,,"VHS, comedy",,,0.00,,,,,1,34849786,,,,,,,,
Dan in Real Life,,"Advice columnist Dan Burns is an expert on relationships, but somehow struggles to succeed as a brother, a son and a single parent to three precocious daughters. Things get even more complicated when Dan finds out that the woman he falls in love with is actually his brother's new girlfriend.",,,,,,"DVD, drama",,,0.00,,,,,1,41665786,,,,,,,,
In Time,,"In the not-too-distant future, the aging gene has been switched off. To avoid overpopulation, time has become the currency and the way people pay for luxuries and necessities. The rich can live forever, while the rest struggle to negotiate for their immortality. A poor young man who suddenly comes into a fortune of time finds himself on the run from a corrupt police force known as the ""time keepers"".",,,,,,"DVD, sci-fi",,,0.00,,,,,1,41567482,,,,,,,,
The Road,,The road through the wood is said to be haunted; but are the ghosts from the past or the future?,,,,,,"DVD, sci-fi",,,0.00,,,,,1,41534714,,,,,,,,
Baby Mama,,,,,,,,"DVD, comedy",,,0.00,,,,,1,41501946,,,,,,,,
Tsotsi,,"A young South African boy from the Johannesburg ghetto named Tsotsi, meaning Gangster, leaves home as a child to get away from his helpless parents. Now a teenage thug, Tsotsi finds a baby in the back seat of a car he's just stolen. He decides that it is his responsibility to care for the infant and in the process learns that maybe the criminal life isn’t the best way.",,,,,,"DVD, thriller",,,0.00,,,,,1,41469178,,,,,,,,
Sherlock Holmes,,,,,,,,"DVD, action",,,0.00,,,,,1,41370874,,,,,,,,
Say Anthing,,,,,,,,"DVD, romantic-comedy",,,0.00,,,,,1,40944890,,,,,,,,
Yellow Submarine,,"The wicked Blue Meanies take over Pepperland, eliminating all color and music. As the only survivor, the Lord Admiral escapes in the yellow submarine and journeys to Liverpool to enlist the help of the Beatles.",,,,,,"DVD, musical",,,0.00,,,,,1,40912122,,,,,,,,
Nick & Norah's Infinite Playlist,,"Nick cannot stop obsessing over his ex-girlfriend, Tris, until Tris' friend Norah suddenly shows interest in him at a club. Thus begins an odd night filled with ups and downs as the two keep running into Tris and her new boyfriend while searching for Norah's drunken friend, Caroline, with help from Nick's band mates. As the night winds down, the two have to figure out what they want from each other.",,,,,,"DVD, romantic-comedy",,,0.00,,,,,1,40649978,,,,,,,,
Defiance,,,,,,,,"DVD, action",,,0.00,,,,,1,40617210,,,,,,,,
Live Free or Die Hard,,"John McClane is back and badder than ever, and this time he calls on the services of a young hacker in his bid to stop a ring of Internet terrorists intent on taking control of America's computer infrastructure.",,,,,,"Blu-Ray, action",,,0.00,,,,,1,94774778,,,,,,,,
Assassin's Creed,,"Through a technology that unlocks the genetic memories of his ancestor in 15th century Spain, Callum Lynch discovers he is a descendant of an ancient line of Assassins and amasses lethal skills to take on the oppressive Templar Order.",,,,,,"Blu-Ray, action",,,0.00,,,,,1,94676474,,,,,,,,
The Internship,,Two recently laid-off men in their 40s try to make it as interns at a successful Internet company where their managers are in their 20s.,,,,,,"Blu-Ray, comedy",,,0.00,,,,,1,94578170,,,,,,,,
Red Dawn (1984),,"It is the dawn of World War III. In mid-western America, a group of teenagers band together to defend their town—and their country—from invading Soviet forces.",,,,,,"Blu-Ray, action",,,0.00,,,,,1,94545402,,,,,,,,
Marley & Me,,"A newly married couple, in the process of starting a family, learn many of life's important lessons from their trouble-loving retriever, Marley. Packed with plenty of laughs to lighten the load, the film explores the highs and lows of marriage, maturity and confronting one's own mortality, as seen through the lens of family life with a dog.",,,,,,"Blu-Ray, kids-family",,,0.00,,,,,1,49336570,,,,,,,,
The Water Horse,,A lonely boy discovers a mysterious egg that hatches a sea creature of Scottish legend.,,,,,,"Blu-Ray, kids-family",,,0.00,,,,,1,49041658,,,,,,,,
Fantasic Beasts The Crimes of Grindelwald,,,,,,,,"Blu-Ray, fantasy",,,0.00,,,,,1,30323194,,,,,,,,
