Handle,Title,Vendor,Kind,Reason
a-pyromaniacs-love-story-vhs-rental-romantic-comedy,A Pyromaniac's Love Story,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
small-time-crooks-vhs-rental-comedy,Small Time Crooks,VHS,unmatched,no UPCMDB records for this imdb_id
edge-of-seventeen-vhs-rental-drama,Edge of Seventeen,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
curse-of-the-starving-class-vhs-rental-drama,Curse of the Starving Class,VHS,unmatched,no UPCMDB records for this imdb_id
edie-pen-vhs-rental-romantic-comedy,Edie & Pen,VHS,unmatched,no UPCMDB records for this imdb_id
the-puppet-masters-vhs-rental-thriller,The Puppet Masters,VHS,unmatched,no UPCMDB records for this imdb_id
some-girls-vhs-rental-romantic-comedy,Some Girls,VHS,unmatched,no UPCMDB records for this imdb_id
8-heads-in-a-duffle-bag-vhs-rental-comedy,8 Heads in a Duffle Bag,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
dan-in-real-life-dvd-rental-drama,Dan in Real Life,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
in-time-dvd-rental-sci-fi,In Time,DVD,unmatched,no UPCMDB records for this imdb_id
the-road-dvd-rental-sci-fi,The Road,DVD,unmatched,no UPCMDB records for this imdb_id
baby-mana-dvd-rental-comedy,Baby Mama,DVD,ambiguous,ambiguous TMDB match
tsotsi-dvd-rental-thriller,Tsotsi,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
sherlock-holmes-dvd-rental-action,Sherlock Holmes,DVD,ambiguous,ambiguous TMDB match
say-anthing-dvd-rental-romantic-comedy,Say Anthing,DVD,unmatched,no TMDB match
yellow-submarine-dvd-rental-musical,Yellow Submarine,DVD,unmatched,no UPCMDB records for this imdb_id
nick-norahs-infinite-playlist-dvd-rental-romantic-comedy,Nick & Norah's Infinite Playlist,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
defiance-dvd-rental-action,Defiance,DVD,ambiguous,ambiguous TMDB match
live-free-or-die-hard-bluray-rental-action,Live Free or Die Hard,Blu-Ray,unmatched,no UPCMDB records for this imdb_id
assassins-creed-bluray-rental-action,Assassin's Creed,Blu-Ray,unmatched,UPCMDB has edition(s) for this title but none in Blu-Ray format
the-internship-bluray-rental-comedy,The Internship,Blu-Ray,unmatched,UPCMDB has edition(s) for this title but none in Blu-Ray format
red-dawn-1984-bluray-rental-action,Red Dawn (1984),Blu-Ray,unmatched,UPCMDB has edition(s) for this title but none in Blu-Ray format
marley-me-bluray-rental-kids-family,Marley & Me,Blu-Ray,unmatched,no UPCMDB records for this imdb_id
the-water-horse-bluray-rental-kids-family,The Water Horse,Blu-Ray,unmatched,no UPCMDB records for this imdb_id
fantasic-beasts-the-crimes-of-grindelwald-bluray-rental-fantasy,Fantasic Beasts The Crimes of Grindelwald,Blu-Ray,unmatched,no TMDB match
ice-age-continental-drift-bluray-rental-kids-family,Ice Age Continental Drift,Blu-Ray,unmatched,no UPCMDB records for this imdb_id
casino-royale-bluray-rental-action,Casino Royale,Blu-Ray,ambiguous,ambiguous TMDB match
mccanick-bluray-rental-action,McCanick,Blu-Ray,unmatched,no UPCMDB records for this imdb_id
mckenna-shoots-for-the-stars-bluray-rental-kids-family,McKenna Shoots for the Stars,Blu-Ray,ambiguous,ambiguous TMDB match
the-world-is-not-enough-bluray-rental-action,The World is Not Enough,Blu-Ray,unmatched,UPCMDB has edition(s) for this title but none in Blu-Ray format
the-best-exotic-marigold-hotel-bluray-rental-comedy,The Best Exotic Marigold Hotel,Blu-Ray,unmatched,UPCMDB has edition(s) for this title but none in Blu-Ray format
chasing-mavericks-bluray-rental-drama,Chasing Mavericks,Blu-Ray,unmatched,no UPCMDB records for this imdb_id
luke-and-lucy-the-texas-rangers-bluray-rental-kids-family,Luke and Lucy The Texas Rangers,Blu-Ray,unmatched,no UPCMDB records for this imdb_id
vivah-bluray-rental-foreign,Vivah,Blu-Ray,unmatched,no UPCMDB records for this imdb_id
neighbors-bluray-rental-comedy,Neighbors,Blu-Ray,ambiguous,ambiguous TMDB match
wanted-bluray-rental-action,Wanted,Blu-Ray,ambiguous,ambiguous TMDB match
knight-and-day-bluray-rental-action,Knight and Day,Blu-Ray,unmatched,UPCMDB has edition(s) for this title but none in Blu-Ray format
iron-man-trilogy-bluray-rental-action,Iron Man Trilogy,Blu-Ray,unmatched,no TMDB match
lego-star-wars-the-padawan-menace-bluray-rental-thriller,Lego Star Wars: The Padawan Menace,Blu-Ray,unmatched,no UPCMDB records for this imdb_id
the-secret-life-of-pets-bluray-rental-kids-family,The Secret Life of Pets,Blu-Ray,ambiguous,ambiguous TMDB match
clash-of-the-titans-bluray-rental-action,Clash of the Titans,Blu-Ray,ambiguous,ambiguous TMDB match
immortals-bluray-rental-action,Immortals,Blu-Ray,unmatched,no UPCMDB records for this imdb_id
barbie-the-fairy-princess-bluray-rental-kids-family,Barbie & The Fairy Princess,Blu-Ray,ambiguous,ambiguous TMDB match
barbie-her-sisters-in-the-great-puppy-adventure-bluray-rental-kids-family,Barbie & Her Sisters in The Great Puppy Adventure,Blu-Ray,unmatched,UPCMDB has edition(s) for this title but none in Blu-Ray format
independence-day-resurgence-bluray-rental-sci-fi,Independence Day Resurgence,Blu-Ray,unmatched,no UPCMDB records for this imdb_id
