call_number,status,message
41829626,skipped,barcode already matches call_number
41796858,skipped,barcode already matches call_number
41731322,skipped,barcode already matches call_number
41698554,skipped,barcode already matches call_number
41600250,skipped,barcode already matches call_number
41436410,skipped,barcode already matches call_number
41403642,skipped,barcode already matches call_number
41338106,skipped,barcode already matches call_number
41108730,skipped,barcode already matches call_number
41075962,skipped,barcode already matches call_number
41043194,skipped,barcode already matches call_number
40977658,skipped,barcode already matches call_number
40879354,skipped,barcode already matches call_number
40584442,skipped,barcode already matches call_number
94742010,skipped,barcode already matches call_number
94709242,skipped,barcode already matches call_number
94643706,skipped,barcode already matches call_number
94184954,skipped,barcode already matches call_number
49303802,skipped,barcode already matches call_number
49008890,skipped,barcode already matches call_number
48779514,skipped,barcode already matches call_number
30093818,skipped,barcode already matches call_number
29962746,skipped,barcode already matches call_number
29143546,skipped,barcode already matches call_number
29045242,skipped,barcode already matches call_number
29012474,skipped,barcode already matches call_number
28717562,skipped,barcode already matches call_number
28684794,skipped,barcode already matches call_number
28652026,skipped,barcode already matches call_number
28619258,skipped,barcode already matches call_number
28586490,skipped,barcode already matches call_number
28553722,skipped,barcode already matches call_number
28520954,skipped,barcode already matches call_number
28422650,skipped,barcode already matches call_number
28389882,skipped,barcode already matches call_number
65573626,skipped,barcode already matches call_number
65540858,skipped,barcode already matches call_number
65508090,skipped,barcode already matches call_number
65442554,skipped,barcode already matches call_number
65344250,skipped,barcode already matches call_number
65311482,skipped,barcode already matches call_number
65082106,skipped,barcode already matches call_number
64951034,skipped,barcode already matches call_number
64885498,skipped,barcode already matches call_number
64787194,skipped,barcode already matches call_number
64754426,skipped,barcode already matches call_number
64721658,skipped,barcode already matches call_number
64688890,skipped,barcode already matches call_number
64656122,skipped,barcode already matches call_number
64623354,skipped,barcode already matches call_number
64590586,skipped,barcode already matches call_number
64557818,skipped,barcode already matches call_number
64492282,skipped,barcode already matches call_number
64459514,skipped,barcode already matches call_number
64426746,skipped,barcode already matches call_number
