Handle,Title,Vendor,Kind,Reason
frankie-starlight-vhs-rental-drama,Frankie Starlight,VHS,unmatched,no UPCMDB records for this imdb_id
the-fourth-war-vhs-rental-drama,The Fourth War,VHS,unmatched,no UPCMDB records for this imdb_id
full-moon-in-blue-water-vhs-rental-thriller,Full Moon in Blue Water,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
frances-vhs-rental-drama,Frances,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
werewolf-vhs-rental-horror,Werewolf,VHS,unmatched,no UPCMDB records for this imdb_id
pirates-of-sillicon-valley-vhs-rental-drama,Pirates of Sillicon Valley,VHS,unmatched,no TMDB match
secret-in-the-attic-vhs-rental-thriller,Secret in the Attic,VHS,unmatched,no UPCMDB records for this imdb_id
recipe-for-disaster-vhs-rental-comedy,Recipe for Disaster,VHS,unmatched,no UPCMDB records for this imdb_id
good-boy-vhs-rental-kids-family,Good Boy,VHS,unmatched,no UPCMDB records for this imdb_id
homeward-bound-vhs-rental-kids-family,Homeward Bound,VHS,ambiguous,ambiguous TMDB match
jrr-tolkiens-the-hobbit-vhs-rental-fantasy,J.R.R. Tolkien's The Hobbit,VHS,unmatched,no UPCMDB records for this imdb_id
profile-for-murder-vhs-rental-thriller,Profile for Murder,VHS,unmatched,no UPCMDB records for this imdb_id
the-guru-vhs-rental-comedy,The Guru,VHS,ambiguous,ambiguous TMDB match
french-twist-vhs-rental-foreign,French Twist,VHS,unmatched,no UPCMDB records for this imdb_id
it-could-happen-to-you-vhs-rental-romantic-comedy,It Could Happen to You,VHS,ambiguous,ambiguous TMDB match
the-land-of-faraway-vhs-rental-kids-family,The Land of Faraway,VHS,ambiguous,ambiguous TMDB match
overexposed-vhs-rental-thriller,Overexposed,VHS,unmatched,no UPCMDB records for this imdb_id
honey-i-blew-up-the-kids-vhs-rental-kids-famiy,"Honey, I Blew Up the Kids",VHS,unmatched,no TMDB match
faerie-tale-theater-the-princess-the-pea-vhs-rental-kids-family,Faerie Tale Theater: The Princess & The Pea,VHS,unmatched,no TMDB match
the-secret-life-of-an-american-wife-vhs-rental-comedy,The Secret Life of an American Wife,VHS,unmatched,no UPCMDB records for this imdb_id
a-summer-to-remember-vhs-rental-kids-family,A Summer to Remember,VHS,unmatched,no UPCMDB records for this imdb_id
hair-vhs-rental-musical,Hair,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
rookie-of-the-year-vhs-rental-kids-family,Rookie of the Year,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
my-life-as-a-fairytale-vhs-rental-fantasy,My Life as a Fairytale,VHS,unmatched,no TMDB match
heartsong-vhs-rental-musical,Heartsong,VHS,unmatched,no UPCMDB records for this imdb_id
newsies-vhs-rental-musical,Newsies,VHS,unmatched,no UPCMDB records for this imdb_id
rushmore-vhs-rental-comedy,Rushmore,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
monty-python-and-the-holy-grail-vhs-rental-comedy,Monty Python and the Holy Grail,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
romeo-juliet-vhs-rental-drama,Romeo & Juliet,VHS,ambiguous,ambiguous TMDB match
dark-victory-vhs-rental-romantic-comedy,Dark Victory,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
garden-state-vhs-rental-romantic-comedy,Garden State,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
little-women-vhs-rental-drama,Little Women,VHS,ambiguous,ambiguous TMDB match
little-house-on-the-prairie-christmas-at-plum-creek-vhs-rental-holiday,Little House on the Prairie: Christmas at Plum Creek,VHS,ambiguous,ambiguous TMDB match
picnic-at-hanging-rock-vhs-rental-drama,Picnic at Hanging Rock,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
fargo-vhs-rental-thriller,Fargo,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
its-a-wonderful-life-vhs-rental-holiday,It's a Wonderful Life,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
lets-make-it-legal-vhs-rental-romantic-comedy,Let's Make it Legal,VHS,unmatched,no UPCMDB records for this imdb_id
sleepless-in-seattle-vhs-rental-romantic-comedy,Sleepless in Seattle,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
joan-of-arc-vhs-rental-drama,Joan of Arc,VHS,ambiguous,ambiguous TMDB match
the-doom-generation-vhs-rental-comedy,The Doom Generation,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
sense-and-sensibility-vhs-rental-drama,Sense and Sensibility,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
terms-of-endearment-vhs-rental-drama,Terms of Endearment,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
fantasia-vhs-rental-kids-family,Fantasia,VHS,unmatched,no UPCMDB records for this imdb_id
the-little-mermaid-vhs-rental-kids-family,The Little Mermaid,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
rear-window-vhs-rental-thriller,Rear Window,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
sixteen-candles-vhs-rental-comedy,Sixteen Candles,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
wuthering-heights-vhs-rental-drama,Wuthering Heights,VHS,ambiguous,ambiguous TMDB match
frosty-the-snowman-vhs-rental-holiday,Frosty the Snowman,VHS,ambiguous,ambiguous TMDB match
while-you-were-sleeping-vhs-rental-romatic-comedy,While You Were Sleeping,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
my-name-is-barbara-vhs-rental-musical,My Name is Barbara,VHS,unmatched,no TMDB match
high-fidelity-vhs-rental-comedy,High Fidelity,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
a-beautiful-mind-vhs-rental-drama,A Beautiful Mind,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
youve-got-mail-vhs-rental-romatic-comedy,You've Got Mail,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
taxi-driver-vhs-rental-drama,Taxi Driver,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
two-women-vhs-rental-drama,Two Women,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
almost-famous-vhs-rental-comedy,Almost Famous,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
jesus-christ-superstar-vhs-rental-musical,Jesus Christ Superstar,VHS,unmatched,no UPCMDB records for this imdb_id
how-the-grinch-stole-christmas-vhs-rental-holiday,How the Grinch Stole Christmas,VHS,ambiguous,ambiguous TMDB match
guys-and-dolls-vhs-rental-musical,Guys and Dolls,VHS,ambiguous,ambiguous TMDB match
stardust-memories-dvd-rental-drama,Stardust Memories,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
casablanca-vhs-rental-drama,Casablanca,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-secret-garden-vhs-rental-kids-family,The Secret Garden,VHS,ambiguous,ambiguous TMDB match
all-dogs-go-to-heaven-vhs-rental-kids-family,All Dogs go to Heaven,VHS,ambiguous,ambiguous TMDB match
dances-with-wolves-vhs-rental-drama,Dances with Wolves,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
annie-hall-vhs-rental-romantic-comedy,Annie Hall,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-witches-of-salem-vhs-rental-drama,The Witches of Salem,VHS,unmatched,no UPCMDB records for this imdb_id
apocalypse-now-vhs-rental-drama,Apocalypse Now,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
white-christmas-vhs-rental-musical,White Christmas,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
deconstructing-harry-vhs-rental-comedy,Deconstructing Harry,VHS,unmatched,no UPCMDB records for this imdb_id
the-red-balloon-vhs-rental-kids-family,The Red Balloon,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-music-man-vhs-rental-musical,The Music Man,VHS,ambiguous,ambiguous TMDB match
the-boys-in-then-band-vhs-rental-drama,The Boys in then Band,VHS,unmatched,no TMDB match
the-x-files-vhs-rental-sci-fi,The X Files,VHS,unmatched,no UPCMDB records for this imdb_id
pretty-woman-vhs-rental-romantic-comedy,Pretty Woman,VHS,ambiguous,ambiguous TMDB match
my-man-godfrey-vhs-rental-comedy,My Man Godfrey,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
dune-vhs-rental-sci-fi,Dune,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
dazed-and-confused-vhs-rental-sci-fi,Dazed and Confused,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-way-we-were-vhs-rental-drama,The Way We Were,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
best-in-show-vhs-rental-comedy,Best in Show,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
voodoo-apocalypse-dvd-rental-comedy,Voodoo Apocalypse,DVD,unmatched,no UPCMDB records for this imdb_id
new-york-new-york-dvd-rental-drama,"New York, New York",DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
bmw-films-presents-the-hire-dvd-rental-action,BMW Films Presents The Hire,DVD,unmatched,no TMDB match
stoked-the-rise-and-fall-of-gator-dvd-rental-documentary,Stoked The Rise and Fall of Gator,DVD,unmatched,no UPCMDB records for this imdb_id
moonwalkers-bluray-rental-comedy,Moonwalkers,Blu-Ray,unmatched,no UPCMDB records for this imdb_id
the-good-the-bad-the-ugly-bluray-rental-action,The Good The Bad The Ugly,Blu-Ray,unmatched,no UPCMDB records for this imdb_id
digimon-adventure-reunion-bluray-rental-kids-family,Digimon Adventure Reunion,Blu-Ray,ambiguous,ambiguous TMDB match
arizona-bluray-rental-comedy,Arizona,Blu-Ray,ambiguous,ambiguous TMDB match
where-we-disappear-bluray-rental-action,Where We Disappear,Blu-Ray,unmatched,no UPCMDB records for this imdb_id
loser-vhs-rental-romantic-comedy,Loser,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-wedding-planner-vhs-rental-romantic-comedy,The Wedding Planner,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
national-lampoons-senior-trip-vhs-rental-comedy,National Lampoon's Senior Trip,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
she-gets-what-she-wants-vhs-rental-romantic-comedy,She Gets What She Wants,VHS,ambiguous,ambiguous TMDB match
40-carats-vhs-rental-romantic-comedy,40 Carats,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-fisher-king-vhs-rental-drama,The Fisher King,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
house-party-4-vhs-rental-comedy,House Party 4,VHS,ambiguous,ambiguous TMDB match
