barcode,shopify_title,vendor,status,qty,product_id,in_libib,libib_id,libib_title,libib_collection,libib_status
191-BLRSHA-001A,Shallows,4K,ACTIVE,1,9276613394682,yes,dmniqb7u84,Shallows,Rental Library,
191-BLRSHI-001A,Shining,Blu-Ray,ACTIVE,1,9276612870394,yes,w1e087bisd,Shining,Rental Library,
191-VHSSHI-001A,Shipwrecked,VHS,ACTIVE,1,9276652978426,yes,qhfo6lbwe4,Shipwrecked,Rental Library,
191-BLRSHO-50-001A,Shoot 'Em Up,Blu-Ray,ACTIVE,1,9266911445242,yes,6umxy0h8dt,Shoot 'Em Up,Rental Library,
191-BLRSIC-70-001A,Sicario,Blu-Ray,ACTIVE,1,9258826498298,yes,kq725zhysl,Sicario,Rental Library,
191-BLRSCR-50-001A,Sicario: Day of the Soldado,Blu-Ray,ACTIVE,1,9258826563834,yes,t0by43m93y,Sicario: Day of the Soldado,Rental Library,
191-VHSSMN-001A,Simon Birch,VHS,ACTIVE,1,9276625387770,yes,56dnatlv9x,Simon Birch,Rental Library,
191-BLRSIN-50-001A,Sin City: A Dame to Kill For,Blu-Ray,ACTIVE,1,9258827481338,yes,prwes77no7,Sin City: A Dame to Kill For,Rental Library,
191-BLRSKY-50-001A,Skyscraper,4K,ACTIVE,0,9266932449530,yes,ri192qaxoz,Skyscraper,Rental Library,
191-DVDSLE-001A,Sleepless in Seattle,DVD,ACTIVE,1,9276611559674,yes,bpywerzcho,Sleepless in Seattle,Rental Library,
191-DVDSNA-001A,Snatch (Special Edition),DVD,ACTIVE,1,9276608971002,yes,e90crbc5u2,Snatch (Special Edition),Rental Library,
191-UNKSNI-50-001A,Snitch,4K,ACTIVE,1,9260447236346,yes,hetbu8019k,Snitch,Rental Library,
191-BLRSOL-001A,Solo: A Star Wars Story,4K,ACTIVE,1,9276613296378,yes,ywhtvjnr71,Solo: A Star Wars Story,Rental Library,
191-VHSSPC-001A,Special Forces,VHS,ACTIVE,1,9276651700474,yes,obaqxu60an,Special Forces,Rental Library,
191-BLRSPC-50-001A,Species 4K Collector's Edition,4K,ACTIVE,1,9267105890554,yes,cnr17abmmk,Species 4K Collector's Edition,Rental Library,
191-BLRSPD-50-001A,Speed,Blu-Ray,ACTIVE,0,9266894962938,yes,9dcrka46rp,Speed,Rental Library,
191-BLRSPE-50-001A,Speed Racer,DVD,ACTIVE,1,9258826891514,yes,j7s895oqlq,Speed Racer,Rental Library,
191-DVDSPI-001A,Spirited Away,DVD,ACTIVE,1,9276610085114,yes,w1e9c2uisd,Spirited Away,Rental Library,
191-VHSSTN-001A,Stand Alone,VHS,ACTIVE,1,9276650258682,yes,kq725jrysl,Stand Alone,Rental Library,
191-VHSSTA-001A,Static,VHS,DRAFT,1,9243651539194,yes,9dcrk4r6rp,Static,Rental Library,
191-BLRSTE-50-001A,Steel and Lace (Vinegar Syndrome),Blu-Ray,ACTIVE,1,9260437995770,yes,u34lwrhgnz,Steel and Lace (Vinegar Syndrome),Rental Library,
191-VHSST3-001A,Strangers,VHS,ACTIVE,1,9276653011194,yes,prwesyyno7,Strangers,Rental Library,
191-VHSSTL-001A,Streetkill,VHS,ACTIVE,0,9276651798778,yes,3kjs14karj,Streetkill,Rental Library,
191-VHSSTM-001A,Strictly Ballroom,VHS,ACTIVE,1,9276624568570,yes,9dcrk0g6rp,Strictly Ballroom,Rental Library,
191-BLRSUI-50-001A,Suitable Flesh,Blu-Ray,ACTIVE,1,9260429771002,yes,iz5dotblqm,Suitable Flesh,Rental Library,
191-BLRSUN-50-001A,Sundown: The Vampire in Retreat,Blu-Ray,ACTIVE,1,9260446417146,yes,obaqx470an,Sundown: The Vampire in Retreat,Rental Library,
191-BLRSUP-50-001A,Super Troopers,Blu-Ray,ACTIVE,0,9260364562682,yes,ayqfzltpsz,Super Troopers,Rental Library,
191-VHSSUP-50-001A,Suppose They Gave a War and Nobody Came?,VHS,ACTIVE,1,9249542013178,yes,lsvu0ob7b9,Suppose They Gave a War and Nobody Came?,Rental Library,
191-BLRTHH-50-001A,THE HOUSE THAT JACK BUILT,Blu-Ray,ACTIVE,1,9260364267770,yes,obaqxk30an,THE HOUSE THAT JACK BUILT,Rental Library,
191-VHSTLN-001A,Talent for the Game,VHS,ACTIVE,1,9276651995386,yes,lsvu0zv7b9,Talent for the Game,Rental Library,
191-BLRTLK-50-001A,Talk to Me,4K,ACTIVE,0,9260430065914,yes,v8u4pcw26q,Talk to Me,Rental Library,
191-BLRTAL-50-001A,Talladega Nights: The Ballad of Ricky Bobby,Blu-Ray,ACTIVE,1,9260364628218,yes,gak7ix2bt4,Talladega Nights: The Ballad of Ricky Bobby,Rental Library,
