product_id,title,vendor,status,handle,sku,barcode,qty,tags
9276651864314,Concrete Cowboys,VHS,ACTIVE,concrete-cowboys,,191-VHSCOS-001A,1,"Comedy, Formatted, issue:needs_new_barcode, Rental, VHS"
9270291988730,Confession,VHS,ACTIVE,confession,,191-VHSCON-001A,0,"Drama, Formatted, issue:needs_new_barcode, Rental, VHS"
9276650356986,Confessions of a Police Captain,VHS,ACTIVE,confessions-of-a-police-captain,,191-VHSCNF-001A,1,"Formatted, Issue_Genre_Needed, Rental, VHS"
9276652945658,Conspiracy,VHS,ACTIVE,conspiracy,,191-VHSCNS-001A,0,"Formatted, issue:needs_new_barcode, Rental, Thriller, VHS"
9276610838778,Cowboys & Aliens,Blu-Ray,ACTIVE,cowboys-aliens,,191-BLRCWB-001A,1,"Blu-Ray, Formatted, issue:held_for_libib_cleanup, issue:needs_new_barcode, Rental, Sci-Fi"
9258826399994,Cowboys & Aliens (Extended Edition),Blu-Ray,ACTIVE,cowboys-aliens-extended-edition,,191-BLRCOW-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9266894274810,Crash,Blu-Ray,ACTIVE,crash,,191-BLRCRA-50-001A,0,"Blu-Ray, Drama, Formatted, issue:needs_new_barcode, Rental"
9267105726714,Creepshow 2,4K,ACTIVE,creepshow-2,,191-BLRCRE-50-001A,1,"4K, Formatted, Horror, issue:needs_new_barcode, Rental"
9260446351610,Crimes of the Future,Blu-Ray,ACTIVE,crimes-of-the-future,,191-BLRCRI-50-001A,0,"Action, Blu-Ray, Formatted, Rental"
9276611330298,Crow,Blu-Ray,ACTIVE,crow,,191-BLRCRO-001A,0,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9270291529978,Crucible,VHS,ACTIVE,crucible,,191-VHSCRU-001A,1,"Drama, Formatted, issue:needs_new_barcode, Rental, VHS"
9260438388986,DELIRIUM (Vinegar Syndrome),Blu-Ray,ACTIVE,delirium-vinegar-syndrome,,191-BLRDEL-50-001A,1,"Blu-Ray, Formatted, issue:needs_new_barcode, Rental, Thriller"
9266894176506,Dark Waters,DVD,ACTIVE,dark-waters,,191-DVDDAR-50-001A,1,"Drama, DVD, Formatted, issue:needs_new_barcode, Rental"
9276613624058,Darkest Hour,4K,ACTIVE,darkest-hour,,191-BLRDAR-001A,1,"4K, Drama, Formatted, issue:needs_new_barcode, Rental"
9267105628410,Dawn of the Planet of the Apes,4K,ACTIVE,dawn-of-the-planet-of-the-apes,,191-BLRDAW-50-001A,1,"4K, Action, Formatted, issue:needs_new_barcode, Rental"
9276653306106,Deadlocked,VHS,ACTIVE,deadlocked,,191-VHSDDL-001A,1,"Formatted, issue:needs_new_barcode, Rental, Thriller, VHS"
9276653338874,Deadly Little Secrets,VHS,ACTIVE,deadly-little-secrets,,191-VHSDES-001A,1,"Formatted, issue:needs_new_barcode, Rental, Thriller, VHS"
9258827415802,Death Wish,Blu-Ray,ACTIVE,death-wish,,191-BLRDEA-50-001A,0,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9276650225914,Death of Adolf Hitler,VHS,ACTIVE,death-of-adolf-hitler,,191-VHSDEA-001A,1,"Drama, Formatted, issue:needs_new_barcode, Rental, VHS"
9266912067834,Den of Thieves,Blu-Ray,ACTIVE,den-of-thieves,,191-BLRDEN-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9276608643322,Dennis the Menace,DVD,ACTIVE,dennis-the-menace,,191-DVDDEN-001A,0,"DVD, Formatted, issue:needs_new_barcode, Kids & Family, Rental"
9276612346106,Departed,Blu-Ray,ACTIVE,departed,,191-BLRDEP-001A,1,"Blu-Ray, Formatted, Issue_Genre_Needed, Rental"
9276653175034,Diary of a Hitman,VHS,ACTIVE,diary-of-a-hitman,,191-VHSDIA-001A,1,"Formatted, issue:needs_new_barcode, Rental, Thriller, VHS"
9276651929850,Dirty Little Secret,VHS,ACTIVE,dirty-little-secret,,191-VHSDIR-001A,1,"Formatted, issue:needs_new_barcode, Rental, Thriller, VHS"
9258868801786,Don't Breathe,Blu-Ray,ACTIVE,dont-breathe,,191-BLRDON-50-001A,1,"Blu-Ray, Formatted, Horror, issue:needs_new_barcode, Rental"
