barcode,n_variants,n_products,product_id,title,vendor,status,qty,tags
47927546,2,2,9405529882874,Taken 2,Blu-Ray,ACTIVE,1,"Blu-Ray, Formatted, Rental, Thriller"
47993082,2,2,9309844308218,Minority Report,VHS,ACTIVE,1,"Formatted, Rental, Sci-Fi, VHS"
47993082,2,2,9405529948410,The Way Back,Blu-Ray,ACTIVE,1,"Blu-Ray, Comedy, Formatted, issue:duplicate_barcode, issue:needs_new_barcode, Rental"
48058618,2,2,9309844373754,Igby Goes Down,VHS,ACTIVE,1,"Drama, Formatted, issue:duplicate_barcode, issue:needs_new_barcode, Rental, VHS"
48058618,2,2,9405530013946,Marketa Lazarova,Blu-Ray,ACTIVE,1,"Blu-Ray, Foreign, Formatted, Rental"
48091386,2,2,9309844406522,Hearts of Fire,VHS,ACTIVE,1,"Formatted, issue:duplicate_barcode, issue:needs_new_barcode, Musical, Rental, VHS"
48091386,2,2,9405530046714,Sing,Blu-Ray,ACTIVE,1,"Blu-Ray, Formatted, Kids & Family, Rental"
48124154,2,2,9309844439290,October Sky,VHS,ACTIVE,1,"Formatted, issue:duplicate_barcode, issue:needs_new_barcode, Kids & Family, Rental, VHS"
48124154,2,2,9405530079482,Happy Feet,Blu-Ray,ACTIVE,1,"Blu-Ray, Formatted, Kids & Family, Rental"
48156922,2,2,9309844472058,Lakota Woman,VHS,ACTIVE,1,"Drama, Formatted, Rental, VHS"
48156922,2,2,9405530112250,The Losers,Blu-Ray,ACTIVE,1,"Action, Blu-Ray, Formatted, issue:duplicate_barcode, issue:needs_new_barcode, Rental"
48189690,2,2,9309844504826,A World Apart,VHS,ACTIVE,1,"Formatted, issue:duplicate_barcode, issue:needs_new_barcode, Rental, Thriller, VHS"
48189690,2,2,9405530145018,"I, Robot",Blu-Ray,ACTIVE,1,"Blu-Ray, Formatted, Rental, Sci-Fi"
48222458,2,2,9309844537594,The Yards,VHS,ACTIVE,1,"Formatted, issue:duplicate_barcode, issue:needs_new_barcode, Rental, Thriller, VHS"
48222458,2,2,9405530177786,2012,Blu-Ray,ACTIVE,1,"Action, Blu-Ray, Formatted, Rental"
