Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Country (product.metafields.custom.country),Decade (product.metafields.custom.decade),Director (product.metafields.custom.director),Format (product.metafields.custom.format),Genres (product.metafields.custom.genres),Media condition (product.metafields.custom.media_condition),Runtime (min) (product.metafields.custom.runtime),Staff pick note (product.metafields.custom.staff_pick_note),Year (product.metafields.custom.year),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target audience (product.metafields.shopify.target-audience),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Supercycle Methods (product.metafields.supercycle.methods),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-line-staten-island-bluray-rental-action,The Line / Staten Island,,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,65278714,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
clash-of-the-titans-bluray-rental-action,Clash of the Titans,,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,65213178,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
barbie-the-fairy-princess-bluray-rental-kids-family,Barbie & The Fairy Princess,,Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,65016570,,,,false,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,,lb,,,active
the-reckoning-vhs-rental-action,The Reckoning,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,00669434,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
baywatch-the-movie-vhs-rental-action,Baywatch The Movie,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,00276218,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
new-york-cop-vhs-rental-action,New York Cop,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,99817466,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
excellent-cadavers-vhs-rental-action,Excellent Cadavers,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,99751930,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
k2-the-ultimate-high-vhs-rental-action,K2 The Ultimate High,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,99620858,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
the-hustle-vhs-rental-action,The Hustle,,VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,99424250,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
the-dogfighters-vhs-rental-action,The Dogfighters,"<p>Former Gulf War hero Rowdy Welles (Davi) is framed for murder by unscrupulous CIA boss Dick Althorp (Gazzara). As his price of freedom, Welles is ordered to undertake a deadly mission to destroy a nuclear processing plant in a foreign nation, owned by dangerous tyrant Lothar Krasna (Godunov).</p>",VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,99358714,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active
