Handle,Title,Vendor,Kind,Reason
how-to-get-ahead-in-advertising-vhs-rental-comedy,How to get Ahead in Advertising,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
three-amigos-vhs-rental-comedy,Three Amigos!,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
death-in-brunswick-vhs-rental-comedy,Death in Brunswick,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
eat-the-rich-vhs-rental-comedy,Eat the Rich,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
national-lampoons-last-resort-vhs-rental-comedy,National Lampoon's Last Resort,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-ratings-game-vhs-rental-comedy,The Ratings Game,VHS,unmatched,no UPCMDB records for this imdb_id
twenty-bucks-vhs-rental-comedy,Twenty Bucks,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
sonny-vhs-rental-drama,Sonny,VHS,ambiguous,ambiguous TMDB match
lethal-weapon-vhs-rental-action,Lethal Weapon,VHS,ambiguous,ambiguous TMDB match
the-courier-vhs-rental-thriller,The Courier,VHS,unmatched,no UPCMDB records for this imdb_id
deep-blue-sea-vhs-rental-sci-fi,Deep Blue Sea,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
a-rumor-of-angels-vhs-rental-drama,A Rumor of Angels,VHS,unmatched,no UPCMDB records for this imdb_id
georgia-vhs-rental-drama,Georgia,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
permanent-midnight-vhs-rental-drama,Permanent Midnight,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
leaving-normal-vhs-rental-comedy,Leaving Normal,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
jimmy-hollywood-vhs-rental-comedy,Jimmy Hollywood,VHS,unmatched,no UPCMDB records for this imdb_id
in-between-vhs-rental-drama,In Between,VHS,ambiguous,ambiguous TMDB match
jumpin-at-the-boneyard-vhs-rental-drama,Jumpin at the Boneyard,VHS,unmatched,no UPCMDB records for this imdb_id
hells-kitchen-vhs-rental-thriller,Hell's Kitchen,VHS,unmatched,no UPCMDB records for this imdb_id
grand-canyon-vhs-rental-drama,Grand Canyon,VHS,unmatched,no UPCMDB records for this imdb_id
stella-vhs-rental-drama,Stella,VHS,ambiguous,ambiguous TMDB match
cast-away-vhs-rental-drama,Cast Away,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
heartburn-vhs-rental-romantic-comedy,Heartburn,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
deep-cover-vhs-rental-action,Deep Cover,VHS,ambiguous,ambiguous TMDB match
delta-heat-vhs-rental-thriller,Delta Heat,VHS,unmatched,no UPCMDB records for this imdb_id
johns-vhs-rental-drama,Johns,VHS,unmatched,no UPCMDB records for this imdb_id
give-em-hell-harry-vhs-rental-comedy,Give 'Em Hell Harry!,VHS,unmatched,no UPCMDB records for this imdb_id
foxfire-vhs-rental-thriller,Foxfire,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
deathfight-vhs-rental-action,Deathfight,VHS,ambiguous,ambiguous TMDB match
xchange-vhs-rental-sci-fi,Xchange,VHS,unmatched,no UPCMDB records for this imdb_id
herculese-against-th-moonmen-vhs-rental-sci-fi,Herculese Against th Moonmen,VHS,unmatched,no TMDB match
alice-in-wonderland-dvd-rental-kids-family,Alice in Wonderland,DVD,ambiguous,ambiguous TMDB match
101-dalmatians-vhs-rental-kids-family,101 Dalmatians,VHS,ambiguous,ambiguous TMDB match
harriet-the-spy-vhs-rental-kids-family,Harriet the Spy,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
stuart-little-vhs-rental-kids-family,Stuart Little,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
cinderella-vhs-rental-kids-family,Cinderella,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-fox-and-the-hound-vhs-rental-kids-family,The Fox and the Hound,VHS,ambiguous,ambiguous TMDB match
snow-white-and-the-seven-dwarfs-vhs-rental-kids-family,Snow White and the Seven Dwarfs,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
peter-pan-vhs-rental-kids-family,Peter Pan,VHS,ambiguous,ambiguous TMDB match
the-lion-king-vhs-rental-kids-family,The Lion King,VHS,ambiguous,ambiguous TMDB match
zeus-and-roxanna-vhs-rental-kids-family,Zeus and Roxanna,VHS,unmatched,no TMDB match
sleeping-beauty-vhs-rental-kids-family,Sleeping Beauty,VHS,ambiguous,ambiguous TMDB match
oliver-company-vhs-rental-kids-family,Oliver & Company,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
flubber-vhs-rental-kids-family,Flubber,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
speed-4k-rental-action,Speed,4K,ambiguous,ambiguous TMDB match
beverly-hills-cop-trilogy-dvd-rental-action,Beverly Hills Cop Trilogy,DVD,unmatched,no TMDB match
caddyshack-vhs-rental-comedy,Caddyshack,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
super-mario-bros-1993-dvd-rental-kids-family,Super Mario Bros. (1993),DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
bullitt-vhs-rental-action,Bullitt,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
brooklyn-babylon-vhs-rental-drama,Brooklyn Babylon,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
bach-and-broccoli-vhs-rental-kids-family,Bach and Broccoli,VHS,unmatched,no UPCMDB records for this imdb_id
tumbleweeds-screener-vhs-rental-drama,Tumbleweeds (Screener),VHS,unmatched,no TMDB match
the-other-sister-vhs-rental-drama,The Other Sister,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
a-few-good-men-vhs-rental-drama,A Few Good Men,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
my-fair-lady-vhs-rental-musical,My Fair Lady,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
radioland-murders-vhs-rental-comedy,Radioland Murders,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-wind-and-the-lion-vhs-rental-action,The Wind and the Lion,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
showtime-vhs-rental-comedy,Showtime,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
the-cowboy-way-vhs-rental-comedy,The Cowboy Way,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
bright-lights-big-city-vhs-rental-drama,"Bright Lights, Big City",VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
greedy-vhs-rental-comedy,Greedy,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
guarding-tess-vhs-rental-comedy,Guarding Tess,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
pow-the-escape-vhs-rental-action,P.O.W. The Escape,VHS,unmatched,no UPCMDB records for this imdb_id
knockaround-guys-vhs-rental-action,Knockaround Guys,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
showdown-vhs-rental-action,Showdown,VHS,ambiguous,ambiguous TMDB match
memphis-belle-vhs-rental-drama,Memphis Belle,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
undercurrent-vhs-rental-action,Undercurrent,VHS,unmatched,no UPCMDB records for this imdb_id
fortress-vhs-rental-action,Fortress,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
point-break-vhs-rental-action,Point Break,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
platoon-vhs-rental-drama,Platoon,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
sniper-vhs-rental-action,Sniper,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
fortunes-of-war-vhs-rental-action,Fortunes of War,VHS,unmatched,no UPCMDB records for this imdb_id
the-lost-empire-vhs-rental-action,The Lost Empire,VHS,unmatched,no UPCMDB records for this imdb_id
glitz-vhs-rental-action,Glitz,VHS,unmatched,no UPCMDB records for this imdb_id
from-the-earth-to-the-moon-vhs-rental-scifi,From the Earth to the Moon,VHS,unmatched,no UPCMDB records for this imdb_id
the-smokers-vhs-rental-comedy,The Smokers,VHS,unmatched,no UPCMDB records for this imdb_id
down-to-you-vhs-rental-comedy,Down to You,VHS,unmatched,no UPCMDB records for this imdb_id
mafia-vhs-rental-comedy,Mafia,VHS,ambiguous,ambiguous TMDB match
the-freshman-vhs-rental-comedy,The Freshman,VHS,ambiguous,ambiguous TMDB match
hope-floats-vhs-rental,Hope Floats,VHS,unmatched,no UPCMDB records for this imdb_id
murder-at-16-hours-vhs-rental,Murder at 1600,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
stepmonster-vhs,Stepmonster,VHS,unmatched,no UPCMDB records for this imdb_id
red-dawn-vhs-rental,Red Dawn,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
