title,creators,description,upc_isbn10,ean_isbn13,number_of_discs,ensemble,aspect_ratio,tags,notes,group,price,added,publisher,publish_date,length_of,copies,call_number,ddc,lcc,rating,review,review_created,status,began_date,completed_date
Shutter Island,,"The implausible escape of a brilliant murderess brings U.S. Marshal Teddy Daniels and his new partner to Ashecliffe Hospital, a fortress-like insane asylum located on a remote, windswept island. The woman appears to have vanished from a locked room, and there are hints of terrible deeds committed within the hospital walls. As the investigation deepens, Teddy realizes he will have to confront his own dark fears if he hopes to make it off the island alive.",32429258144,0032429258144,,,,"DVD, thriller",,,0.00,,,,,1,66849018,,,,,,,,
Promising Young Woman,,"Nothing in Cassie's life is what it appears to be -- she's wickedly smart, tantalizingly cunning, and she's living a secret double life by night. Now, an unexpected encounter is about to give Cassie a chance to right the wrongs from the past.",191329134108,0191329134108,,,,"Blu-Ray, thriller",,,0.00,,,,,1,66816250,,,,,,,,
Four Weddings and a Funeral,,"Lovable Englishman Charles and his group of friends seem to be unlucky in love. When Charles meets a beautiful American named Carrie at a wedding, he thinks his luck may have changed. But, after one magical night, Carrie returns to the States, ending what might have been. As Charles and Carrie's paths continue to cross -- over a handful of nuptials and one funeral -- he comes to believe they are meant to be together, even if their timing always seems to be off.",826663195484,0826663195484,,,,"Blu-Ray, romantic-comedy",,,0.00,,,,,1,78296058,,,,,,,,
Chasing Amy,,"A comic-book writer stumbles upon the love of his life, only to discover that she is gay. The situation is exacerbated by his roommate and professional partner who becomes increasingly threatened by the possibility that he will be replaced. The third film in writer-director's New Jersey trilogy, following on from `Clerks' and `Mallrats'.",031398137238,0031398137238,,,,"Blu-Ray, comedy",,,0.00,,,,,1,78263290,,,,,,,,
Chasing Amy,,"A comic-book writer stumbles upon the love of his life, only to discover that she is gay. The situation is exacerbated by his roommate and professional partner who becomes increasingly threatened by the possibility that he will be replaced. The third film in writer-director's New Jersey trilogy, following on from `Clerks' and `Mallrats'.",031398137221,0031398137221,,,,"DVD, comedy",,,0.00,,,,,1,78132218,,,,,,,,
This is the End,,"This Is the End is a 2013 American apocalyptic comedy film written, directed and produced by Seth Rogen and Evan Goldberg in their directorial debuts.",043396417656,0043396417656,,,,"DVD, comedy",,,0.00,,,,,1,78099450,,,,,,,,
Norbit,,"Mild-mannered Norbit (Eddie Murphy) has always had it rough, since the day he was left abandoned at a combination Chinese restaurant and orphanage. Recently forced to marry the shrewish glutton Rasputia, he is at wit's end. Then his childhood sweetheart, Kate (Thandie Newton), moves back to town, and he tries to figure out a way back to his true love.",32429257598,0032429257598,,,,"DVD, comedy",,,0.00,,,,,1,78066682,,,,,,,,
The Art of Getting By,,"George (Freddie Highmore) is a senior at a posh Manhattan prep school, but his disaffected attitude leaves little room for toeing the line. He'd rather doodle and read philosophy, and he strenuously avoids his parents (Rita Wilson, Sam Robards) whenever possible. Unfortunately, George's attitude is endangering his chances of graduating. Then he meets Sally (Emma Roberts). George finds himself falling in love with her, but an older artist (Michael Angarano) adds a complication to the mix.",024543774297,,,,,"DVD, romantic-comedy",,,0.00,,,,,1,78001146,,,,,,,,
Love Actually,,"Nine intertwined journeys examine the complexities of the one emotion that connects all individuals, love. Among these individuals is David, the handsome, newly elected British prime minister who falls for a junior staffer. Sarah is a graphic designer whose devotion to her mentally ill brother complicates her love life. Harry, a married man, is tempted by his attractive new secretary.",25192329326,0025192329326,,,,"DVD, romantic-comedy",,,0.00,,,,,1,77968378,,,,,,,,
Annie Hall,,"Comedian Alvy Singer (Woody Allen) examines the rise and fall of his relationship with struggling nightclub singer Annie Hall (Diane Keaton). Speaking directly to the audience in front of a bare background, Singer reflects briefly on his childhood and his early adult years before settling in to tell the story of how he and Annie met, fell in love, and struggled with the obstacles of modern romance, mixing surreal fantasy sequences with small moments of emotional drama.",883904256427,0883904256427,,,,"Blu-Ray, comedy",,,0.00,,,,,1,77804538,,,,,,,,
