Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
against-the-ropes-contrecoups-dvd-rental-drama,Against the Ropes: Contrecoups,,DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,98711802,,,,drama
x-men-revealed-dvd-rental-action,X-Men Revealed,,DVD,Media > Videos,"Rental, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,44694266,,,,action
the-road-warrior-dvd-rental-sci-fi,The Road Warrior,"<p>Two boxers, from opposing worlds become unlikely friends on their journey to becoming World Champions. The only thing standing in their way is each other.</p>",DVD,Media > Videos,"Rental, DVD, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,0,07126010,,,,sci-fi
the-shadow-collection-8-movies-dvd-rental-horror,The Shadow Collection: 8 Movies,,DVD,Media > Videos,"Rental, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,0,06929402,,,,horror
water-for-elehants-dvd-rental-drama,Water for Elehants,,DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,06831098,,,,drama
the-oija-experiment-dvd-rental-horror,The Oija Experiment,,DVD,Media > Videos,"Rental, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,0,05585914,,,,horror
the-box-trolls-dvd-rental-kids-family,The Box Trolls,,DVD,Media > Videos,"Rental, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,97068282,,,,kids-family
double-feature-missing-in-action-2-missing-in-action-iii-dvd-rental-action,"Double Feature: Missing in Action 2, Missing in Action III",,DVD,Media > Videos,"Rental, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,42052858,,,,action
double-feature-romeo-must-die-cradle-2-the-grave-dvd-rental-action,"Double Feature: Romeo Must Die, Cradle 2 the Grave",,DVD,Media > Videos,"Rental, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,41921786,,,,action
shouthpaw-dvd-rental-drama,Shouthpaw,,DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,79760890,,,,drama
