Handle,Title,Vendor,Kind,Reason
garden-state-dvd-rental-romantic-comedy,Garden State,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
sahara-dvd-rental-action,Sahara,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
tomb-raider-the-cradle-of-life-dvd-rental-action,Tomb Raider The Cradle of Life,DVD,ambiguous,ambiguous TMDB match
stomp-the-yard-dvd-rental-drama,Stomp the Yard,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
santa-claus-conquers-the-martians-dvd-rental-sci-fi,Santa Claus Conquers the Martians,DVD,unmatched,no UPCMDB records for this imdb_id
elektra-dvd-rental-action,Elektra,DVD,unmatched,no UPCMDB records for this imdb_id
les-miserables-dvd-rental-musical,Les Miserables,DVD,unmatched,no UPCMDB records for this imdb_id
downfall-dvd-rental-foreign,Downfall,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
the-amityville-horror-dvd-rental-horror,The Amityville Horror,DVD,ambiguous,ambiguous TMDB match
i-could-never-be-your-woman-dvd-rental-romantic-comedy,I Could Never Be Your Woman,DVD,unmatched,no UPCMDB records for this imdb_id
juno-dvd-rental-comedy,Juno,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
jeepers-creepers-2-dvd-rental-horror,Jeepers Creepers 2,DVD,unmatched,no UPCMDB records for this imdb_id
dummy-dvd-rental-comedy,dummy,DVD,ambiguous,ambiguous TMDB match
the-simpsons-christmas-dvd-rental-comedy,The Simpsons Christmas,DVD,unmatched,TMDB has no imdb_id for this title
the-pagemaster-dvd-rental-kids-family,The Pagemaster,DVD,unmatched,no UPCMDB records for this imdb_id
fantastic-beasts-and-where-to-find-them-dvd-rental-fantasy,Fantastic Beasts and Where to Find Them,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
adaptation-dvd-rental-drama,Adaptation,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
zathura-dvd-rental-kids-family,Zathura,DVD,ambiguous,ambiguous TMDB match
phantom-of-the-opera-dvd-rental-musical,Phantom of the Opera,DVD,ambiguous,ambiguous TMDB match
oceans-twelve-dvd-rental-action,Ocean's Twelve,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
the-village-dvd-rental-horror,The Village,DVD,unmatched,no UPCMDB records for this imdb_id
friday-the-13th-part-vi-dvd-rental-horror,Friday the 13th Part VI,DVD,ambiguous,ambiguous TMDB match
matrix-revolutions-dvd-rental-sci-fi,Matrix Revolutions,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
twilight-new-moon-dvd-rental-fantasy,Twilight New Moon,DVD,ambiguous,ambiguous TMDB match
the-last-house-of-the-left-dvd-rental-horror,The Last House of the Left,DVD,unmatched,no UPCMDB records for this imdb_id
lake-placid-dvd-rental-horror,Lake Placid,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
fanboys-dvd-rental-comedy,Fanboys,DVD,unmatched,no UPCMDB records for this imdb_id
seven-years-in-tibet-dvd-rental-drama,Seven Years in Tibet,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
a-guy-thing-dvd-rental-comedy,A Guy Thing,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
