call_number,barcode_status,content_status,message
191-BLRENT-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022757' | content: changed: poster
191-BLREVE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022764' | content: changed: poster
191-BLREXC-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022771' | content: changed: poster
191-BLREXE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022788' | content: changed: poster
191-BLRFAC-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022795' | content: changed: poster
191-BLRFND-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022801' | content: changed: poster
191-BLRFIN-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022818' | content: changed: poster
191-BLRFLE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022825' | content: changed: poster
191-BLRFOR-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022832' | content: changed: poster
191-BLRFRA-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022849' | content: changed: poster
191-BLRGMN-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022856' | content: changed: poster
191-BLRGAN-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022863' | content: changed: poster
191-BLRGOO-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022870' | content: changed: poster
191-VHSGRE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022887' | content: changed: poster
191-BLRGRI-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022894' | content: changed: poster
191-BLRGWE-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022900' | content: changed: poster
191-BLRHIT-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022917' | content: changed: poster
191-BLRHOB-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022924' | content: changed: poster
191-BLRHOR-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022931' | content: changed: poster
191-BLRHRR-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022948' | content: changed: poster
191-BLCHOS-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022955' | content: changed: poster
191-BLRHOS-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022962' | content: changed: poster
191-VHSHOU-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022979' | content: changed: poster
191-VHSHOW-50-002A,error,updated,barcode: save did not persist -- reloaded value is '2010000022986' | content: changed: poster
191-BLRIAM-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000022993' | content: changed: poster
191-BLRILO-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023006' | content: changed: poster
191-BLRINT-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023013' | content: changed: poster
191-BLRNTH-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023020' | content: changed: poster
191-BLRIT2-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023037' | content: changed: poster
191-BLCJAY-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023044' | content: changed: poster
191-VHSJOH-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023051' | content: changed: poster
191-VHSK9P-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023068' | content: changed: poster
191-BLRKIC-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023075' | content: changed: poster
191-BLRKCK-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023082' | content: changed: poster
191-BLRKLL-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023099' | content: changed: poster
191-BLRKIL-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023105' | content: changed: poster
191-BLRKIN-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023112' | content: changed: poster
191-BLRKNO-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023129' | content: changed: poster
191-BLRLET-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023136' | content: changed: poster
191-NKNLIA-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023143' | content: changed: poster
191-UNKLOV-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023150' | content: changed: poster
191-BLRLOV-70-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023167' | content: changed: poster
191-BLRM3G-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023174' | content: changed: poster
191-BLRMAC-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023181' | content: changed: poster
191-UNIMAM-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023198' | content: changed: poster
191-BLRMID-50-002A,error,updated,barcode: save did not persist -- reloaded value is '2010000023204' | content: changed: poster
191-BLRMIR-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023211' | content: changed: poster
191-BLRMRR-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023228' | content: changed: poster
191-BLRMOT-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023235' | content: changed: poster
191-4K2MOT-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023242' | content: changed: poster
191-DVDMRM-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023259' | content: changed: poster
191-BLRNES-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023266' | content: changed: poster
191-BLRNEI-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023273' | content: changed: poster
191-BLRNEW-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023280' | content: changed: poster
191-DVDNGH-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023297' | content: changed: poster
191-BLRNGH-50-001A,error,updated,barcode: save did not persist -- reloaded value is '2010000023303' | content: changed: poster
