Handle,Title,Vendor,Kind,Reason
half-castle-dvd-rental-horror,Half-Castle,DVD,unmatched,no TMDB match
scary-stories-dvd-rental-horror,Scary Stories,DVD,ambiguous,ambiguous TMDB match
wish-upon-dvd-rental-horror,Wish Upon,DVD,unmatched,no UPCMDB records for this imdb_id
exorcism-the-possession-of-gail-bowers-dvd-rental-horror,Exorcism: The Possession of Gail Bowers,DVD,unmatched,no UPCMDB records for this imdb_id
swing-kids-dvd-rental-drama,Swing Kids,DVD,ambiguous,ambiguous TMDB match
in-her-shoes-dvd-rental-comedy,In Her Shoes,DVD,unmatched,no UPCMDB records for this imdb_id
love-potion-9-dvd-rental-romantic-comedy,Love Potion #9,DVD,unmatched,no UPCMDB records for this imdb_id
the-mysterious-island-dvd-rental-kids-family,The Mysterious Island,DVD,unmatched,no UPCMDB records for this imdb_id
harts-war-dvd-rental-drama,Hart's War,DVD,unmatched,no UPCMDB records for this imdb_id
imprint-dvd-rental-horror,Imprint,DVD,unmatched,no UPCMDB records for this imdb_id
dinotopia-dvd-rental-kids-family,Dinotopia,DVD,unmatched,TMDB has no imdb_id for this title
nazis-at-the-center-of-the-earth-dvd-rental-horror,Nazis At The Center of the Earth,DVD,unmatched,no UPCMDB records for this imdb_id
county-general-dvd-rental-comedy,County General,DVD,unmatched,no UPCMDB records for this imdb_id
last-man-standing-dvd-rental-action,Last Man Standing,DVD,ambiguous,ambiguous TMDB match
escape-plan-dvd-rental-action,Escape Plan,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
adventures-in-babysitting-2016-dvd-rental-kids-family,Adventures in Babysitting (2016),DVD,unmatched,no UPCMDB records for this imdb_id
duece-bigalo-male-gigolo-dvd-rental-comedy,Duece Bigalo Male Gigolo,DVD,unmatched,no TMDB match
aliens-abductions-extraordinary-sightings-dvd-rental-documentary,"Aliens, Abductions & Extraordinary Sightings",DVD,unmatched,no UPCMDB records for this imdb_id
doctor-who-deep-breath-dvd-rental-sci-fi,Doctor Who: Deep Breath,DVD,unmatched,no UPCMDB records for this imdb_id
the-day-the-earth-stood-still-dvd-rental-sci-fi,The Day the Earth Stood Still,DVD,ambiguous,ambiguous TMDB match
fortress-2-re-entry-dvd-rental-sci-fi,Fortress 2 Re-entry,DVD,ambiguous,ambiguous TMDB match
black-x-mas-dvd-rental-horror,Black X-Mas,DVD,ambiguous,ambiguous TMDB match
the-pyramid-dvd-rental-horror,The Pyramid,DVD,unmatched,no UPCMDB records for this imdb_id
7-soles-dvd-rental-horror,7 Soles,DVD,ambiguous,ambiguous TMDB match
the-breed-dvd-rental-horror,The Breed,DVD,ambiguous,ambiguous TMDB match
wasteland-dvd-rental-horror,Wasteland,DVD,unmatched,no UPCMDB records for this imdb_id
the-call-of-the-wild-bluray-rental-drama-4k,The Call of the Wild,4K,ambiguous,ambiguous TMDB match
kingsman-the-secret-bluray-rental-action,Kingsman: The Secret,Blu-Ray,ambiguous,ambiguous TMDB match
big-wish-movie-the-care-bears-dvd-rental-kids-family,Big Wish Movie: The Care Bears,DVD,unmatched,no TMDB match
spy-kids-2-dvd-rental-kids-family,Spy Kids 2,DVD,ambiguous,ambiguous TMDB match
justice-league-gotham-city-breakout-dvd-rental-kids-family,Justice League: Gotham City Breakout,DVD,ambiguous,ambiguous TMDB match
johnny-english-dvd-rental-kids-family,Johnny English,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
mee-shee-the-water-giant-dvd-rental-kids-family,Mee-Shee The Water Giant,DVD,unmatched,no UPCMDB records for this imdb_id
high-school-musical-encore-edition-dvd-rental-kids-family,High School Musical Encore Edition,DVD,unmatched,no TMDB match
the-baby-bot-chase-rolie-polie-olie-dvd-rental-kids-family,The Baby Bot Chase: Rolie Polie Olie,DVD,ambiguous,ambiguous TMDB match
ice-age-continental-drift-dvd-rental-kids-family,Ice Age: Continental Drift,DVD,unmatched,no UPCMDB records for this imdb_id
