Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
warning-sign-vhs-floor-sale-thriller,Warning Sign,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,18.00,,true,true,,,,,75221242,,,,false,,,,,,,,,,lb,,,active
the-fall-vhs-floor-sale-thriller,The Fall,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,true,true,,,,,75188474,,,,false,,,,,,,,,,lb,,,active
facade-vhs-floor-sale-thriller,Facade,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,75155706,,,,false,,,,,,,,,,lb,,,active
doa-vhs-floor-sale-thriller,D.O.A.,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,71944442,,,,false,,,,,,,,,,lb,,,active
abandon-vhs-floor-sale-thriller,Abandon,,VHS,,,"Floor sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,71911674,,,,false,,,,,,,,,,lb,,,active
sex-love-cold-hard-cash-vhs-floor-sale-thriller,"Sex, Love & Cold Hard Cash",,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,68733178,,,,false,,,,,,,,,,lb,,,active
nobodys-fool-vhs-floor-sale-drama,Nobody's Fool,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,29281530,,,,false,,,,,,,,,,lb,,,active
national-lampoons-animal-house-vhs-floor-sale-comedy,National Lampoons: Animal House,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,29248762,,,,false,,,,,,,,,,lb,,,active
k-9-vhs-floor-sale-comedy,K-9,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,29215994,,,,false,,,,,,,,,,lb,,,active
wild-america-fantastic-follies-vhs-floor-sale-kids-family,Wild America: Fantastic Follies,,VHS,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,29084922,,,,false,,,,,,,,,,lb,,,active
mildreds-pierce-vhs-floor-sale-drama,Mildred's Pierce,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,29052154,,,,false,,,,,,,,,,lb,,,active
lethal-weapon-vhs-floor-sale-action,Lethal Weapon,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,29019386,,,,false,,,,,,,,,,lb,,,active
dorf-on-golf-vhs-floor-sale-comedy,Dorf on Golf,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,28331258,,,,false,,,,,,,,,,lb,,,active
the-associate-vhs-floor-sale-comedy,The Associate,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,28298490,,,,false,,,,,,,,,,lb,,,active
