Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
that-old-feeling-dvd-rental-romantic-comedy,That Old Feeling,,DVD,,,"Rental, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,38935034,,,,false,,,,,,,,,,lb,,,active
wrath-of-the-titans-dvd-rental-fantasy,Wrath of the Titans,,DVD,,,"Fantasy, Rental",true,Genre,Fantasy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,38902266,,,,false,,,,,,,,,,lb,,,active
two-moon-junction-dvd-rental-drama,Two Moon Junction,,DVD,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,38869498,,,,false,,,,,,,,,,lb,,,active
autumn-blood-dvd-rental-thriller,Autumn Blood,,DVD,,,"Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,38803962,,,,false,,,,,,,,,,lb,,,active
uss-poseidon-phantom-below-dvd-rental-action,USS Poseidon: Phantom Below,,DVD,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,38771194,,,,false,,,,,,,,,,lb,,,active
how-high-dvd-rental-comedy,How High,,DVD,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,38738426,,,,false,,,,,,,,,,lb,,,active
the-seat-filler-dvd-rental-comedy,The Seat Filler,,DVD,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,96271098,,,,false,,,,,,,,,,lb,,,active
american-pie-dvd-rental-comedy,American Pie,,DVD,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,96238330,,,,false,,,,,,,,,,lb,,,active
escapee-dvd-rental-action,Escapee,,DVD,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,96205562,,,,false,,,,,,,,,,lb,,,active
a-walk-in-my-shoes-dvd-rental-drama,A Walk in My Shoes,,DVD,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,96140026,,,,false,,,,,,,,,,lb,,,active
wrestlemaniac-dvd-rental-horror,Wrestlemaniac,,DVD,,,"Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,96107258,,,,false,,,,,,,,,,lb,,,active
stir-of-echoes-2-dvd-rental-thriller,Stir of Echoes 2,,DVD,,,"Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,96074490,,,,false,,,,,,,,,,lb,,,active
billy-flynns-long-half-time-walk-dvd-rental-drama,Billy Flynn's Long Half Time Walk,,DVD,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,96008954,,,,false,,,,,,,,,,lb,,,active
triple-feature-lone-survivor-jardhead-green-zone-dvd-rental-action,"Triple Feature: Lone Survivor, Jardhead, Green Zone",,DVD,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,95976186,,,,false,,,,,,,,,,lb,,,active
the-spirit-dvd-floor-sale-action,The Spirit,,DVD,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,92699386,,,,false,,,,,,,,,,lb,,,active
ira-abby-dvd-floor-sale-romantic-comedy,Ira & Abby,,DVD,,,"Floor Sale, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,92666618,,,,false,,,,,,,,,,lb,,,active
outpost-black-sun-dvd-floor-sale-horror,Outpost: Black Sun,,DVD,,,"Floor Sale, Horror",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,92633850,,,,false,,,,,,,,,,lb,,,active
the-mask-of-zorro-dvd-floor-sale-action,The Mask of Zorro,,DVD,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,92568314,,,,false,,,,,,,,,,lb,,,active
the-john-singleton-4-movie-collection-dvd-floor-sale-drama,The John Singleton 4-Movie Collection,,DVD,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,92502778,,,,false,,,,,,,,,,lb,,,active
dark-ride-dvd-floor-sale-horror,Dark Ride,,DVD,,,"Floor Sale, Horror",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,92470010,,,,false,,,,,,,,,,lb,,,active
contact-dvd-floor-sale-sci-fi,Contact,,DVD,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,92437242,,,,false,,,,,,,,,,lb,,,active
taking-lives-dvd-floor-sale-thriler,Taking Lives,,DVD,,,"Floor Sale, Thriler",true,Genre,Thriler,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,92404474,,,,false,,,,,,,,,,lb,,,active
eyes-wide-shut-dvd-floor-sale-drama,Eyes Wide Shut,,DVD,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,92371706,,,,false,,,,,,,,,,lb,,,active
harry-potter-and-the-sorcerers-stone-dvd-floor-sale-kids-family,Harry Potter and the Sorcerer's Stone,,DVD,Uncategorized,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,2,deny,manual,6.00,,true,true,,,,,92338938,,,,false,,,,,,,,,,lb,,,active
the-green-mile-dvd-floor-sale-drama,The Green Mile,,DVD,Uncategorized,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,2,deny,manual,5.00,,true,true,,,,,92306170,,,,false,,,,,,,,,,lb,,,active
bloody-disgusting-3-movie-collection-dvd-floor-sale-horror,Bloody Disgusting 3-Movie Collection,,DVD,,,"Floor Sale, Horror",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,92273402,,,,false,,,,,,,,,,lb,,,active
dangerous-ground-dvd-floor-sale-action,Dangerous Ground,,DVD,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,92240634,,,,false,,,,,,,,,,lb,,,active
kentucky-fried-movie-dvd-floor-sale-comedy,Kentucky Fried Movie,,DVD,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,92175098,,,,false,,,,,,,,,,lb,,,active
shanghai-noon-dvd-floor-sale-comedy,Shanghai Noon,,DVD,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,92142330,,,,false,,,,,,,,,,lb,,,active
hidalgo-dvd-floor-sale-action,Hidalgo,,DVD,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,92109562,,,,false,,,,,,,,,,lb,,,active
dragon-wars-d-war-dvd-floor-sale-fantasy,Dragon Wars D-War,,DVD,,,"Fantasy, Floor Sale",true,Genre,Fantasy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,92076794,,,,false,,,,,,,,,,lb,,,active
pirates-of-the-carribean-the-curse-of-the-black-pearl-dvd-floor-sale-kids-family,Pirates of the Carribean: The Curse of the Black Pearl,,DVD,Uncategorized,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,2,deny,manual,5.00,,true,true,,,,,92044026,,,,false,,,,,,,,,,lb,,,active
takers-dvd-floor-sale-action,Takers,,DVD,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,92011258,,,,false,,,,,,,,,,lb,,,active
american-sniper-dvd-floor-sale-drama,American Sniper,,DVD,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,91978490,,,,false,,,,,,,,,,lb,,,active
blade-trilogy-dvd-floor-sale-sci-fi,Blade Trilogy,,DVD,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,91945722,,,,false,,,,,,,,,,lb,,,active
skyfire-dvd-floor-sale-action,Skyfire,,DVD,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,91912954,,,,false,,,,,,,,,,lb,,,active
bloodshot-dvd-5,Bloodshot,,DVD,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,42400506,,,,false,,,,,,,,,,lb,,,active
crank-dvd-6,Crank,,DVD,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,42367738,,,,false,,,,,,,,,,lb,,,active
the-secret-life-of-pets-dvd-6,The Secret Life of Pets,,DVD,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,42334970,,,,false,,,,,,,,,,lb,,,active
