Handle,Title,Vendor,Kind,Reason
lifeboat,Lifeboat,DVD,ambiguous,ambiguous TMDB match
x2-x-men-united,X2: X-Men United,DVD,ambiguous,ambiguous TMDB match
matrix-reloaded,Matrix Reloaded,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
tupac-resurrection,Tupac: Resurrection,DVD,unmatched,no UPCMDB records for this imdb_id
national-treasure-2-book-of-secrets,National Treasure 2: Book of Secrets,DVD,unmatched,no UPCMDB records for this imdb_id
cast-away,Cast Away,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
uncut-gems,Uncut Gems,Blu-Ray,unmatched,TMDB has no imdb_id for this title
grudge,Grudge,Blu-Ray,ambiguous,ambiguous TMDB match
texas-chainsaw-massacre,Texas Chainsaw Massacre,DVD,ambiguous,ambiguous TMDB match
the-last-waltz,The Last Waltz,Blu-Ray,ambiguous,ambiguous TMDB match
great-gatsby,Great Gatsby,Blu-Ray,ambiguous,ambiguous TMDB match
crow,Crow,Blu-Ray,ambiguous,ambiguous TMDB match
6th-day,6th Day,DVD,ambiguous,ambiguous TMDB match
chicago,Chicago,DVD,ambiguous,ambiguous TMDB match
the-break-up,The Break-Up,DVD,ambiguous,ambiguous TMDB match
black-sheep,Black Sheep,DVD,ambiguous,ambiguous TMDB match
inferno,Inferno,Blu-Ray,ambiguous,ambiguous TMDB match
pineapple-express,Pineapple Express,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
life-aquatic,Life Aquatic,DVD,ambiguous,ambiguous TMDB match
juno,Juno,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
4400-the-complete-first-season,4400: The Complete First Season,DVD,unmatched,no TMDB match
young-girls-of-rochefort,Young Girls of Rochefort,DVD,unmatched,TMDB has no imdb_id for this title
best-of-abbott-and-costello-volume-4,Best of Abbott and Costello Volume 4,DVD,unmatched,no TMDB match
murder-on-the-orient-express,Murder on the Orient Express,Blu-Ray,ambiguous,ambiguous TMDB match
la-strada,LA STRADA,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
fantasia-2000,Fantasia 2000,DVD,unmatched,no UPCMDB records for this imdb_id
medallion,Medallion,DVD,unmatched,TMDB has no imdb_id for this title
amityville-horror,Amityville Horror,Blu-Ray,ambiguous,ambiguous TMDB match
the-fly,The Fly,Blu-Ray,ambiguous,ambiguous TMDB match
memento,Memento,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
star-trek-nemesis,Star Trek: Nemesis,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
napoleon-dynamite,Napoleon Dynamite,DVD,unmatched,no UPCMDB records for this imdb_id
federico-fellinis-amarcord,Federico Fellini's Amarcord,DVD,ambiguous,ambiguous TMDB match
the-grudge,The Grudge,DVD,ambiguous,ambiguous TMDB match
despicable-me,Despicable Me,Blu-Ray,ambiguous,ambiguous TMDB match
smiles-of-a-summer-night,Smiles of a Summer Night,DVD,unmatched,UPCMDB has edition(s) for this title but none in DVD format
cheaters,Cheaters,DVD,unmatched,no UPCMDB records for this imdb_id
freaky-friday,Freaky Friday,DVD,ambiguous,ambiguous TMDB match
dennis-the-menace,Dennis the Menace,DVD,ambiguous,ambiguous TMDB match
papas-delicate-condition,Papa's Delicate Condition,VHS,unmatched,no UPCMDB records for this imdb_id
mccabe-mrs-miller,McCabe & Mrs. Miller,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
confession,Confession,VHS,ambiguous,ambiguous TMDB match
bad-behavior,BAD BEHAVIOR,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
basil,Basil,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
man-from-clover-grove,MAN FROM CLOVER GROVE,VHS,unmatched,no UPCMDB records for this imdb_id
act,Act,VHS,unmatched,no UPCMDB records for this imdb_id
best-little-whorehouse-in-texas,Best Little Whorehouse in Texas,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
things-are-tough-all-over,Things Are Tough All Over,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
white-palace,White Palace,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
crucible,Crucible,VHS,unmatched,TMDB has no imdb_id for this title
whos-that-girl,Who's That Girl,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
alfie,Alfie,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
come-blow-your-horn,Come Blow Your Horn,VHS,unmatched,UPCMDB has edition(s) for this title but none in VHS format
